	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1810006K21Rik	392.04	246.04	207.52	282.39	151.13	71.2	219.72	144.96	349.59	271.71	231.33	160.96	200.57	124.25	184.19	438.51	283.27	415.83	444.29	234.46	44.43	289.82	759.73	368.12	605.86	167.69	376.31	337.67	568.44	440.84	510.81	769.22	154.74	286.53	200.88	271.03	273.63	358.0	248.61	903.15	546.52	677.04	563.8	413.73	339.42	218.47	426.96	105.16	281.27	365.45	314.27	69.0	65.57
1810035L17Rik	468.03	23.86	331.05	91.72	157.62	257.28	120.8	207.04	162.61	190.09	70.03	219.33	377.55	3.49	9.22	58.81	532.09	207.64	170.84	269.7	71.99	799.52	589.18	231.62	322.91	100.97	190.2	498.35	299.17	122.44	47.71	192.49	601.13	242.33	223.01	208.72	169.36	121.9	6.18	899.41	159.34	271.5	470.3	743.28	312.24	135.43	257.51	391.45	59.26	127.16	118.43	57.74	62.03
1810046J19Rik	245.81	246.34	310.49	202.86	333.3	107.49	0.0	640.08	533.43	458.69	48.76	335.02	202.47	108.0	301.07	10.9	217.42	371.22	440.24	211.18	347.37	777.17	770.54	183.03	294.04	441.39	484.4	266.07	320.9	425.86	436.78	299.99	496.44	526.98	259.97	296.6	311.54	531.48	284.23	174.4	17.86	797.13	796.14	886.68	421.74	482.67	319.35	31.73	204.57	414.2	432.85	113.99	113.41
2310003F16Rik	496.46	376.89	563.94	146.09	337.68	114.18	192.23	207.15	143.98	163.64	310.39	246.91	349.86	104.63	372.76	558.21	154.58	608.02	187.89	148.71	296.63	654.33	486.84	266.25	417.86	547.29	758.03	594.2	662.84	606.19	471.05	611.77	335.21	363.65	423.89	451.25	410.08	687.43	468.34	665.93	466.99	956.56	744.65	195.44	415.3	232.99	333.21	389.33	275.14	391.0	159.25	88.24	81.87
2410015M20Rik	146.49	191.85	638.72	421.29	65.61	145.36	95.4	186.85	285.67	93.36	141.84	223.96	262.5	0.0	91.78	111.6	220.46	231.24	132.03	158.94	316.17	86.59	299.68	303.3	433.7	125.95	396.76	249.96	336.11	211.55	115.0	437.51	52.54	208.64	168.61	190.78	164.78	150.11	317.89	1.59	107.84	489.58	814.04	390.67	137.46	0.0	433.49	85.99	77.99	380.32	251.92	73.48	73.7
Actr2	560.81	615.16	652.93	612.25	651.0	646.14	964.31	586.22	1062.63	653.52	634.89	511.34	563.55	574.26	813.99	642.2	522.12	1106.39	1037.19	927.03	914.44	582.01	592.9	640.24	632.59	606.2	1114.33	818.44	1441.31	1293.66	830.45	1050.66	636.19	600.77	1090.94	747.48	725.62	1057.87	973.9	990.22	585.97	1284.4	817.74	677.0	1052.72	972.19	982.24	1007.46	1262.71	875.98	688.11	234.56	223.3
Apoo	1084.61	777.15	504.39	421.66	518.09	367.06	866.47	232.78	370.68	791.83	173.78	263.66	282.79	212.2	555.65	0.0	165.6	285.03	156.13	1187.07	432.05	218.71	449.61	416.65	318.62	83.62	559.43	910.36	540.8	434.57	546.54	573.25	662.11	333.62	296.07	307.39	276.75	0.0	293.63	503.12	590.55	1089.37	872.53	382.3	0.0	235.2	394.88	253.13	287.22	467.29	0.0	65.28	61.09
Atp5e	577.56	302.28	1059.3	209.79	389.16	388.91	235.58	235.57	438.9	812.59	430.32	290.1	272.94	338.53	735.08	835.54	381.44	408.37	514.25	703.4	276.11	1443.64	1776.23	1053.06	818.66	272.0	678.05	678.58	707.15	938.24	548.08	824.98	537.49	701.51	398.61	570.77	496.33	467.91	517.72	764.04	1188.53	230.45	718.33	1347.96	258.42	508.13	237.57	242.67	482.71	511.22	527.58	259.21	245.73
Atp6v1f	463.72	826.86	1525.92	856.66	923.22	699.2	1946.46	1018.65	1813.94	591.3	929.97	755.65	1217.01	1454.18	1392.17	1502.92	1118.38	1179.56	1305.29	1767.38	684.43	2541.76	1420.5	1688.74	1166.64	816.79	1417.81	1418.55	1163.7	1532.48	930.63	1483.97	1324.93	1458.23	974.15	1017.15	1068.25	1090.06	1275.2	2268.66	2063.11	473.99	3722.27	2548.27	1164.92	1355.61	1208.37	553.26	1553.49	686.85	764.55	207.21	221.5
Atpif1	1158.36	1072.5	2193.56	1494.76	736.91	894.0	1060.18	1126.07	1451.87	916.33	1245.74	738.18	438.94	1357.52	2359.67	2099.65	293.71	1069.06	1268.72	666.19	521.0	3687.01	1861.2	1506.36	1799.15	1054.55	1315.81	1920.0	2257.99	2204.34	1927.22	2219.99	1418.42	1325.6	904.08	1133.5	1138.31	831.48	840.17	2498.42	1805.12	2011.06	1524.12	2753.65	1637.38	1398.9	1068.4	1144.28	1028.38	1019.1	935.56	380.65	377.3
