	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_63	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_41	Cux2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_10	Slc17a6_tdTpositive_cell_17	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
1700007P06Rik	0.67	0.0	0.0	0.0	0.0	0.0	0.0	17.01	0.0	3.81	0.55	0.51	4.61	8.93	3.61	14.44	4.81	0.0	11.13	0.0	0.0	0.0	0.0	0.0	16.17	5.01	3.52	2.22	46.13
1810037I17Rik	127.32	6.52	136.07	115.36	76.61	15.52	141.76	857.2	159.09	733.73	141.29	115.66	194.8	169.22	200.79	270.01	203.48	237.85	274.86	292.61	63.14	41.67	122.29	85.6	283.76	248.63	252.78	258.27	664.9
2900026A02Rik	21.19	0.0	0.71	1.66	0.37	1.08	0.32	14.23	1.22	1.99	3.59	1.59	25.25	1.77	11.18	5.71	0.4	0.18	0.42	1.37	0.0	0.15	1.68	0.09	20.5	6.25	10.29	8.86	22.34
6430411K18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.65	27.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	22.93	2.02	3.52	7.48	4.93
Aldoa	11485.19	10293.64	13597.95	10922.55	9850.02	9619.15	11706.21	7706.9	12694.2	10127.43	12406.05	9288.11	12801.23	13515.12	10137.94	14715.13	13848.9	11472.28	10282.88	11924.07	12605.63	9590.91	10377.99	11283.91	8258.16	8338.87	10997.44	10660.26	12521.72
Arpm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.38	0.0	36.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	11.79	0.0	3.49	5.56	0.0
BC068281	0.99	0.0	1.21	0.0	0.0	0.32	0.27	4.56	0.0	2.42	38.25	0.0	0.11	72.94	0.13	0.0	0.37	0.15	1.86	9.37	0.0	0.0	0.0	0.0	0.14	3.99	6.51	6.66	0.33
Cntnap4	0.0	0.0	0.0	0.0	0.92	0.0	0.0	41.52	0.0	0.41	64.82	0.0	28.23	0.0	92.22	0.0	0.0	0.0	31.24	0.81	0.0	0.0	0.0	0.21	4.86	6.52	3.59	3.26	0.0
Dlg5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.09	0.0	2.47	0.0	0.0	0.0	12.2	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	2.73	0.72	1.53	0.57	0.0
Efcab6	0.0	0.0	69.33	37.18	0.0	0.0	0.19	122.63	0.0	59.05	0.61	0.0	0.0	69.86	0.0	47.72	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	4.81	3.5	1.44	2.47	0.0
Enpp4	0.2	0.0	0.2	3.8	0.0	0.0	0.0	50.33	2.09	17.34	0.0	0.18	0.0	0.0	0.34	0.0	0.15	0.07	1.56	24.66	46.99	0.0	0.14	0.0	24.66	17.26	9.77	6.88	0.57
Gm13154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.16	0.23	0.0	0.0	0.0	0.03	0.42	0.12	0.0	0.0
Gm14430	0.0	0.21	3.35	1.59	0.0	0.19	0.0	26.74	0.0	25.26	17.58	0.0	0.0	9.33	4.92	0.22	0.0	0.0	3.61	0.02	0.36	0.22	0.0	0.23	5.17	4.14	5.97	4.22	0.74
Gm14431	0.0	0.0	0.83	0.0	0.13	0.0	18.01	2.88	0.08	1.1	1.62	0.7	2.27	0.0	0.27	0.48	0.13	0.0	2.38	2.02	0.07	53.7	0.84	0.25	2.49	0.99	0.9	1.65	0.0
Gm14434	0.0	0.21	3.35	1.59	0.0	0.19	0.0	26.74	0.0	25.26	17.58	0.0	0.0	9.33	4.92	0.22	0.0	0.0	3.61	0.02	0.36	0.22	0.0	0.23	5.17	4.14	5.97	4.22	0.74
Gm4724	0.0	0.21	3.35	1.59	0.0	0.19	0.0	26.74	0.0	25.26	17.58	0.0	0.0	9.33	4.92	0.22	0.0	0.0	3.61	0.02	0.36	0.22	0.0	0.23	5.17	4.14	5.97	4.22	0.74
Gm8898	0.0	0.0	0.83	0.0	0.13	0.0	18.01	2.88	0.08	1.1	1.62	0.7	2.27	0.0	0.27	0.48	0.13	0.0	2.38	2.02	0.07	53.7	0.84	0.25	2.49	0.99	0.9	1.65	0.0
Gramd2	0.0	0.0	0.0	0.0	0.0	9.93	0.0	86.19	0.0	0.0	0.0	53.55	0.0	0.0	0.0	12.72	0.0	0.0	63.83	0.0	0.0	0.0	0.0	0.0	4.72	1.56	6.94	4.93	0.0
Gtf3c5	0.0	0.0	18.54	0.0	0.0	0.0	0.0	100.56	0.0	2.02	0.13	0.0	30.0	0.0	0.0	0.0	0.0	0.0	48.62	0.06	0.0	0.0	0.0	0.0	9.05	6.31	10.12	17.93	0.0
Kat2a	0.0	0.0	0.15	0.0	0.0	0.25	4.25	24.42	1.65	4.55	2.78	0.0	26.66	6.53	17.41	0.09	0.0	41.09	37.72	58.97	0.0	0.0	0.41	0.0	4.04	7.92	12.18	11.14	1.28
Lyar	0.0	0.0	0.0	0.0	0.0	11.56	1.04	69.17	0.0	4.99	0.0	0.0	47.11	12.67	0.0	0.0	0.0	0.0	0.67	0.45	0.0	0.0	0.0	0.0	1.69	1.37	2.26	2.73	0.0
Me1	3.67	0.0	6.18	0.0	0.0	0.0	0.0	24.38	0.0	19.93	59.4	0.0	55.88	9.11	49.62	3.05	2.41	0.3	21.4	0.11	0.0	0.25	7.52	0.0	10.88	11.87	15.48	16.57	0.1
Mfn1	0.0	0.0	0.0	0.0	0.07	0.12	0.07	16.79	0.3	8.83	23.51	0.0	0.21	0.14	4.06	0.1	0.08	0.07	0.34	0.11	0.0	0.09	0.14	0.0	3.7	9.79	7.46	8.37	0.28
Mfsd5	50.05	0.0	0.26	39.22	0.19	0.0	1.64	37.1	0.27	19.6	30.01	0.47	2.9	1.47	16.98	0.63	4.77	9.73	2.08	4.12	0.56	0.0	2.93	2.62	10.85	4.51	9.6	7.87	0.94
Neo1	0.0	0.0	38.39	0.23	5.27	0.0	0.09	39.91	0.74	0.71	2.55	1.72	0.0	0.04	0.35	9.97	0.0	0.49	59.25	70.14	0.45	18.26	0.77	0.0	1.31	2.59	2.62	3.11	13.08
Ryr3	0.0	0.0	10.63	0.0	0.0	0.0	0.0	18.56	0.0	6.05	13.19	0.0	1.1	0.22	5.21	1.41	0.02	0.0	4.37	0.01	0.0	0.0	0.16	0.0	0.84	2.15	0.59	2.39	0.0
Sh3d19	12.35	0.0	0.0	3.92	0.0	0.0	0.0	10.63	0.0	0.0	4.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.32	0.21	2.85
Slc16a1	0.94	0.0	0.0	0.29	0.51	2.51	0.42	37.43	1.75	7.63	0.95	0.0	14.42	0.21	0.23	0.36	0.08	0.0	2.41	0.69	0.0	0.47	0.0	0.0	11.44	4.88	6.71	3.97	11.14
Spon1	28.95	0.0	6.55	0.07	0.0	109.52	0.1	149.7	0.0	128.88	78.75	0.0	23.98	12.94	1.4	33.96	0.0	0.0	52.3	93.28	0.0	0.07	22.81	0.0	32.29	22.61	12.41	15.97	33.85
St6galnac5	0.0	0.0	0.0	5.35	0.0	0.0	0.0	112.38	0.23	46.19	93.84	0.0	0.0	3.67	0.0	0.0	0.35	0.0	0.0	23.36	0.0	0.0	0.0	0.0	24.45	14.14	13.19	22.58	83.24
Tbl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.75	0.0	0.0	0.53	0.0	0.07	0.51	0.0	0.0	0.0	0.0	31.02	0.0	0.0	0.0	0.0	0.0	1.38	2.18	2.44	2.15	0.0
Tbr1	0.0	0.0	3.93	87.58	0.0	0.0	1.03	45.9	129.23	28.59	35.6	33.11	108.88	35.68	37.76	167.63	0.26	6.08	45.75	0.09	21.25	0.0	0.0	0.0	41.85	26.75	28.03	26.29	13.95
Tmem151b	0.22	0.0	53.06	0.0	0.0	0.19	39.21	121.41	0.09	38.0	63.35	0.0	27.47	17.13	7.37	18.5	33.25	0.5	3.63	54.46	0.0	0.01	0.0	0.0	38.08	105.25	81.44	91.66	68.36
Tmem185b	0.0	0.0	0.0	0.0	0.0	0.09	0.0	34.26	0.0	0.0	0.0	0.0	0.12	0.0	1.72	0.1	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.09	1.9	3.77	0.61	0.22
Tmem53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.93	109.21	0.0	0.0	0.0	0.0	211.34	71.73	0.0	0.0	0.0	0.0	41.42	0.0	0.0	0.0	0.0	11.62	5.55	2.26	13.29	0.0
Trnp1	72.0	0.0	8.27	0.0	0.0	0.0	0.97	79.64	0.0	1.22	45.37	1.68	68.15	0.0	0.0	0.0	0.0	1.02	4.39	1.47	0.0	0.0	0.0	0.0	30.62	8.24	9.92	9.37	46.44
Tube1	0.83	0.56	0.15	0.0	0.0	0.0	0.25	35.72	0.15	0.12	0.45	0.27	0.19	0.22	1.14	0.35	0.14	0.0	0.2	0.07	0.0	0.22	0.43	0.68	0.56	2.24	5.16	0.83	0.21
Utp20	0.0	0.0	0.0	0.0	0.0	0.0	0.71	2.63	1.64	3.65	3.57	0.0	0.29	2.51	2.72	0.0	0.04	0.0	0.57	0.02	0.0	0.0	0.0	0.0	6.53	3.69	1.65	2.4	0.0
Xrcc2	0.0	0.14	0.21	0.12	1.05	7.09	0.67	10.04	0.55	0.87	0.99	0.68	1.18	0.68	0.93	0.0	0.31	0.12	0.91	0.42	0.0	0.42	0.91	1.79	8.91	7.79	5.77	6.19	0.36
Zbtb37	0.0	0.0	39.33	0.0	0.0	0.52	0.0	12.56	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	0.31	1.59	1.07	0.0
