	Calb2_tdTpositive_cell_27	Ctgf_tdTpositive_cell_3	Scnn1a.Tg3_tdTnegative_cell_13	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190007F08Rik	0.0	0.0	0.0	6.19	5.71	6.28
1700102H20Rik	0.0	0.0	0.0	0.37	0.17	0.0
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9330162B11Rik	0.0	0.0	0.0	0.0	0.0	0.05
AA543186	0.0	0.0	0.42	0.47	0.56	0.67
AU022754	0.64	0.0	0.0	3.34	3.02	3.41
Acsf2	0.0	0.0	0.0	11.92	12.41	12.76
Agtpbp1	0.0	0.0	0.0	116.88	108.27	115.49
Alox12b	0.0	0.0	0.0	3.96	3.77	3.26
Alpk1	0.0	0.0	0.0	2.99	2.86	3.1
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC055004	0.0	0.0	0.0	0.04	0.0	0.09
BC057079	0.0	0.0	19.33	22.29	21.25	22.45
Bcl9	0.0	0.0	0.0	28.0	25.61	27.6
Bend7	0.0	0.0	0.0	1.54	2.37	1.77
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chac1	0.0	0.0	0.0	9.97	11.84	13.31
Cntn2	4.72	0.08	2.22	41.44	42.63	43.21
Cpt1b	0.0	0.0	0.0	1.56	1.07	0.62
Cyp11a1	0.0	0.0	0.0	3.64	4.49	5.61
Dbh	0.0	0.0	0.0	0.61	0.33	0.76
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Ebf4	0.0	0.0	0.0	9.17	8.46	10.38
Ednra	0.0	0.0	0.0	2.85	3.15	3.32
Ephb2	0.81	0.0	0.71	10.98	10.79	12.45
Fam114a1	0.22	0.0	0.0	5.01	4.78	4.88
Fam57b	0.36	0.0	0.0	60.61	64.37	64.1
Flna	0.0	0.05	0.0	33.14	31.66	35.64
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxo1	0.0	0.0	0.0	18.48	18.95	18.11
Fras1	0.0	0.0	0.0	9.06	8.51	9.72
Fxr2	0.0	0.0	0.0	98.68	103.47	95.24
Gm10814	0.0	0.0	0.0	1.57	1.25	1.18
Gm14430	0.45	0.0	0.0	7.67	5.07	7.49
Gm14434	0.45	0.0	0.0	7.67	5.07	7.49
Gm4724	0.45	0.0	0.0	7.67	5.07	7.49
Gm889	0.0	0.0	0.0	0.58	0.86	1.03
Gpr21	0.0	0.0	0.0	4.39	4.51	4.71
Gramd4	14.48	0.0	0.0	30.74	29.31	32.63
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hspa12a	0.0	0.0	0.0	120.9	114.32	124.73
Icam1	0.0	0.0	0.0	2.76	2.31	2.29
Kdm5d	0.0	0.0	0.0	0.0	12.26	15.87
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klhl29	0.0	0.0	0.0	21.62	22.33	22.71
Klk7	0.0	0.0	0.0	0.0	0.17	0.06
Lama1	0.0	0.0	0.0	1.4	1.38	1.12
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lax1	0.0	0.0	0.0	0.33	0.37	0.22
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lysmd4	0.0	0.0	0.0	19.93	19.95	18.07
Lyzl4	0.0	0.0	0.0	0.51	0.96	0.21
Nanos3	0.0	0.0	0.0	1.12	0.53	1.16
Nfkbie	0.0	0.0	0.09	1.96	2.38	1.18
Nkd2	0.2	0.05	0.0	3.81	3.14	3.0
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pcdhgb6	0.0	0.0	0.0	13.85	17.36	13.9
Rab3gap2	0.0	0.0	0.0	45.55	43.56	45.23
Ranbp17	0.0	0.0	0.0	3.25	3.24	3.3
Rfx5	10.4	0.0	0.0	15.59	15.61	15.95
Rprml	0.0	0.0	0.0	80.97	113.45	95.72
Slc26a5	0.0	0.0	0.0	0.7	0.47	0.27
Snora16a	0.0	0.0	0.0	4.92	0.93	1.01
Snora33	0.0	0.0	0.0	2.86	1.35	2.96
Tagln2	0.0	0.0	0.0	12.19	13.16	13.04
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem144	0.0	0.0	0.0	7.64	8.54	9.22
Tspan5	0.0	0.0	1.31	148.49	149.54	152.73
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tyw3	0.15	0.11	0.0	7.37	7.5	6.98
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdfy2	0.0	0.0	0.0	10.75	8.45	11.2
Wdr7	0.0	0.0	0.0	86.74	85.95	84.87
Zcchc16	0.0	0.0	0.0	1.92	1.96	1.62
Zfp398	0.0	0.0	0.0	11.13	9.89	11.02
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	6370.03	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	79.43	9032.87	8417.95	8583.15
