	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_93	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36
1110001A16Rik	107.04	43.61	333.86	70.48	39.72	0.26	2.9	43.96	1.43	124.9	69.72	56.4	144.22	93.93	32.68	72.15	64.82	43.56	58.24	72.23	90.2	103.04	67.62	101.02	0.0	0.0	238.42	86.74	0.0	53.59
1110051M20Rik	148.06	0.0	637.44	314.5	143.13	0.34	314.02	241.37	267.22	264.88	82.41	335.04	269.2	134.55	394.57	202.74	176.72	153.7	270.56	211.54	186.29	175.13	184.87	292.26	0.14	250.79	0.0	165.17	0.0	242.2
1700047I17Rik2	17.93	31.64	14.54	38.16	12.26	4.54	0.56	1.53	2.82	1.38	30.82	5.09	5.76	16.78	23.68	30.05	10.32	6.5	14.42	11.21	10.72	11.25	13.41	43.09	1.8	56.74	0.96	8.04	2.23	32.53
2210016L21Rik	1.2	56.22	302.69	66.17	2.81	5.77	110.48	0.53	0.62	6.32	64.88	219.72	49.55	110.78	74.88	136.07	180.01	141.22	151.28	135.78	133.08	114.54	63.2	23.61	0.66	2.05	3.27	1.3	52.31	95.06
2410066E13Rik	0.0	0.0	75.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	2.1	0.64	8.35	3.2	1.36	1.17	10.42	3.01	0.0	0.0	0.78	0.0	0.0	0.0	0.0
AI854517	0.0	0.0	172.96	0.0	0.0	0.0	2.33	0.0	33.92	0.0	0.0	0.11	39.44	10.02	0.3	7.7	11.89	8.09	4.09	3.17	6.8	4.32	8.69	0.0	39.84	0.0	6.82	0.0	0.0	24.8
Adprh	81.69	3.03	528.78	0.0	0.0	0.0	1.56	161.79	0.0	130.17	284.53	197.89	158.05	54.65	219.5	74.75	82.97	83.25	105.53	99.09	110.29	139.95	60.91	31.76	0.0	0.0	6.64	19.42	27.7	72.03
Ankrd12	18.67	117.61	146.42	67.21	2.67	0.22	11.59	29.59	58.16	48.49	41.68	2.63	49.52	32.86	17.37	35.69	48.59	33.27	22.77	37.3	31.23	36.11	28.04	32.05	4.27	0.96	17.85	0.03	19.6	68.02
Arid2	3.59	0.0	92.01	31.98	11.81	1.88	20.06	11.18	0.0	0.0	0.0	10.52	23.92	5.6	0.13	2.9	7.15	5.71	7.43	6.63	14.92	3.25	6.51	0.0	0.0	42.21	0.86	12.91	0.04	19.71
Atm	0.02	0.07	78.16	14.33	0.03	0.0	0.02	1.69	0.0	0.05	2.7	0.17	0.55	3.36	0.21	2.06	2.07	2.06	3.65	7.51	0.89	3.96	1.84	0.09	0.0	0.0	0.02	0.42	0.03	15.69
