	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007P08Rik	0.0	1.49	0.67	0.0	0.0	0.0	0.0	0.0	8.98	1.27	19.0	0.0	87.24	45.35	8.52	0.0	0.0	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	10.93	10.13	11.71
2210012G02Rik	0.25	46.01	4.62	0.0	0.08	24.6	0.0	20.34	14.98	19.68	14.39	23.78	44.5	0.24	24.05	0.44	0.0	0.14	0.21	23.53	3.02	5.47	0.1	0.17	0.36	48.98	25.87	0.95	0.0	8.29	7.97	8.43
2610035D17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.18	62.08	286.17	0.0	0.0	0.0	104.04	0.0	0.0	0.0	0.0	69.47	0.0	0.0	0.0	160.87	0.0	0.0	0.0	16.61	17.87	16.42
Aes	6.46	19.23	114.26	0.0	0.0	0.0	0.0	62.24	4.58	10.14	31.15	16.18	145.92	6.78	31.52	0.0	0.0	13.38	0.31	10.33	29.42	17.18	68.28	0.47	0.0	178.55	45.62	5.4	7.66	498.59	577.92	541.69
Anapc5	121.83	100.62	81.91	0.12	0.0	23.79	0.32	0.55	36.09	52.65	42.87	114.62	273.47	53.69	91.81	25.8	0.32	215.61	3.69	45.92	65.37	22.11	0.26	0.23	0.56	0.36	5.58	1.89	0.0	149.29	156.65	151.28
Ankrd50	0.0	0.0	82.7	0.0	0.0	0.0	0.0	14.21	0.0	0.0	8.96	41.98	96.96	0.0	0.0	3.13	0.0	22.65	0.0	0.0	0.21	13.09	0.0	0.0	0.0	65.79	42.41	32.42	0.16	20.09	18.87	19.18
BC057079	0.03	95.47	0.06	0.0	0.0	0.0	0.0	2.02	0.06	6.85	21.43	0.0	262.31	69.74	2.4	0.0	0.0	0.16	0.0	70.36	0.24	0.88	2.2	25.51	0.0	0.5	0.0	8.9	1.61	22.29	21.25	22.45
Bcl9	11.85	0.0	13.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	51.7	3.27	0.0	0.0	0.0	12.21	0.0	0.64	0.0	4.2	0.0	16.78	3.25	40.15	0.0	0.0	0.0	28.0	25.61	27.6
Bms1	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	3.23	161.7	0.0	0.0	0.07	0.0	0.1	0.0	24.21	22.45	2.84	0.0	0.0	0.0	117.38	4.17	5.49	0.0	24.07	23.02	22.15
Cadm3	2.12	5.16	10.0	0.0	0.0	0.0	0.0	5.64	19.35	0.0	9.68	3.69	70.0	3.43	2.96	0.58	22.59	1.69	0.43	7.97	2.8	15.51	4.69	4.73	0.0	23.35	3.25	0.04	0.0	266.15	258.6	271.92
Cfl2	256.67	1.07	127.24	0.0	0.0	914.87	3.49	55.09	97.93	187.84	214.94	33.91	408.63	44.81	0.11	0.0	161.41	89.4	0.14	152.18	85.28	246.23	0.0	0.0	0.0	133.54	82.35	138.21	186.45	57.12	56.66	55.26
Chd5	0.02	3.5	41.48	0.0	0.0	0.0	0.0	5.55	19.76	6.21	3.64	3.4	73.04	8.69	16.61	0.0	0.0	8.2	4.56	0.2	1.05	7.54	1.55	8.61	0.61	4.57	0.26	1.41	0.0	101.81	99.86	105.46
Chsy3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.13	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.18	11.49	10.64
Clip3	113.6	48.43	85.17	0.0	0.0	0.0	0.0	88.29	201.31	198.84	128.8	182.72	253.88	189.29	255.25	0.56	47.49	93.9	74.19	210.99	239.38	260.57	1.85	268.81	17.96	106.39	136.48	241.44	28.16	325.47	332.48	328.71
Cltb	0.0	41.83	122.85	0.0	0.0	0.0	0.0	0.0	120.37	8.25	63.71	0.12	305.56	16.94	17.48	0.0	99.91	4.26	0.0	0.0	63.48	94.18	0.0	139.52	0.49	134.6	159.82	75.38	23.02	166.94	177.81	165.99
