	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_32	Rorb_tdTpositive_cell_15	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010001E11Rik	0.0	0.0	0.0	1.06	1.62	1.09
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930448K20Rik	0.0	0.0	0.0	0.14	0.07	0.0
4932435O22Rik	0.0	0.0	0.0	0.26	0.11	0.12
Accn2	0.0	0.34	1.35	51.4	49.24	50.01
Arhgap31	0.0	0.0	0.0	9.94	10.09	10.81
Armc5	0.0	0.0	0.0	9.42	10.04	10.31
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bend3	0.0	0.0	0.0	3.3	3.43	3.81
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C030044B11Rik	0.0	0.0	0.0	24.47	32.0	30.13
C530008M17Rik	0.0	0.0	0.0	24.95	24.51	24.36
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1c	0.0	0.0	0.0	26.61	24.77	28.8
Cacng5	0.0	0.0	0.0	9.52	10.58	8.56
Ccdc162	0.0	0.0	0.0	0.76	0.54	0.56
Cnn2	0.0	0.0	0.0	8.76	9.25	6.05
Cog1	0.0	0.0	0.0	41.23	43.13	39.66
Coro1b	0.0	0.0	0.0	77.83	81.06	79.24
Crhr2	0.0	0.0	0.0	1.3	1.12	1.08
Dkk2	0.4	0.38	0.22	0.79	0.43	0.8
Dnahc2	0.0	0.0	0.0	0.8	0.86	0.83
Dusp28	0.0	0.0	6.28	26.98	31.47	29.99
E130012A19Rik	0.0	0.0	0.0	69.45	79.18	76.51
Elmo3	0.0	0.0	0.0	2.32	1.7	1.66
Ermp1	0.0	2.68	0.26	31.44	31.72	32.7
Fam19a5	0.0	0.0	0.0	89.06	100.67	99.37
Fance	0.0	0.0	0.0	14.41	18.94	16.58
Fbxl12	0.0	0.0	0.0	11.29	12.2	12.01
Fbxl15	0.0	0.0	0.0	20.58	25.62	26.73
Fndc1	0.0	0.0	0.0	2.71	2.53	3.06
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm6277	1.66	0.0	0.0	6.07	6.14	6.94
Gpam	0.0	0.0	0.0	36.95	35.26	40.28
Grem2	0.0	0.0	0.0	19.88	19.29	19.38
H2-Q7	0.0	0.0	0.0	0.69	0.37	0.0
Hdac5	0.0	0.0	0.0	101.76	107.17	98.05
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ikzf4	0.0	0.0	0.0	9.24	8.38	8.65
Kcna10	0.0	0.0	0.0	0.22	0.1	0.06
Kcnd1	0.0	0.0	0.0	8.47	9.28	9.06
Klhl29	0.0	0.0	0.0	21.62	22.33	22.71
Lrrc16a	0.0	0.0	0.0	12.41	11.58	13.13
Melk	0.0	0.0	0.0	1.21	1.15	0.84
Mmp24	0.0	0.0	0.0	27.56	27.39	26.04
Msr1	0.0	0.0	0.0	0.19	0.05	0.17
Mup5	0.0	0.0	0.0	0.35	0.99	0.84
Nadsyn1	0.0	0.0	0.0	3.56	3.43	3.47
Ndst1	0.0	0.01	0.0	47.6	45.85	47.01
Nhlrc2	0.0	0.0	0.54	10.48	8.75	10.21
Nhsl2	0.0	0.05	0.06	17.44	16.0	16.79
Nlgn3	0.0	3.16	6.15	50.02	47.15	49.14
Noxo1	0.0	0.0	0.0	2.15	2.0	2.15
Otol1	0.0	0.0	0.0	0.09	0.04	0.22
Pex6	0.0	0.0	0.0	43.33	48.21	47.37
Polg2	0.0	0.0	0.0	3.63	2.78	3.32
Psmc3ip	0.0	3.55	0.0	4.48	4.22	4.51
Rasgrf2	0.0	0.0	0.0	69.67	65.09	66.74
Renbp	0.0	0.0	0.0	4.0	4.12	4.95
Rnf217	0.0	0.0	0.0	10.48	11.26	12.49
Sap25	0.0	0.0	0.0	4.45	2.93	0.0
Scrib	0.0	0.0	0.0	21.03	23.38	23.64
Sec22c	1.65	2.82	0.84	22.99	22.86	22.18
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snx11	0.0	0.0	0.0	31.08	31.39	30.35
Tmc7	0.0	0.0	0.0	10.75	10.23	11.23
Tmem150a	0.0	0.0	0.0	12.94	15.8	15.01
Tmem165	0.22	0.0	0.0	31.05	35.36	33.4
Tnfsf13b	0.0	0.0	0.0	1.44	0.89	1.57
Tnr	0.0	0.0	0.0	44.38	32.54	51.92
Trps1	0.04	0.0	0.0	8.37	6.97	8.64
Tshz2	0.0	0.0	0.0	22.48	20.32	21.24
Vangl1	0.0	0.0	0.0	2.56	2.17	2.53
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps18	0.0	0.0	0.0	36.09	37.32	35.69
Wnt5a	0.0	0.0	0.0	5.32	5.5	4.73
Zbtb4	0.0	0.0	0.0	45.98	45.72	45.3
Zfp516	0.32	0.1	0.09	7.01	6.45	6.59
Zfp526	0.0	0.0	0.0	7.22	6.28	6.61
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK153747	7.22	0.0	0.0	634.98	1067.91	1205.94
