	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_17	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_30	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_72	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_13	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_166	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_100	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610037L13Rik	0.0	437.47	275.63	0.0	0.0	0.0	447.45	399.44	0.0	0.0	0.0	0.0	170.7	0.0	0.0	0.0	256.29	0.0	0.0	0.0	338.73	31.78	0.0	0.0	787.54	0.0	0.0	0.0	219.92	67.92	19.61	0.0	86.54	248.31	3.94	139.34	318.86	1347.1	143.16	0.0	3.76	0.0	0.0	0.0	397.16	170.54	0.0	0.44	0.0	0.0	0.69	190.96	223.29	81.55	230.67	121.99	21.57	153.52	163.37	0.0	672.39	350.79	0.0	893.75	0.0	318.47	0.0	0.0	0.3	0.0	0.0	83.67	573.34	0.19	0.0	0.0	0.0	0.0	186.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.38	319.29	47.71	0.0	2.04	757.48	127.04	108.23	80.89	54.82	56.89	97.2	308.74	31.74	29.48	26.74
0610040F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.33	1.69	0.0	0.0	0.8	0.0	0.0	0.0	0.0	1.7	0.0	18.41	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	165.97	0.0	0.0	0.0	0.0	0.0	9.41	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.32	2.34	15.25	0.46	1.55	1.75	0.64	2.74	0.0	0.0	0.0	1.65	0.0	0.5	0.0	2.53	17.14	0.0	0.0	0.0	15.83	0.0	0.0	0.0	0.0	0.0	0.0	2.07	1.37	6.77	0.0	0.0	0.0	1.66	0.0	5.15	1.06	0.0	89.51	0.21	0.91	0.45	0.82	3.04	0.36	0.52	2.5	0.89	2.02	1.53	3.04
1700001C19Rik	0.0	0.55	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.55	2.23	7.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	3.68	0.92	0.0	0.0	0.0	0.31	0.0	1.78	20.27	0.0	0.49	1.2	0.0	0.0	0.0	0.0	3.27	0.68	0.0	0.0	0.63	0.0	0.18	0.0	0.52	1.29	0.0	0.27	0.23	0.52	0.9	0.0	0.0	0.19	8.29	0.52	0.0	0.0	0.0	0.67	0.0	0.0	0.06	0.0	1.96	0.0	0.0	1.0	0.0	0.0	0.0	0.54	0.0	0.0	1.17	0.0	0.0	0.91	0.0	0.22	1.06	0.0	0.0	1.08	1.52	1.11	0.59	0.3	0.23	0.38	0.0	0.31	0.26
2010012O05Rik	0.0	93.3	31.14	0.0	0.35	0.29	0.0	36.31	0.0	0.7	0.2	0.21	1.28	166.25	0.64	183.23	69.13	0.65	184.38	0.0	44.87	75.41	214.92	147.02	136.71	139.9	0.24	189.2	0.0	13.0	26.13	0.0	41.22	122.18	8.5	36.98	0.1	449.59	52.15	1.85	86.66	0.0	0.21	0.54	1.14	1.16	0.4	0.45	1.0	0.0	5.37	59.66	69.75	16.27	36.59	49.86	14.36	18.52	0.63	0.0	0.96	0.0	82.24	0.65	0.65	3.34	2.6	1.69	0.0	0.53	0.53	0.54	0.16	0.49	0.0	0.26	0.0	0.46	0.35	0.48	0.13	1.6	0.0	0.0	1.15	0.59	23.76	72.45	19.73	24.12	0.12	467.45	36.41	27.79	60.06	47.05	41.21	64.36	69.18	21.83	22.03	20.8
2410114N07Rik	1.81	3.61	1.91	0.0	0.41	0.0	0.79	3.7	0.8	1.09	1.26	0.0	0.0	0.0	2.47	0.0	1.94	1.47	10.07	1.17	1.44	0.0	0.0	0.0	0.0	0.48	0.0	0.0	5.11	0.0	1.25	0.0	0.94	1.61	0.47	1.31	0.43	47.84	0.0	0.75	0.0	5.45	0.0	0.0	10.05	7.55	0.0	0.0	0.0	0.67	6.78	3.51	0.76	0.76	0.86	1.01	1.57	2.55	0.0	0.0	0.77	0.0	0.54	5.08	0.0	1.23	0.98	2.98	0.0	2.39	2.98	5.01	0.76	1.67	0.0	2.13	0.0	0.45	0.0	6.7	3.02	1.51	0.23	1.11	0.0	0.44	0.68	0.0	0.0	1.33	3.24	0.42	1.44	1.36	4.01	0.0	1.51	0.39	0.0	0.69	1.32	0.89
2810008D09Rik	77.77	0.0	0.0	0.0	0.0	0.0	62.6	203.27	0.0	0.0	0.0	0.0	0.0	0.0	309.13	0.0	0.0	0.0	0.0	0.0	0.0	6.73	0.0	0.0	0.0	0.0	59.08	0.0	15.13	0.0	0.0	0.0	135.0	2.67	23.6	0.0	34.55	860.78	0.0	0.0	0.0	2.99	0.0	1.05	0.0	0.0	0.0	0.0	0.0	213.81	0.0	0.0	0.0	140.66	0.0	86.31	51.71	49.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	233.41	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.73	0.0	98.25	0.52	0.0	47.74	1.37	30.89	27.04	89.24	43.38	59.33	38.87	0.0	42.36	49.35	59.25
4930539E08Rik	2.07	2.32	10.67	0.0	5.41	2.3	9.54	15.26	1.24	9.35	10.57	3.93	7.62	4.14	0.33	2.61	9.42	3.86	4.83	4.16	7.8	1.67	4.24	1.99	4.41	7.32	2.63	7.1	6.04	3.38	3.36	7.53	5.69	10.82	0.99	8.22	3.18	162.89	10.83	13.62	1.33	8.16	3.62	0.13	3.05	5.88	6.8	0.69	5.65	1.13	8.53	9.21	5.47	6.89	10.56	5.49	3.46	7.02	13.03	2.68	6.83	1.12	3.48	1.46	0.13	6.88	1.93	2.92	33.1	4.56	22.07	18.12	12.03	1.72	3.92	7.0	0.83	0.84	2.26	9.54	7.28	2.05	1.22	2.51	9.63	6.63	5.44	5.21	2.11	5.47	3.03	4.85	4.16	4.1	4.18	3.15	5.15	4.82	3.65	9.63	8.55	9.86
9430008C03Rik	4.47	2.17	2.47	0.46	0.14	1.04	6.78	2.09	37.0	1.2	190.69	1.03	3.08	1.77	2.42	3.26	5.1	0.34	13.27	0.77	0.36	0.0	0.0	3.78	0.66	4.59	4.3	13.91	3.2	7.03	3.23	2.95	1.8	2.82	1.95	1.56	1.27	748.03	2.34	0.84	6.29	1.26	0.0	1.09	2.87	2.7	200.61	3.13	5.28	1.56	23.35	1.34	59.84	1.26	6.69	17.98	3.04	6.69	7.55	17.37	0.57	2.74	0.17	8.22	4.84	4.87	0.88	10.5	0.55	3.28	1.77	1.44	4.96	0.19	4.69	1.48	2.53	0.51	11.89	0.0	4.31	0.0	0.0	4.02	2.69	16.66	4.32	1.18	1.29	1.42	56.76	0.07	9.11	1.97	6.85	3.09	5.76	4.63	2.17	9.17	8.49	9.03
Adck3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	51.31	0.1	551.22	0.0	24.99	0.0	0.21	0.0	1.72	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.61	0.1	122.81	3.64	0.84	0.22	49.2	0.0	0.0	0.0	179.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.28	1.96	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	2.8	0.0	0.0	0.04	0.0	30.06	5.69	19.22	21.93	16.52	22.18	0.0	21.66	25.15	20.67
Agap2	0.0	0.0	6.94	0.0	0.0	0.0	9.24	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.39	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.52	1.49	6.24	0.65	16.16	15.89	0.86	16.84	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.63	0.0	0.0	0.0	0.0	2.03	2.52	4.62	7.67	7.74	10.87	1.23	10.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	1.28	0.0	0.0	2.1	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	4.21	1.91	2.87	1.11	2.34	5.52	2.27	3.17	4.67	2.46	5.91	3.24	422.27	459.59	467.65
