	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_111	Ndnf_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_18	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	PvalbF.Gad2_tdTpositive_cell_31	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2510003E04Rik	2.09	25.24	0.04	0.0	0.0	12.5	65.25	22.84	0.0	20.43	9.09	123.78	121.31	0.0	0.0	20.36	0.0	53.54	0.09	0.14	27.83	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	28.11	13.32	0.0	13.51	101.58	178.04	190.65	180.04
AK129341	0.0	0.0	0.14	0.0	0.0	0.0	0.0	27.97	0.0	0.0	0.0	0.0	46.02	0.0	0.0	3.12	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.03	10.01	10.88
Ablim2	0.19	0.0	13.9	0.33	0.0	0.14	15.15	43.16	0.0	2.23	11.24	0.39	5.94	0.0	0.0	15.44	1.37	29.34	0.03	0.71	95.25	0.2	0.0	0.0	9.64	66.61	0.0	0.0	0.0	37.8	0.0	0.0	0.0	0.0	99.48	96.84	98.33
Actn2	0.0	1.19	0.84	1.78	0.0	0.74	1.46	41.41	1.13	1.55	4.69	3.5	1.48	0.09	1.43	7.3	0.07	0.28	0.59	1.74	2.21	1.03	1.25	0.73	1.32	0.49	0.0	0.82	0.0	1.67	0.32	0.54	0.78	0.0	21.1	23.91	21.73
Alox12	0.0	0.0	0.22	0.0	0.0	0.16	0.51	0.4	0.0	0.25	0.3	0.33	0.91	0.0	0.49	0.27	0.17	0.54	0.13	0.29	0.08	0.1	0.0	0.19	0.0	0.11	0.0	0.19	0.0	0.25	0.0	0.67	0.3	0.0	0.71	0.51	0.96
Asphd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.91	0.0	0.0	0.4	0.0	149.47	0.0	0.0	14.98	0.0	0.0	0.0	30.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.71	48.61	44.08
Atp8b4	0.0	0.0	0.02	0.0	0.0	0.08	0.0	0.1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.07
Diras1	0.0	1.77	0.0	0.0	0.0	37.63	1.78	12.77	0.0	4.7	1.48	21.87	2.06	0.0	0.0	7.38	0.0	0.68	0.46	5.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.01	0.29	0.29	4.24	6.61	80.08	87.79	81.48
Egfr	0.11	0.76	1.1	0.37	0.09	0.59	1.11	1.86	0.68	0.41	0.94	0.79	1.23	0.59	0.74	4.12	1.22	1.13	0.26	0.67	1.21	1.03	1.19	0.45	1.11	0.16	0.29	1.43	0.28	0.66	1.94	1.02	0.44	0.57	6.24	5.93	6.67
Fam108a	0.0	0.0	5.38	0.0	0.0	0.0	59.61	1.64	0.0	0.0	22.34	0.8	2.39	0.0	0.0	8.22	0.0	5.25	0.0	40.68	0.43	0.0	0.0	0.0	0.78	0.0	0.0	39.17	0.0	0.0	0.0	0.0	0.0	0.0	185.45	211.33	202.35
Flot2	0.0	0.0	0.04	0.0	0.11	0.0	61.54	1.82	0.0	6.28	71.18	0.0	257.83	0.0	0.0	26.87	0.0	0.12	1.77	115.29	0.16	0.13	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.88	102.37	104.94
Fmn1	0.0	0.0	0.15	0.0	0.0	0.04	0.0	9.95	0.0	0.03	0.13	16.7	0.11	0.0	0.0	2.76	0.03	0.38	0.03	0.01	0.38	0.0	0.0	0.0	0.0	0.14	0.0	0.07	0.0	0.24	0.07	0.07	0.06	0.0	5.95	5.89	6.37
Gpr110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.13	0.0	0.0	0.1	0.24	0.0	0.0	0.12	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.24	0.0	0.0	0.17	0.09	0.01	0.07
Kpnb1	0.0	0.0	30.71	0.0	0.0	56.92	17.11	3.17	0.0	19.32	0.03	0.03	145.25	0.0	0.08	14.29	13.6	0.09	87.15	147.42	16.73	0.0	0.0	2.95	0.13	5.32	0.0	0.0	0.0	0.0	0.14	0.0	49.52	0.0	90.36	86.91	86.26
Map3k9	0.0	0.0	5.15	0.0	0.0	0.0	4.29	9.67	0.0	0.19	13.3	0.05	10.39	19.37	15.69	5.35	0.0	0.07	0.45	1.0	9.1	6.46	0.71	3.8	0.0	0.0	0.0	0.05	0.0	0.12	0.0	0.0	0.0	8.28	31.85	31.22	33.42
Mapk8ip1	0.0	0.0	0.0	0.0	0.0	0.0	22.44	14.53	0.0	0.06	8.85	8.98	10.42	0.0	0.0	2.41	0.34	0.79	0.04	0.59	7.58	0.0	0.0	0.0	0.0	9.25	50.18	0.19	0.0	0.22	0.0	0.0	0.26	0.0	277.88	291.47	297.45
Mtss1	0.0	0.0	0.0	0.0	0.0	0.0	0.73	11.55	0.09	0.0	0.0	0.0	25.15	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.4	22.58	22.27
Npl	0.0	0.0	0.0	0.0	0.0	0.0	70.26	123.79	0.0	0.0	0.0	0.0	157.17	42.63	0.0	9.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.63	3.76	6.4
Pnma2	0.0	0.0	91.43	0.0	0.0	0.0	92.96	53.69	0.0	2.56	180.24	0.0	58.19	0.0	0.0	22.14	0.04	0.04	0.02	0.15	0.64	0.0	0.0	0.0	0.0	65.04	0.0	0.0	0.0	8.25	0.0	0.0	0.34	0.0	42.38	41.15	38.55
Polr3d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.98	0.0	0.19	0.09	0.0	106.19	0.0	0.0	14.74	0.0	0.0	0.0	0.17	109.61	0.0	1.51	0.0	0.0	2.64	12.16	0.0	0.0	0.0	91.76	0.0	0.39	4.33	18.96	23.69	20.44
Ptch1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.25	0.0	0.0	5.3	0.0	3.97	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	0.0	22.74	21.68	22.39
Ptpn12	0.0	0.0	53.67	0.0	0.0	0.0	48.23	2.61	0.0	0.53	0.0	0.0	177.05	0.14	66.86	16.09	0.49	106.01	0.28	66.09	0.33	0.0	43.41	1.79	0.0	19.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.72	26.75	27.94
Pts	6.42	22.9	3.52	3.3	3.06	12.4	9.06	181.0	6.85	14.86	11.46	12.56	154.69	6.98	3.69	62.18	7.34	4.39	9.02	13.66	10.66	9.09	4.89	13.88	20.08	10.03	0.0	5.14	4.9	10.35	20.02	17.24	24.35	13.65	32.06	38.38	33.41
Rgs4	3228.45	4969.56	4793.66	5481.44	2297.98	5464.61	4201.26	1943.62	2439.32	5873.8	4839.36	5539.67	2307.6	4595.67	5390.4	413.12	3531.13	5399.11	5037.98	5187.94	4921.82	3484.83	4495.9	3462.02	4065.31	6274.8	5381.62	3292.99	3732.04	5420.33	4227.76	5598.27	4802.36	6781.39	495.03	470.64	483.11
Scn1b	0.0	0.0	4.15	0.0	2.08	0.0	0.0	29.07	0.0	0.0	12.15	9.31	23.14	0.0	8.59	6.21	15.17	0.07	4.45	91.91	0.84	0.0	3.88	3.55	2.27	0.67	9.99	1.96	3.38	2.61	0.0	0.0	8.33	7.61	508.98	541.93	555.14
