	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_20	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_167	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTnegative_cell_13	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_26	Sst_tdTpositive_cell_83	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200011M11Rik	0.0	0.0	0.0	0.0	0.0	50.6	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.68	0.0	0.4	0.0	0.0	0.13	0.0	0.0	88.72	72.41	2.98	0.0	0.0	0.0	0.0	0.0	0.0	13.6	12.88	12.91
1300015D01Rik	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	1.98	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.03	0.03
1300018I17Rik	0.0	144.45	0.0	0.0	0.0	0.0	7.1	0.0	0.18	1.06	0.0	0.0	2.05	134.16	0.0	0.0	2.22	0.0	0.2	0.0	0.14	46.94	0.0	0.16	0.22	0.0	37.82	240.94	304.42	112.32	0.0	6.04	0.0	9.03	0.0	23.4	58.4	0.0	0.0	151.14	3.01	6.44	0.41	14.65	0.0	0.0	0.0	0.0	43.83	49.49	52.89
1600012F09Rik	0.0	0.0	175.39	23.03	148.11	0.0	0.0	0.0	0.0	0.0	162.51	0.0	37.39	0.11	0.0	47.33	0.0	49.22	0.16	0.0	0.0	94.15	8.22	0.0	28.39	126.46	74.21	0.13	0.0	33.79	0.0	0.22	1.48	62.27	36.68	0.0	139.54	1.81	0.0	103.95	0.19	52.15	228.3	186.05	0.0	0.0	54.18	0.0	17.76	16.22	19.33
2810417H13Rik	0.0	0.0	0.7	0.19	0.0	0.23	0.32	12.26	0.44	1.07	0.0	0.39	0.21	0.0	23.77	0.15	0.36	24.81	0.03	0.12	0.0	22.65	0.0	0.42	0.0	0.44	0.0	0.0	0.0	0.08	0.19	0.42	0.3	4.03	0.18	0.0	0.09	0.0	0.0	38.78	0.0	0.29	0.15	29.71	0.2	0.0	0.0	0.0	1.04	0.72	1.0
4833422C13Rik	0.0	0.36	0.0	0.19	0.0	1.18	1.48	13.1	2.58	57.58	58.41	0.68	0.93	0.0	0.68	0.17	0.09	0.17	0.3	0.0	0.21	0.9	2.68	1.37	0.17	2.12	0.69	0.0	0.0	0.0	212.78	0.0	0.0	9.15	1.31	0.0	15.55	0.0	4.9	32.44	0.18	1.32	0.0	0.46	0.0	0.49	0.0	0.0	5.41	5.08	7.02
4932416H05Rik	0.14	0.0	1.44	0.19	0.09	33.47	1.63	3.57	46.9	0.0	0.19	0.49	0.0	0.0	1.15	0.0	0.16	0.0	0.0	0.0	0.06	9.58	0.0	0.77	29.47	0.3	0.0	0.0	0.27	0.48	0.78	3.18	0.4	3.92	0.9	0.4	36.72	0.0	0.25	57.91	0.11	2.86	0.37	0.0	0.12	0.05	3.56	0.0	5.44	5.94	5.08
5031434C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0
6430527G18Rik	1.71	0.0	6.26	0.08	5.39	12.99	0.0	0.0	0.62	1.82	2.83	4.11	4.06	2.93	0.52	0.0	0.0	0.0	2.89	8.29	0.0	33.07	6.03	3.18	0.81	5.06	4.15	4.59	0.0	0.0	1.72	0.0	5.18	14.51	22.77	0.0	12.37	0.0	7.8	31.71	4.42	3.32	0.14	0.14	0.17	8.8	3.67	0.0	62.46	66.67	51.85
9330175E14Rik	0.0	0.0	0.0	0.22	0.0	0.69	0.46	0.0	0.66	0.0	0.23	0.0	0.24	0.0	0.95	0.0	0.14	0.0	1.12	0.0	0.0	0.16	0.42	0.29	0.0	0.0	0.0	0.29	0.39	0.0	0.0	0.27	0.21	0.0	0.28	0.0	0.25	0.0	0.0	3.03	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.32	0.12	0.02
A930011O12Rik	3.18	0.0	91.55	5.56	6.23	72.32	45.64	0.0	100.47	179.62	5.41	94.64	5.58	13.1	3.98	0.43	55.21	19.98	0.0	0.0	0.0	89.87	41.86	159.32	20.51	23.44	0.0	87.41	19.19	73.3	73.57	0.19	67.25	54.86	33.88	0.0	143.21	0.0	0.2	270.2	0.08	25.95	49.43	22.41	0.0	2.4	95.13	36.75	130.41	125.17	129.06
Acbd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.6	170.49	0.0	89.01	0.0	0.0	0.0	0.0	19.84	0.0	0.0	0.0	0.0	16.01	0.0	14.62	0.09	0.61	4.27	0.0	0.0	0.0	0.0	94.89	0.0	12.85	0.0	0.0	0.0	0.0	0.0	13.57	0.74	5.33	0.0	26.76	0.07	6.88	5.23	0.0	29.33	28.12	26.51
Actn1	17.68	0.0	52.11	0.0	3.03	44.37	0.04	4.4	11.2	12.73	23.97	45.52	36.85	6.04	8.79	13.23	59.94	9.37	18.53	0.0	0.0	18.96	20.43	59.13	5.28	0.93	13.72	10.48	16.33	20.01	15.77	0.0	28.89	35.64	1.6	0.0	20.95	0.0	8.6	76.8	12.18	41.49	7.91	12.43	15.29	39.9	18.02	36.39	72.48	66.41	70.2
Ap4m1	0.0	0.0	0.0	0.0	0.0	91.48	0.0	0.0	0.0	0.0	6.92	0.0	82.35	0.0	7.49	0.0	60.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	159.63	0.0	11.99	0.0	0.0	0.0	0.0	0.0	0.0	14.66	13.97	13.41
