	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1190002N15Rik	0.0	0.0	2.31	0.07	164.62	0.9	0.0
2610044O15Rik	0.23	0.0	235.2	29.5	270.45	0.8	1.86
2610109H07Rik	0.0	0.0	0.72	0.51	0.36	0.0	0.16
A230072C01Rik	0.19	0.59	137.96	94.55	198.16	24.5	7.33
A730082K24Rik	0.0	0.0	27.34	23.16	39.5	3.04	0.89
A730098P11Rik	0.34	0.28	0.44	0.48	0.91	0.41	0.25
AI464131	0.0	0.0	0.11	1.3	1.11	0.01	0.0
Amy2a2	0.0	0.0	0.29	0.0	1.81	0.02	0.13
Amy2a3	0.0	0.0	0.29	0.0	1.81	0.02	0.13
Amy2a4	0.0	0.0	0.29	0.0	1.81	0.02	0.13
BC048602	0.0	0.0	2.29	1.83	0.0	0.0	0.0
Car5b	3.67	0.6	14.12	15.61	18.29	2.04	1.81
Ccl27b	0.0	0.0	344.85	14.7	274.48	4.38	27.11
Cdh12	0.0	0.0	226.41	36.84	75.53	0.0	0.16
Clca2	0.08	0.0	0.83	7.17	12.71	0.97	1.01
Cnot1	0.0	0.0	138.85	21.98	2.12	0.53	33.88
Cpd	0.0	0.0	76.6	1.4	1.71	1.79	0.0
Ctr9	0.0	0.0	57.95	0.09	10.74	36.84	4.21
D17H6S53E	7.17	0.38	102.92	67.38	44.06	15.41	41.34
Ddx17	0.08	0.0	20.24	738.71	491.17	14.39	55.37
Dlgap1	0.0	0.1	319.74	242.58	245.54	57.89	53.19
Dscam	0.0	0.0	8.85	0.21	142.63	0.02	1.19
Fip1l1	0.0	0.0	36.82	2.19	17.95	40.83	0.42
Fmr1	0.0	0.0	7.47	10.64	197.62	1.68	0.0
Gm10635	0.0	0.0	1.49	1.05	0.47	0.0	0.0
Gm13306	0.0	0.0	344.85	14.7	274.48	4.38	27.11
Gm20597	0.0	0.0	1.82	6.79	12.29	0.68	1.53
Gm2506	0.0	0.0	344.85	14.7	274.48	4.38	27.11
Gm4297	0.0	0.0	4.89	14.47	12.62	0.11	0.0
Gm6300	14.86	0.58	319.57	310.83	476.23	22.78	23.24
Gria2	0.0	205.83	623.86	923.39	496.12	285.91	339.87
Grm5	0.0	0.0	170.2	12.62	209.35	38.4	10.24
Gsdma	0.36	0.0	0.69	1.6	0.0	0.2	0.0
Huwe1	0.0	0.0	31.95	11.11	94.2	17.46	3.35
Idh3b	0.0	0.23	74.9	6.45	947.44	284.23	307.4
Il17rd	0.81	0.0	0.23	8.09	0.42	0.11	0.03
Lamtor3	0.27	0.0	38.36	0.22	659.11	122.13	117.24
Mll5	119.72	0.05	40.28	90.78	282.73	3.01	4.76
Mycbp2	0.0	0.0	116.55	184.51	45.95	29.58	28.61
Naa50	0.0	0.0	0.0	162.86	0.72	18.6	0.0
Nrxn1	0.0	18.91	667.35	290.41	421.83	193.4	262.64
Pabpn1	0.0	0.77	218.02	61.98	137.59	12.94	29.78
Pdp1	0.08	0.0	785.43	773.42	275.67	118.97	9.32
Per1	0.0	0.0	28.03	4.77	120.14	8.91	10.92
Pfkfb2	0.06	0.0	70.16	38.22	54.37	5.61	1.45
Pigv	14.0	1.41	63.36	67.01	77.21	6.78	43.3
Ppig	0.0	0.0	102.82	28.75	52.95	16.43	21.57
Ppp3ca	0.0	202.95	1509.79	1060.99	773.82	480.37	259.52
Prpf4b	0.0	0.0	3.14	2.53	284.03	9.99	45.47
Rab39b	0.0	0.0	38.08	191.74	228.68	7.59	0.63
Rtn4r	0.0	0.0	47.87	113.43	68.7	0.0	4.67
Srp9	0.0	0.0	181.43	100.76	284.38	0.81	227.8
Syne1	0.16	0.0	599.64	671.99	121.09	32.12	98.02
Tigd4	0.0	0.0	0.55	8.15	4.19	0.19	1.44
Tmem11	0.0	0.0	0.0	2.5	515.85	62.11	0.0
Tmod1	2.43	0.0	87.25	1096.21	35.86	39.68	75.36
Trappc9	9.73	8.05	136.82	93.04	171.35	63.4	87.65
Treml2	0.0	0.0	1.52	0.0	0.78	0.03	0.07
Trim12c	4.21	0.0	3.73	7.22	28.66	3.67	4.08
Trub1	0.0	0.04	5.79	42.33	27.76	1.04	0.71
Ube2j1	0.0	0.0	70.5	0.0	88.85	43.21	8.81
Uimc1	0.0	0.0	0.0	43.95	84.24	0.0	31.74
Zcchc8	0.0	0.0	0.0	0.13	107.98	66.17	30.61
Zfp839	0.34	0.0	17.88	7.95	9.43	0.51	0.33
c17_SSU-rRNA_Hsa	2521.06	1172.12	32310.68	62935.79	39573.42	28103.63	31264.04
c6_SSU-rRNA_Hsa	424.07	171.7	5460.12	12576.8	5449.99	5006.45	5876.33
