	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_71	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_77	Nos1_tdTpositive_cell_5	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_62	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110004E09Rik	0.13	0.0	0.0	0.0	0.0	0.0	0.0	7.0	116.44	0.0	0.0	0.0	5.06	163.44	0.0	144.52	134.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	0.0	337.32	0.0	0.44	0.46	0.0	16.22	39.16	6.87	19.21	22.14	41.06	48.94	39.53
1110037F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.62	0.0	22.98	0.0	0.0	4.98	0.0	0.0	20.42	12.24	0.0	44.99	0.13	0.0	0.0	0.0	16.19	0.11	321.95	0.0	0.0	0.14	0.06	3.91	12.61	15.1	7.94	9.39	20.16	18.84	18.64
1110038F14Rik	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.81	0.0	0.0	0.0	0.0	0.0	0.0	9.9	0.0	44.86	0.0	55.08	0.0	0.0	0.0	0.0	66.49	38.08	22.91	35.53	32.57	26.61	27.49	24.69
1300010F03Rik	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	15.4	0.0	0.0	0.0	0.0	18.04	0.8	0.06	95.35	0.0	0.0	0.07	0.0	0.81	4.49	3.36	1.67	2.5	19.64	19.13	19.1
1700003G18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.16	0.17
2410015M20Rik	282.75	84.14	116.64	0.0	0.0	0.0	0.51	214.32	83.11	0.0	0.0	6.72	104.87	181.8	0.54	102.32	159.94	3.21	145.22	3.56	0.0	171.81	0.0	205.22	336.11	588.45	1367.28	146.04	0.0	2.17	0.0	223.07	167.17	168.61	190.78	164.78	73.48	71.74	73.7
2900009J06Rik	0.0	120.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.94	0.0	0.0	0.0	22.4	268.3	273.6	0.0	0.0	0.0	0.0	0.0	12.63	5.05	11.6	4.18	2.74	1.44	2.12
3110043O21Rik	7.12	243.27	0.15	2.08	148.6	0.13	22.41	0.0	162.48	0.0	0.0	0.0	0.0	0.0	0.96	57.91	0.0	78.05	19.93	0.0	96.28	0.0	198.55	222.88	8.88	0.0	604.24	0.0	0.16	0.96	0.0	48.9	11.89	22.5	29.29	36.37	21.0	21.81	18.47
4930413F20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.32	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.59	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	1.8	1.25	0.71
4930430F08Rik	0.57	95.81	0.0	0.0	84.51	0.0	0.0	0.25	0.0	0.0	0.0	211.43	250.52	191.8	0.0	0.0	0.18	0.0	0.0	42.02	226.97	3.92	0.0	0.0	71.26	0.0	331.05	24.01	0.21	0.64	0.0	56.04	48.68	65.55	43.63	44.35	18.64	17.38	16.42
