	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_89	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_37	Ntsr1_tdTpos_100cell_1
2410004P03Rik	0.44	5.22	0.65	0.39	0.0	15.06	2.04	2.96	2.71	2.06	0.0	0.0	0.35	2.6	0.0	2.23	1.25	4.73	0.0	7.97	0.73
2410015M20Rik	188.12	89.93	77.61	288.37	285.67	499.08	259.76	145.93	68.96	160.51	107.84	25.47	234.84	323.38	232.6	184.35	146.66	103.14	237.22	329.92	168.61
2610206C17Rik	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.18
4930520P13Rik	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.0	0.0	0.0	2.55	0.0	1.0	0.0
4930545H06Rik	0.0	0.05	0.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5430421F17Rik	0.37	0.39	0.1	0.0	0.19	1.34	0.28	0.18	0.18	0.0	0.61	0.0	1.1	1.01	0.0	0.05	0.1	0.69	0.0	1.15	0.35
9230105E05Rik	0.0	0.22	0.0	0.0	0.0	1.03	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.04	0.05	0.24	0.0	0.0	0.0
A230073K19Rik	170.48	0.17	8.72	0.0	29.85	108.13	71.11	64.94	75.4	2.4	18.42	0.0	121.24	35.48	0.0	51.31	0.03	15.57	0.0	83.21	11.03
Alg6	0.25	73.42	0.08	0.0	0.28	124.69	0.34	0.14	0.0	0.0	0.0	0.0	13.45	50.26	36.94	0.64	0.07	3.99	0.48	178.17	28.14
Amy2a2	0.47	0.13	0.14	0.43	0.44	0.5	0.04	0.04	0.01	0.31	0.31	0.0	0.11	0.51	0.0	0.08	0.23	1.13	0.07	0.64	0.24
