	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_4	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_21	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTnegative_cell_57	Rbp4_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_4	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_61	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110034G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.54	168.94	0.0	0.0	0.0	158.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.5	0.0	59.09	37.29	0.0	0.0	0.0	0.0	0.0	417.13	166.99	0.0	0.0	0.0	0.0	0.0	0.0	0.32	199.25	126.27	0.79	18.13	26.69	56.95	59.44	16.98	50.67	40.52	44.33	41.13	10.45	10.93	10.58
A830080D01Rik	0.0	0.0	0.0	0.0	0.0	27.79	0.0	0.0	5.14	0.0	0.0	0.0	0.0	26.25	0.0	0.0	0.0	0.0	10.82	70.87	0.0	11.58	0.0	0.0	0.0	0.0	2.03	0.0	0.0	0.0	0.0	17.02	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.89	0.0	0.0	0.0	0.27	0.31	237.53	0.34	1.91	11.69	10.12	17.4	11.76	1.81	6.0	9.57	8.32	6.64	5.62	7.18
Bambi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.1	0.09	0.0	0.07	0.0	0.07	0.78	0.0	0.0	0.12	0.0	0.0	0.24	0.0	0.27	0.05	0.06	0.0	0.0	0.0	0.0	0.13	0.16	0.08	0.07	0.07	0.06	0.17	0.03	0.01	0.06	0.0	0.4	1.78	2.07	1.85
Camk4	1.24	42.79	1.72	0.96	2.52	4.84	44.17	0.97	78.8	0.98	1.72	2.22	1.79	31.26	2.08	1.62	1.34	0.73	1.66	1.83	1.74	42.91	1.56	15.38	1.76	2.36	1.98	34.62	25.3	0.58	0.65	23.52	2.63	23.43	28.92	1.22	12.3	87.06	1.78	2.63	2.61	28.63	2.5	2.09	2.77	2.14	37.95	1.69	1.87	2.02	4.47	3.36	60.11	47.89	55.57	73.83	35.12	47.26	59.3	47.34	48.68	69.62	59.4	72.95
Ccl27b	6.84	5.92	22.81	10.98	5.41	0.0	16.36	0.0	119.25	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	2.47	0.0	0.0	10.06	0.0	5.02	0.0	0.0	172.96	0.0	83.97	40.26	0.0	7.77	7.33	0.0	0.0	13.03	0.0	0.0	0.0	21.43	0.0	0.0	0.18	0.52	0.0	0.0	0.11	114.56	125.27	74.98	103.08	54.7	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Chrm4	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	3.47	0.0	0.0	0.0	0.0	1.67	0.0	0.82	3.83	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	5.58	0.28	0.26	3.29	2.38	3.52	0.54	0.43	0.87	1.62	2.13	45.22	46.97	34.33
Cyb5b	19.57	9.93	0.0	0.0	0.0	66.79	80.03	0.0	67.97	0.29	0.0	0.06	0.0	0.08	0.63	0.4	84.93	96.92	0.0	37.56	0.06	5.97	32.94	76.03	0.0	143.88	0.09	70.23	0.0	0.0	1.19	19.64	0.0	60.33	27.4	0.0	0.0	0.2	0.0	0.19	208.85	2.46	168.37	0.0	0.0	101.21	0.13	10.29	0.11	0.12	310.11	0.34	19.35	14.51	22.27	30.4	22.95	16.34	31.64	32.69	34.02	103.68	103.32	101.13
Dtl	0.07	0.13	0.1	0.07	0.06	0.0	0.22	0.0	251.98	0.0	0.0	0.0	0.0	0.1	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.1	0.21	0.01	0.1	0.0	0.06	0.0	0.0	0.0	8.02	0.0	0.08	0.1	0.12	0.0	0.23	0.09	0.0	0.0	0.3	0.01	0.0	0.08	0.0	0.43	0.08	0.09	13.19	19.87	23.45	33.14	14.56	15.64	14.8	14.97	15.6	7.48	6.4	7.6
Gm13306	6.84	5.92	22.81	10.98	5.41	0.0	16.36	0.0	119.25	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	2.47	0.0	0.0	10.06	0.0	5.02	0.0	0.0	172.96	0.0	83.97	40.26	0.0	7.77	7.33	0.0	0.0	13.03	0.0	0.0	0.0	21.43	0.0	0.0	0.18	0.52	0.0	0.0	0.11	114.56	125.27	74.98	103.08	54.7	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.19	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.15	0.19	0.0	0.0	0.0	0.0	0.21	5.81	2.35	3.62	0.0	0.96	1.27	4.28	1.89	1.73	1.86	1.4
