	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_13	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_19	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ntsr1_tdTpositive_cell_78	Ntsr1_tdTnegative_cell_25	Rbp4_tdTnegative_cell_19	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70
1500003O03Rik	389.56	22.62	56.13	216.64	169.35	3.93	155.2	0.0	155.39	373.08	239.89	0.0	1.25	0.0	3.64	177.02	332.97	134.78	307.31	222.01	188.39	92.91	0.0	0.0	619.62	479.38	129.39	344.7	158.31
Aarsd1	666.75	70.72	0.0	207.18	0.0	222.92	123.22	44.58	79.48	338.21	271.85	7.3	0.0	0.0	0.0	181.55	65.29	0.0	261.96	183.61	39.71	0.0	0.0	0.0	300.75	198.87	95.56	258.27	25.62
Cct6a	733.54	569.72	262.07	176.98	303.19	272.27	184.51	0.0	153.93	297.18	340.07	224.44	108.42	0.0	3.99	647.64	0.0	110.07	363.76	273.68	456.08	0.0	0.0	0.0	542.5	529.65	217.89	229.96	197.01
Cct7	1528.98	580.84	395.63	739.92	899.19	1126.85	816.15	78.71	678.61	744.35	1062.72	401.94	652.26	458.61	566.32	1032.44	5.57	754.65	813.03	744.85	1375.35	0.0	208.97	0.81	830.54	1568.24	910.51	964.78	279.21
Cnr1	3376.11	635.78	631.53	14271.7	14712.45	18446.25	33283.94	276.12	19184.04	19801.43	16437.47	480.64	423.07	385.27	3106.57	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	1851.35	0.0	0.0	12766.46	14288.55	25768.68	23267.78	1764.01
Csdc2	822.91	1.95	0.21	122.21	134.77	42.96	15.09	0.0	210.92	200.28	21.43	0.0	0.0	0.2	0.0	49.51	123.9	155.99	269.75	4.01	99.7	0.0	0.0	0.0	0.0	221.01	74.8	375.11	0.32
Cxcl14	173.86	0.0	0.0	280.35	439.66	173.61	81.61	0.0	178.52	238.22	271.53	0.0	0.0	0.0	146.69	218.95	151.91	0.0	178.06	224.73	63.85	0.0	251.16	0.0	419.29	432.2	438.86	444.57	0.0
Dnajc8	496.04	112.5	40.61	171.95	417.8	269.5	172.51	0.0	249.67	251.72	179.26	38.23	78.47	38.3	0.33	79.62	360.2	55.9	308.64	179.15	254.96	154.1	0.0	0.0	458.93	583.6	210.15	316.3	0.0
E130309F12Rik	395.89	0.0	0.0	331.05	322.86	285.04	340.49	0.0	204.31	68.88	132.67	0.0	0.0	0.0	0.0	218.56	60.79	139.42	284.64	344.78	340.39	0.0	0.0	0.0	355.65	36.35	218.36	550.61	0.0
Ergic2	257.5	132.61	0.0	67.5	469.76	107.82	137.04	0.0	215.64	151.01	82.25	62.87	11.42	0.0	0.05	298.41	206.54	105.6	71.81	83.37	23.26	0.0	0.0	0.0	196.65	349.72	82.73	316.47	28.75
Gm15800	150.2	46.25	86.22	65.61	82.45	51.46	49.34	6.99	63.44	75.04	87.12	16.47	35.68	95.36	0.06	97.29	56.91	80.95	127.13	54.13	30.34	43.17	0.0	0.04	112.22	51.17	29.72	83.66	76.9
Nrxn3	274.88	184.62	248.56	556.98	701.43	603.76	698.54	0.0	566.82	437.81	797.24	119.33	199.84	208.11	301.46	670.04	301.68	747.73	290.29	1007.09	557.42	82.28	0.0	0.13	761.28	598.91	439.83	902.13	248.05
Pcp4l1	0.29	0.25	127.93	977.24	548.76	221.56	24.9	0.0	651.5	606.13	118.13	0.0	20.79	0.0	0.0	644.56	136.67	0.0	292.69	314.38	488.47	0.0	0.0	0.0	349.13	666.94	1455.11	2542.73	0.0
Prmt2	313.37	184.81	0.0	1053.02	953.55	282.55	373.01	0.0	570.17	635.15	749.91	34.36	0.0	0.25	0.0	201.42	0.41	716.01	880.25	506.6	241.71	0.0	0.0	0.0	0.3	507.57	456.8	1258.97	9.55
Rgs12	27.39	0.0	0.0	542.67	385.91	246.09	0.0	0.0	417.86	636.53	161.74	0.0	0.0	0.0	0.0	661.42	346.25	57.36	340.71	56.1	1.41	0.0	0.0	0.0	267.67	751.03	425.48	371.91	0.0
Shisa9	33.62	0.0	0.0	51.69	82.56	8.8	62.75	0.0	57.1	31.12	175.46	0.0	0.0	0.0	0.0	0.09	24.74	79.78	30.86	114.54	68.11	0.0	0.0	0.0	403.61	6.76	35.19	35.53	0.0
Spsb3	324.23	0.0	0.0	95.14	177.22	0.0	0.0	0.0	0.0	126.91	0.0	0.0	0.0	0.0	0.0	0.0	272.21	0.51	57.1	0.22	40.83	0.0	0.0	0.0	0.0	210.09	86.3	132.19	0.0
Tmbim6	1016.37	115.51	67.82	447.46	516.01	401.89	477.26	0.0	213.68	337.46	345.38	81.69	256.13	210.29	396.01	42.4	506.92	333.52	598.05	523.43	287.54	0.0	1.35	42.15	809.29	168.45	435.09	891.56	960.82
Usp5	327.65	5.46	1.61	211.56	133.3	145.62	76.39	0.0	175.86	132.09	0.21	20.64	0.0	0.0	0.0	212.46	18.88	121.69	99.1	111.24	92.09	0.0	0.0	0.21	0.0	349.18	96.09	26.18	0.0
