	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_77	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_11	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_46	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
2810432L12Rik	37.04	0.0	327.76	57.94	41.69	129.63	84.77	285.98	67.92	0.0	0.52	133.29	0.0	240.98	114.34	26.17	0.0	0.11	0.0	0.0	0.0	0.27	0.0	0.0
8430429K09Rik	12.5	3.11	5.91	55.69	1.56	83.94	14.75	144.3	1.97	2.09	5.84	6.21	2.39	2.56	1.88	3.25	2.81	7.63	3.38	1.42	2.88	1.51	2.18	4.37
Adamtsl2	0.0	0.0	77.83	10.13	35.59	71.33	71.17	64.58	35.49	0.0	0.0	0.0	0.0	44.1	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atp2b1	224.45	197.79	496.03	515.01	326.28	480.34	367.26	446.7	327.98	70.66	88.91	117.62	90.48	160.93	160.73	159.13	84.27	77.08	59.87	74.75	96.87	89.99	158.39	135.96
Blvrb	0.0	0.0	0.0	141.86	0.0	234.82	0.13	59.22	0.0	0.0	49.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C330006K01Rik	1.07	0.29	0.94	1.81	1.85	1.27	7.07	22.34	1.24	2.95	0.95	0.64	0.25	0.87	0.35	8.65	0.35	0.49	0.0	0.72	0.0	0.42	0.32	0.0
C77370	0.05	3.55	10.25	3.97	2.67	19.06	14.76	5.76	2.89	0.82	4.47	1.13	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calcrl	0.0	0.0	0.0	0.14	0.0	0.15	0.05	0.03	0.04	0.0	0.0	0.09	0.01	0.01	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0
Chrm3	0.0	0.0	2.52	35.17	2.28	57.51	18.94	4.64	37.28	0.89	0.0	0.0	0.0	0.13	8.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Csgalnact1	0.0	0.0	8.66	3.09	71.01	36.14	49.67	21.06	20.58	0.05	79.84	2.06	0.0	20.12	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dgkb	0.0	0.0	62.95	181.55	56.03	114.04	111.59	165.55	119.98	0.0	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif4g1	0.0	0.49	38.65	26.67	0.0	39.07	24.29	2.24	6.98	0.0	0.13	6.15	10.04	4.37	1.36	13.42	0.0	0.0	0.5	0.0	0.0	17.84	0.0	0.0
Etv1	0.0	0.0	0.0	79.81	0.0	68.62	131.87	0.04	46.3	0.05	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
