	Calb2_tdTpositive_cell_18	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_4	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_2	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A230001M10Rik	0.0	0.24	0.41	0.0	0.0	0.0	0.61	0.0	0.0	0.13	2.94	0.54	0.0	0.38	0.23	0.3	0.0	0.0	0.0	0.0	0.15	0.0	0.18	0.0	0.33	0.07	0.0	0.64	0.0	0.0	0.21	0.3	3.37	3.41	3.14
Actr1b	5.75	105.06	83.85	0.0	0.0	0.0	80.45	213.61	57.67	82.34	718.09	117.27	90.87	0.0	309.13	0.3	222.48	0.43	0.0	0.0	94.25	191.62	35.73	0.0	108.06	284.47	0.0	9.32	64.73	241.26	23.37	0.0	281.28	287.1	283.56
Adarb1	1.29	8.55	2.48	0.04	0.0	0.97	53.4	2.2	18.82	36.72	80.51	1.12	12.8	0.9	1.66	3.22	1.68	4.14	2.91	37.51	11.14	13.16	72.57	1.01	3.95	26.24	2.29	1.09	32.0	46.92	0.55	1.45	89.82	88.96	96.44
Amfr	5.86	16.2	117.12	0.0	0.0	8.79	34.57	0.7	37.53	19.56	203.73	49.18	67.36	0.0	19.85	0.0	0.0	4.53	1.34	0.95	7.44	0.39	5.94	0.0	14.32	111.44	5.35	1.34	53.59	6.84	63.27	1.59	115.45	125.98	115.58
Aph1a	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.08	0.0	71.22	0.0	0.0	0.0	0.0	135.38	0.0	0.0	53.87	0.0	3.84	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	63.06	65.12	64.84
Atcay	16.29	47.29	73.87	0.0	0.0	144.46	30.4	41.2	58.1	45.94	246.74	0.4	159.32	3.98	33.12	0.0	0.0	151.6	0.0	49.62	37.87	101.32	24.22	0.0	9.82	131.11	0.0	0.0	162.02	70.99	0.0	0.0	152.84	156.79	151.1
Atxn2	0.0	2.1	81.79	0.0	0.0	0.33	6.02	0.0	29.54	8.1	46.3	2.75	18.45	0.0	0.0	0.0	2.39	0.1	0.0	4.59	14.82	0.0	53.37	0.0	0.0	55.16	0.0	0.0	149.29	5.5	0.0	1.89	46.73	47.49	48.73
Cacnb2	0.0	30.88	14.98	0.0	0.0	0.0	4.34	0.79	6.15	11.74	18.5	56.86	0.09	3.58	0.0	0.0	0.0	4.49	0.0	9.42	18.7	8.52	7.1	0.0	0.0	4.5	0.0	2.7	12.09	10.44	9.9	0.0	33.74	31.87	33.43
Cadm3	1.23	5.16	10.0	0.0	0.0	5.64	19.35	0.0	9.68	3.69	70.0	3.43	2.96	0.0	0.83	0.58	22.59	1.69	0.43	0.0	7.97	2.8	15.51	0.0	4.69	28.95	0.0	4.73	23.35	3.25	0.04	0.0	266.15	258.6	271.92
Capn10	0.0	52.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9	153.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.22	22.83	24.07
