	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310005G13Rik	0.0	0.0	0.22	0.0	0.06	0.06	0.19
6330407J23Rik	0.0	0.0	197.53	0.0	49.96	45.74	58.4
A330049M08Rik	0.0	0.0	508.74	0.0	0.85	1.1	0.93
A330050B17Rik	0.0	1.73	6.07	3.68	4.99	4.82	5.88
AU019823	0.12	0.0	51.72	0.0	15.48	14.52	15.73
Aldh16a1	0.0	0.0	5.68	0.0	4.84	6.3	5.31
Amy2a2	0.0	0.0	0.96	0.0	0.26	0.19	0.21
Amy2a3	0.0	0.0	0.96	0.0	0.26	0.19	0.21
Amy2a4	0.0	0.0	0.96	0.0	0.26	0.19	0.21
Ckap4	0.0	0.0	202.56	0.0	19.09	18.54	21.09
Clta	0.0	0.0	156.84	0.0	283.56	310.7	294.37
Cpne3	0.0	0.17	177.19	0.5	7.82	7.78	8.94
Crem	0.29	0.0	531.47	13.51	14.67	14.41	15.7
Ctdspl	0.0	0.0	208.22	0.0	21.42	22.93	24.08
Eif4a1	222.02	0.0	595.18	253.29	275.45	288.37	260.65
Gm10640	0.0	0.0	3.33	0.0	0.63	0.34	0.35
Gm14403	0.08	0.19	636.75	11.33	6.22	4.82	6.44
Gm14430	0.0	0.25	0.67	0.0	7.67	5.07	7.49
Gm14434	0.0	0.25	0.67	0.0	7.67	5.07	7.49
Gm14436	0.0	1.28	25.39	1.36	18.0	12.5	20.39
Gm4724	0.0	0.25	0.67	0.0	7.67	5.07	7.49
Gm5607	0.22	3.58	13.58	5.42	10.94	9.85	11.52
Heatr3	0.36	0.0	264.99	0.0	27.9	27.54	28.26
Insr	0.0	0.0	41.32	0.0	20.93	19.88	20.61
Lpp	1.62	1.81	22.98	2.11	2.8	2.71	3.18
Lrrc57	0.0	0.0	496.91	0.0	38.65	40.88	40.37
Mad1l1	0.0	0.0	702.46	0.0	13.39	14.3	12.82
Magee1	0.12	0.0	454.92	0.27	117.31	122.31	117.69
Mapk14	0.0	0.0	629.79	0.0	80.37	80.8	75.14
Mrpl35	4.0	14.23	360.41	2.37	18.2	17.5	17.89
Mrps5	0.0	0.0	302.28	0.0	55.04	55.85	51.07
Msh3	0.0	0.0	326.28	0.0	14.98	14.14	15.57
Myst3	0.0	0.0	107.09	1.24	23.44	21.37	23.54
Nacc2	0.03	0.94	239.55	1.23	51.13	51.33	57.92
Nop16	0.24	2.78	534.06	1.11	20.33	25.82	19.64
Npas3	0.0	0.0	187.6	0.0	5.14	5.13	5.33
Orai1	0.0	0.0	95.45	0.0	5.47	6.31	7.51
Pigq	0.0	0.25	907.58	0.8	79.81	85.55	87.13
Psmd6	0.0	0.0	1932.51	0.0	95.94	94.97	93.44
Pycr2	0.0	0.0	504.11	0.0	29.29	31.46	30.59
Rabggta	9.88	92.24	622.03	10.43	40.16	41.06	38.27
Rapgef2	0.06	8.69	166.9	0.0	58.9	57.22	59.61
Rftn2	0.0	0.0	457.64	0.0	18.31	18.21	20.94
Rnf6	0.0	0.0	508.22	0.0	55.74	48.46	50.89
Snapc2	0.0	0.0	681.37	0.0	31.9	37.25	37.08
Tmem109	0.0	0.0	379.55	0.5	38.58	45.99	43.98
Tmem132b	0.0	0.0	388.22	1.65	63.03	59.03	67.55
Tshz1	0.0	0.0	336.48	0.32	15.65	16.68	17.03
Ubtfl1	0.0	0.0	0.42	0.0	0.0	0.03	0.0
Vamp3	9.97	5.45	988.45	2.1	35.15	32.83	30.41
Vapa	0.0	0.0	992.79	37.71	199.06	202.84	193.73
Wash	0.48	3.62	32.87	6.48	28.19	29.78	29.09
Wdr8	0.0	0.0	876.47	0.0	24.48	29.39	27.58
mt_AK131586	6370.03	4908.34	69.31	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
