	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
1700047I17Rik2	6.75	2.32	8.8	0.66	2.26	3.78	2.65	2.63	0.8	2.05	0.82	6.05	0.81	26.62	5.1	16.25	26.59	49.44	4.73	15.13	31.83	61.73	16.63	14.23	10.18	0.15	28.96	0.0	0.75	7.92	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	10.53	5.51	4.19	26.95	14.55	4.03	3.22	5.27	9.6	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	0.64	0.76	1.16	2.34	0.0	18.26	23.92	11.71	8.08	15.19	9.76	6.64	1.21	31.99	1.29	12.49
AI593442	80.59	139.59	147.16	38.1	7.31	33.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	940.95	335.01	280.04	133.37	448.77	302.02	432.79	377.85	382.64	548.38	246.88	428.23	0.0	280.48	0.0	9.26	67.92	43.53	65.77	59.24	110.21	83.16	101.55	77.39	10.59	144.64	17.69	255.4	69.38	81.46	98.11	144.98	55.31	533.11	245.47	68.57	388.52	80.54	100.5	111.22	227.61	13.63	12.06	151.78	211.67	107.06	378.7	136.18	96.68	20.68	0.0	0.0	0.0	0.0	0.0	94.22	52.25	140.62	14.94	70.92	70.24	57.92	95.97	32.99	20.52	345.47
Ank3	7.78	83.39	5.62	54.56	21.63	28.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.41	91.14	57.94	58.43	85.62	79.92	120.56	180.09	127.46	186.57	94.0	109.83	0.0	96.81	0.0	43.13	61.8	17.22	28.44	21.68	61.19	18.62	3.39	39.85	21.47	31.26	20.23	54.73	8.95	52.83	22.05	25.15	11.63	138.55	93.31	49.62	56.5	47.33	45.6	2.6	100.91	83.83	16.15	25.32	38.91	15.13	40.94	76.41	30.24	68.54	0.0	0.1	0.0	0.0	0.0	23.59	38.29	109.49	19.65	66.03	24.12	21.28	63.63	100.61	3.95	132.05
Ankrd12	20.21	19.23	25.45	32.64	24.46	22.23	106.65	0.0	0.0	11.2	0.0	65.49	0.0	50.68	60.86	53.7	39.87	30.43	97.05	25.25	13.78	37.22	40.68	85.73	70.0	0.24	9.76	0.0	38.9	13.63	27.3	22.04	27.97	14.91	14.96	18.66	13.02	25.95	20.81	21.38	11.94	33.2	9.99	37.09	6.87	40.43	51.79	57.73	26.05	32.07	21.06	31.73	40.85	46.72	22.81	19.19	19.29	27.9	12.71	18.38	8.72	10.58	8.81	31.59	0.07	0.0	0.0	0.0	21.03	15.82	17.02	8.91	17.97	19.21	45.31	46.44	29.02	28.81	79.33
Cadps	133.42	92.93	92.54	70.08	25.88	73.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.58	248.86	201.95	121.81	317.62	207.22	196.48	384.49	92.84	109.85	69.78	116.8	0.0	126.43	0.0	23.59	58.45	24.72	55.6	2.32	65.38	13.28	121.44	91.96	10.28	79.95	12.37	71.04	28.59	105.33	17.85	59.75	17.34	134.45	76.52	102.55	148.21	57.86	47.69	85.53	268.21	55.2	55.13	62.1	46.81	84.96	101.58	74.74	56.9	15.74	0.0	0.0	0.0	0.0	0.0	54.2	50.99	70.06	69.57	133.53	70.44	27.24	90.07	16.42	16.88	125.76
Chchd6	202.38	46.47	396.7	0.0	1.8	71.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410.94	87.97	117.77	0.0	173.29	207.35	308.93	115.23	315.43	134.28	158.53	191.02	0.0	268.71	0.0	39.09	268.21	146.01	30.84	178.0	95.29	7.22	189.07	92.01	73.57	49.75	91.92	4.03	20.75	290.35	109.11	74.34	0.0	300.54	0.0	152.42	399.75	72.79	343.83	70.01	303.56	0.0	58.38	67.09	193.31	64.39	152.09	102.12	130.4	55.63	0.0	0.0	0.0	0.0	0.0	172.4	60.82	65.56	50.41	97.41	99.65	225.65	338.93	199.41	141.77	0.0
Cnot10	38.35	17.39	17.56	0.23	39.17	48.2	0.19	0.0	0.0	0.0	0.0	0.0	1.7	2.47	73.65	77.54	41.2	62.58	47.82	8.26	0.0	0.0	76.76	30.94	19.04	0.0	61.7	0.0	0.11	33.28	0.05	9.71	0.0	21.92	15.83	0.0	0.48	10.17	15.22	63.08	10.03	54.73	0.0	34.23	21.37	0.5	48.02	0.17	21.14	13.46	12.2	22.39	14.71	27.9	34.88	8.61	13.75	0.37	3.23	52.1	28.67	0.08	0.0	0.0	30.49	0.0	0.0	0.0	10.55	46.09	54.68	14.53	16.64	30.99	0.1	3.12	24.03	36.75	65.96
Cnrip1	74.03	175.06	157.86	22.15	135.16	59.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	993.42	676.3	358.88	423.81	405.69	296.02	313.62	139.42	325.37	162.53	555.2	332.34	0.0	662.97	0.0	90.32	88.49	117.63	184.38	143.18	332.43	55.46	150.44	261.37	142.95	253.27	197.08	119.31	145.81	288.45	456.33	232.26	69.5	358.68	373.63	126.22	460.15	151.24	8.09	83.4	659.94	146.3	105.21	49.07	22.77	187.06	19.15	106.17	187.77	152.18	0.0	0.9	0.0	0.0	0.0	205.5	209.88	199.19	33.75	243.98	63.91	115.65	283.88	481.34	75.84	335.03
Ddx24	140.92	186.46	327.52	191.88	148.58	139.4	37.66	0.0	107.2	24.24	0.18	0.0	16.0	198.83	300.66	152.66	319.07	424.34	467.45	267.35	90.99	54.94	42.37	280.25	304.22	0.0	191.29	118.74	201.96	197.9	133.14	266.49	137.28	288.19	91.75	159.76	172.08	155.55	110.32	216.59	191.77	67.66	257.43	568.12	58.25	123.94	121.08	102.48	97.08	300.2	131.94	141.27	78.61	90.26	44.37	139.79	221.57	166.38	80.05	353.56	205.4	351.41	214.84	22.62	0.47	0.0	0.0	0.0	50.84	192.97	44.82	185.74	249.53	168.65	104.41	225.93	251.18	256.49	357.52
Dner	30.86	22.98	68.36	25.68	39.1	61.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	382.16	170.12	688.41	1331.06	1462.15	598.0	1025.42	870.18	666.93	553.06	855.36	646.86	0.0	250.39	0.0	30.46	53.77	95.22	33.9	10.25	0.15	124.12	62.83	3.17	6.62	1.74	56.81	65.83	77.51	38.58	58.1	165.41	43.7	291.19	366.75	167.38	210.3	24.21	30.07	139.11	339.36	144.93	0.07	89.79	82.12	74.1	23.23	96.82	41.14	65.82	0.0	0.0	0.0	0.0	0.0	25.03	54.52	2.22	39.21	69.27	41.77	75.75	40.6	53.84	59.39	317.8
