	Chrna2_tdTpositive_cell_14	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_85	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
2010315B03Rik	4.26	0.0	8.5	2.54	4.83	7.47	102.41	4.42	190.16	129.58	60.61	9.83	60.14	3.06	4.31	12.64	5.47	6.58	114.75	9.05	15.21	10.93	7.44	8.11	19.5	13.05	8.24	27.66	80.97	126.35	9.31	120.79	98.12	9.66	13.95	9.42	23.24
2810004N23Rik	0.0	0.0	0.0	0.0	0.0	32.49	0.0	0.0	0.0	0.23	8.46	41.28	14.19	9.17	0.0	0.0	0.6	0.0	0.0	9.8	0.0	25.42	0.0	0.0	10.35	14.7	19.93	0.0	24.13	38.09	0.0	19.68	23.68	10.51	57.27	0.0	0.0
Adamtsl5	0.0	0.0	0.0	0.0	8.21	0.0	8.68	1.15	0.16	39.41	0.0	11.58	0.0	0.0	38.9	0.0	0.0	0.0	23.16	0.0	0.0	0.0	0.16	71.42	36.27	73.95	109.84	26.41	0.16	0.86	0.0	29.58	32.09	7.57	12.43	21.29	0.0
Bbs4	0.0	0.14	85.13	0.0	44.12	115.43	87.75	54.57	176.25	45.23	159.47	72.69	138.26	195.94	21.84	176.95	72.49	53.03	20.64	167.94	115.66	3.92	76.76	273.34	69.74	261.51	78.69	64.36	140.47	440.36	0.0	60.67	33.27	123.94	225.2	108.05	4.03
C530008M17Rik	17.92	0.0	0.04	0.0	0.0	14.84	1.41	15.61	29.62	2.53	4.13	23.59	23.5	2.88	4.06	2.48	1.17	0.0	10.61	0.0	1.77	2.71	0.0	30.1	0.14	33.2	55.51	0.0	47.09	37.34	0.04	48.61	25.92	2.62	23.12	2.08	0.0
Cd47	88.39	0.91	32.62	0.0	34.53	107.1	151.94	103.26	115.79	260.96	274.07	157.93	92.61	67.74	56.31	55.75	92.52	20.22	45.02	101.48	44.44	55.36	23.57	138.06	18.06	60.01	89.04	107.09	56.96	202.82	63.05	198.7	163.36	47.77	138.85	101.49	29.11
Cend1	666.23	0.0	446.73	0.0	443.5	680.52	920.13	770.83	673.66	671.84	878.53	682.7	902.93	466.54	496.43	435.81	914.56	591.99	815.57	523.4	782.64	621.95	738.21	1022.22	932.4	935.67	841.95	614.71	915.92	707.43	587.38	1018.15	580.48	544.36	870.71	793.53	0.14
Clvs1	0.91	0.0	33.31	0.0	46.32	32.72	82.98	14.05	104.69	148.14	40.26	95.28	94.56	23.98	9.79	62.57	71.59	29.61	69.3	36.19	19.24	87.38	9.25	47.64	117.23	151.15	85.14	89.77	141.9	125.09	87.22	143.39	192.16	25.78	68.88	85.67	0.0
Commd9	187.5	0.0	0.28	0.0	57.8	103.4	112.59	171.14	242.62	87.94	180.44	72.29	160.99	0.0	0.54	156.75	96.08	45.93	183.55	98.0	154.75	240.24	109.03	32.99	70.51	279.1	131.1	135.08	280.18	247.6	60.57	252.22	61.75	57.12	226.38	7.1	0.0
Copb2	0.16	0.0	6.18	16.81	89.88	46.7	24.06	128.43	54.37	105.47	101.31	27.15	0.8	40.32	46.23	69.18	24.5	29.12	0.0	45.02	61.54	76.21	0.85	62.57	128.94	44.19	87.05	163.43	157.87	166.86	17.6	144.88	124.36	79.5	0.0	163.14	0.0
Immt	41.06	0.0	116.37	0.0	87.57	84.28	246.73	311.83	229.06	210.26	254.19	332.69	497.2	221.75	317.16	125.86	297.35	239.76	242.14	127.52	220.83	263.39	267.81	420.72	281.88	374.64	418.28	230.49	227.6	396.42	245.91	381.3	247.93	326.32	361.4	250.92	25.19
Klk14	1.02	0.0	0.42	1.32	0.16	1.28	6.04	1.09	2.14	1.29	1.1	0.94	0.0	7.62	0.34	1.4	1.73	0.0	2.84	1.54	3.02	0.62	0.82	1.61	1.59	2.39	1.13	2.24	3.43	2.06	0.33	3.58	1.85	1.42	2.35	0.63	0.0
Krit1	0.26	0.0	9.27	0.0	6.06	4.38	10.76	18.22	6.66	15.53	15.07	25.87	5.29	33.09	82.5	13.3	14.47	14.29	48.04	32.75	6.31	39.89	2.93	31.91	5.61	49.77	58.89	42.46	16.5	25.74	20.85	35.04	29.28	100.79	45.53	3.0	0.0
Ldhb	6607.22	2593.67	8550.52	4948.76	10118.08	10894.4	10165.1	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	11010.48	8671.45	10182.84	7057.76	6851.78	7891.81	7551.43	6831.71	7750.55	7124.4	7739.08	9082.37	7352.41	7928.56	7199.93	7910.47	6628.6	7844.79	6796.56	8351.44	7830.1	6907.68	11746.38	5577.5
Lgi3	0.04	0.0	0.0	0.0	13.89	0.0	0.61	0.0	0.12	41.94	28.68	98.91	7.55	0.0	0.58	45.45	34.49	0.0	0.0	13.62	8.63	7.61	25.21	37.01	18.02	18.81	28.07	15.32	42.18	57.05	0.89	16.94	22.92	44.75	105.48	11.4	0.0
Lrpprc	0.0	0.0	0.07	0.03	27.98	3.53	34.9	87.87	58.06	102.43	39.63	4.39	5.4	58.24	58.59	14.75	3.57	14.3	13.6	40.37	2.37	28.03	6.32	51.34	43.73	93.23	41.25	43.52	91.96	109.52	21.17	34.86	19.21	75.16	100.68	42.8	0.19
Man1c1	0.01	0.0	32.76	0.11	16.49	39.31	68.22	15.66	1.89	1.91	21.19	23.02	63.7	3.54	0.32	20.53	28.81	0.75	34.14	0.0	70.51	26.2	28.9	66.03	16.01	67.88	74.53	45.11	28.31	80.74	15.93	56.41	27.17	79.91	77.68	0.08	0.0
Mff	83.99	0.0	2.89	0.0	8.63	74.25	46.41	87.68	2.44	69.66	62.75	91.83	57.3	37.15	0.34	168.6	56.75	13.77	0.24	48.02	6.65	24.34	41.16	101.87	110.88	115.5	78.74	1.51	32.62	297.31	2.86	124.44	69.02	104.81	71.1	36.43	0.0
Myo6	0.0	0.0	0.0	7.56	0.0	0.48	6.84	0.0	0.0	25.31	19.71	18.91	0.0	11.29	0.23	2.32	0.0	0.0	19.25	24.51	0.0	5.12	0.0	0.09	4.48	20.81	0.0	4.83	0.0	40.1	0.0	4.05	19.75	0.27	36.23	6.17	0.0
Pafah1b1	89.37	0.0	16.33	13.36	78.01	68.24	112.01	52.01	48.48	66.8	63.72	72.3	78.3	49.95	118.61	26.98	121.36	50.85	80.85	78.7	69.88	44.91	52.79	58.82	58.89	69.37	107.05	88.05	214.41	144.18	64.76	128.54	123.19	111.91	112.1	28.83	0.0
Parp2	14.46	0.0	0.0	0.0	0.0	63.8	8.81	26.72	0.0	110.96	2.02	20.12	64.0	0.0	124.37	25.82	0.0	44.93	13.94	25.79	0.0	36.83	17.49	12.05	0.0	92.29	5.31	73.3	78.04	106.68	11.5	80.39	77.2	8.61	8.51	17.27	0.0
Pik3c3	0.0	25.85	37.06	17.42	28.02	39.8	39.25	61.79	73.48	64.64	69.61	53.15	27.85	48.04	98.26	48.23	53.38	0.0	88.73	41.59	0.0	7.37	0.0	88.58	20.43	61.22	78.12	84.48	26.24	99.05	0.39	68.87	79.64	23.19	103.08	50.54	0.0
Ppm1k	11.0	1.51	187.65	7.57	136.74	58.55	280.34	228.9	189.05	248.86	203.91	242.12	145.67	168.43	58.86	286.28	206.31	142.34	191.35	291.02	105.15	234.09	221.58	257.6	270.09	261.36	165.94	384.91	237.6	406.38	221.42	269.97	326.1	267.64	299.53	310.33	99.14
Rps6kb1	0.05	0.63	0.0	151.7	28.87	6.31	31.45	37.45	9.71	56.46	22.17	43.16	3.67	81.36	11.74	43.68	62.38	37.39	40.29	22.27	3.73	67.03	32.87	78.75	35.21	86.08	32.92	45.07	27.16	91.18	3.96	30.51	53.26	59.25	128.28	63.36	0.21
Sema3e	0.0	0.0	0.0	0.57	0.02	18.03	0.1	26.38	0.24	24.65	0.82	0.14	0.06	0.18	0.25	22.73	0.03	0.08	0.25	0.12	0.24	0.35	0.19	0.05	0.07	0.13	0.18	54.61	0.48	122.31	0.12	98.5	75.35	93.76	75.37	0.14	0.0
Slc27a4	0.0	0.0	0.0	0.0	0.0	17.88	0.0	27.28	0.0	0.99	43.05	30.43	2.02	13.1	0.46	0.45	27.57	0.0	4.04	36.91	0.0	50.1	0.83	12.01	6.21	21.08	24.41	33.98	58.35	11.66	0.3	79.87	41.01	34.4	6.99	0.0	0.0
Slc6a17	109.59	0.0	15.37	0.0	0.94	31.29	88.75	27.66	39.23	13.31	29.35	60.55	74.16	75.78	57.29	41.45	15.08	25.83	13.91	19.19	22.08	32.13	40.12	49.98	37.82	23.63	68.77	51.78	86.48	45.3	24.37	123.61	41.17	6.68	60.97	30.08	0.0
Slc7a5	0.0	0.0	0.0	0.0	15.52	0.14	0.0	0.13	14.89	42.34	0.0	2.44	26.13	0.0	0.0	0.0	0.11	0.0	15.84	0.0	0.0	12.86	0.0	1.27	1.06	7.62	0.0	33.33	33.58	18.08	0.0	44.32	4.81	1.13	31.61	0.0	0.0
Stk16	0.05	0.0	0.0	0.0	0.28	0.0	68.01	43.63	0.0	0.0	0.28	12.67	21.1	31.53	0.0	66.72	45.31	0.33	0.0	61.69	33.91	5.74	52.39	42.24	13.71	51.28	0.0	0.48	35.8	58.61	0.16	67.86	0.0	31.09	51.66	0.15	0.0
Tbcb	0.85	0.0	40.51	0.0	188.54	98.13	80.32	276.48	207.07	354.72	213.4	241.4	153.75	97.47	21.82	224.44	186.42	126.71	186.61	66.54	126.03	108.26	93.86	332.23	253.55	368.63	191.0	437.03	126.53	653.85	183.48	357.67	208.42	216.16	419.5	165.43	0.0
Tex2	1.78	0.0	0.0	0.0	13.37	45.02	81.07	15.17	9.79	46.07	28.66	62.08	16.78	59.14	17.55	19.65	25.31	0.0	31.22	0.32	42.09	50.26	27.84	13.1	27.36	41.62	25.22	27.67	32.4	69.03	0.08	48.18	26.29	37.7	105.08	0.58	0.0
Tmem126b	0.0	0.0	116.94	0.0	106.65	59.31	184.78	330.41	247.65	289.21	151.45	400.35	389.04	287.28	108.05	116.57	93.44	48.57	317.13	135.49	131.48	135.67	91.17	225.52	150.84	207.99	305.69	477.27	214.71	504.18	184.63	220.3	262.37	222.08	287.7	150.47	0.0
Tmem199	0.09	0.0	372.83	0.0	178.42	363.92	114.18	140.74	101.91	149.85	229.83	481.08	237.3	55.43	144.23	169.29	314.06	193.38	288.95	130.46	160.42	254.92	177.43	315.15	300.19	355.93	562.08	48.73	118.67	393.11	120.8	346.2	196.83	270.36	392.24	100.06	0.0
Tnrc6a	0.0	0.0	2.92	0.55	0.32	15.22	2.87	8.64	3.34	22.47	0.5	18.63	0.9	43.89	32.53	14.11	18.74	2.86	19.7	2.77	0.28	6.23	1.13	21.85	8.72	40.79	35.73	37.66	14.91	20.64	5.39	19.76	15.08	15.51	25.65	16.81	0.08
Traf3ip1	0.0	0.0	0.0	0.0	0.0	0.0	24.93	0.0	0.0	3.49	0.41	3.0	0.0	31.75	0.0	0.26	23.56	0.0	51.31	0.9	0.72	15.25	0.0	0.74	0.0	35.4	43.23	6.78	33.15	45.95	2.19	32.49	0.54	20.3	38.8	21.24	0.0
Trim3	0.04	0.0	0.0	0.0	0.0	0.0	23.47	0.0	4.18	43.14	23.43	46.05	0.83	0.0	0.0	19.08	30.48	0.0	0.0	16.12	0.0	30.36	0.0	44.21	0.0	8.96	28.39	34.65	52.78	9.81	2.89	34.15	49.04	54.49	66.28	1.91	0.0
Ubr1	0.0	0.0	0.0	0.0	0.66	0.07	12.3	2.73	29.65	0.0	0.91	0.14	0.78	0.0	0.0	0.0	14.66	6.31	0.62	0.0	0.0	0.0	0.99	0.0	0.0	4.68	0.05	0.05	4.59	33.38	0.36	39.97	5.7	24.0	31.7	0.0	0.0
Wipf2	0.93	0.0	4.29	3.07	0.09	24.65	18.83	5.41	2.55	14.71	2.58	8.9	13.93	2.9	10.05	8.56	4.14	2.47	3.48	19.93	4.34	7.29	3.35	4.47	15.95	43.34	7.05	3.5	8.73	25.28	13.88	17.49	36.43	15.51	30.39	11.19	2.33
Yme1l1	1.64	0.0	23.97	114.46	21.92	40.43	134.18	176.63	111.33	87.86	88.39	46.76	55.91	63.18	149.67	61.15	52.32	39.79	145.58	69.91	105.42	92.93	116.0	68.07	156.86	249.2	153.19	97.89	123.97	172.77	29.81	110.49	109.65	7.55	238.65	52.89	0.0
Zbtb16	0.0	0.0	0.06	0.08	3.16	0.09	26.12	1.33	2.53	9.57	2.49	9.04	11.72	0.1	0.12	0.0	2.52	0.0	26.07	4.62	0.0	18.3	0.14	0.0	12.24	36.17	19.9	3.16	42.88	23.36	17.71	17.76	20.8	16.98	20.92	0.0	0.0
Zdhhc17	44.7	0.0	2.46	0.0	0.0	31.78	14.3	15.9	0.0	85.17	18.86	26.22	62.07	10.23	82.05	16.45	58.88	26.44	84.43	0.0	16.62	78.95	25.58	95.6	3.81	53.73	104.63	62.91	166.28	44.06	37.59	101.6	59.67	71.36	121.79	31.9	0.0
Zfyve28	0.0	0.0	0.55	0.0	0.0	0.0	0.0	14.2	0.0	3.06	0.0	13.59	2.24	1.75	50.37	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	17.68	1.31	22.06	0.2	14.48	0.0	1.63	0.0	19.01	0.0	15.83	42.55	11.12	0.0
