	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003M02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	2.13	2.69
1700057K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
1700102H20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.48	0.0	0.0	0.0	0.0	0.0	0.0	2.55	0.0	0.0	0.37	0.17	0.0
2410075B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	72.67	0.0	85.15	0.0	0.0	0.0	0.0	0.0	0.0	67.49	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.15	21.44	0.0	0.0	0.0	0.0	0.0	3.92	0.0	62.23	0.0	0.0	1.82	1.8	6.36	5.0	6.71	6.49
2610037D02Rik	1.25	0.52	0.63	0.7	0.26	0.57	0.3	2.11	48.8	0.92	3.8	0.0	0.95	1.72	0.53	2.33	0.73	0.4	1.58	2.66	1.64	0.86	0.42	1.21	0.88	2.05	0.54	0.2	2.18	2.29	1.05	2.18	1.24	1.27	0.19	1.5	0.91	0.66	0.67	0.93	1.29	0.85	1.53
4430402I18Rik	0.0	0.0	0.0	0.0	39.7	0.0	0.0	0.0	56.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37	2.41	1.79	3.08	3.85	3.81
4921525B02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.69	0.34	0.57	1.3	1.18	1.69
4930564G21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.34	0.0	0.0	0.0	0.0	4.58	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0
6720463M24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.37	19.16	0.0	0.0	0.0	0.0	0.03	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.08	10.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	0.15	1.67	3.4	3.05	3.43
6720489N17Rik	0.91	0.32	0.0	3.73	0.17	0.0	0.13	0.0	149.67	1.09	4.98	0.0	0.0	0.0	0.06	0.15	0.1	0.65	1.73	0.0	0.0	0.0	0.82	8.82	0.06	0.39	0.04	48.98	48.89	1.36	0.87	3.14	0.15	1.62	2.27	3.77	0.0	4.73	6.23	4.88	3.23	2.4	3.37
