	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110012J17Rik	0.26	0.0	0.0	0.0	0.26	0.49	51.05	11.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	13.29	8.44	0.0	0.0	0.1	1.24	0.0	0.0	0.0	1.96	0.17	0.12	0.0	9.09	0.0	0.0	0.0	0.04	0.09	0.19	0.0	0.0	0.09	0.0	8.6	1.65	0.0	0.07	0.0	0.0	0.0	0.0	8.59	0.8	0.0	6.13	9.14	35.39	37.38	34.49
1700047I17Rik2	6.75	0.66	2.05	0.31	16.25	26.59	49.44	15.13	10.18	3.14	8.99	3.42	1.72	0.0	0.0	0.75	7.92	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	12.78	5.51	4.19	26.95	4.03	5.27	1.07	3.41	11.48	12.89	15.79	11.15	2.03	3.87	8.65	12.08	0.28	1.16	1.39	18.26	23.92	8.08	15.19	9.76	6.64	17.56	16.4	17.92
6430704M03Rik	60.1	9.18	0.0	0.0	59.69	21.97	315.63	115.96	105.3	0.0	0.0	0.0	0.0	0.0	0.0	28.69	61.7	8.22	21.52	1.12	0.18	0.0	22.45	84.41	0.0	30.41	0.1	1.17	66.63	19.51	46.01	14.59	5.2	47.5	37.7	91.82	0.3	11.89	0.0	0.14	41.44	0.0	12.72	42.5	0.0	0.0	0.0	0.07	0.0	36.62	63.08	17.78	9.24	157.21	140.8	157.89
Agtpbp1	90.01	41.16	0.0	0.0	53.37	28.64	94.45	27.89	85.22	0.0	0.0	0.0	0.0	0.0	0.0	68.1	70.36	50.91	27.76	56.7	1.3	32.43	60.69	32.01	23.73	68.03	13.63	50.87	85.45	6.29	0.51	51.89	11.45	35.26	21.32	75.93	3.08	6.97	63.45	67.29	32.37	56.73	8.67	91.06	0.0	0.0	0.14	4.59	39.71	23.15	45.19	23.05	60.54	116.88	108.27	115.49
Akt1	9.29	0.0	0.16	0.0	0.24	30.66	151.67	5.74	95.85	0.0	0.0	0.0	0.0	0.0	0.0	33.81	20.06	0.0	0.59	2.14	0.0	1.18	18.11	0.12	0.63	0.0	0.41	0.23	5.88	1.71	32.72	0.0	9.87	9.84	19.21	0.0	0.0	19.62	0.0	0.0	0.0	27.88	31.63	6.36	0.0	17.42	0.0	34.31	0.0	4.47	9.72	12.0	0.0	127.05	134.23	125.75
Apbb1	190.47	274.37	0.0	0.0	274.41	429.96	355.26	101.33	184.7	0.0	0.0	0.25	0.0	0.0	0.0	173.85	231.5	209.16	101.05	187.91	153.3	140.24	168.05	204.62	139.06	66.17	141.3	74.87	168.34	157.61	82.56	290.16	185.37	193.35	60.91	289.39	113.34	20.07	165.84	43.13	119.0	222.62	100.3	79.6	0.0	0.0	0.0	98.9	3.24	103.69	153.32	18.0	107.92	384.22	435.94	424.83
Aplp2	271.13	198.0	104.83	0.0	326.87	1583.39	1559.25	747.58	441.02	24.64	0.0	817.21	104.21	0.0	0.0	323.56	271.19	243.71	120.62	223.54	168.29	151.94	365.57	218.23	289.41	424.38	493.63	251.68	116.79	265.67	227.46	253.4	344.12	221.71	255.84	355.66	139.98	121.58	418.44	104.66	118.54	68.73	100.9	149.81	0.0	0.0	1.71	290.05	112.53	438.61	226.9	198.74	161.72	463.03	454.92	441.05
Atp1b1	460.32	401.56	0.0	0.39	1232.5	1135.24	854.64	1045.89	419.28	0.0	0.0	0.0	0.0	0.0	0.0	209.46	388.61	178.41	201.33	214.59	444.16	470.76	270.6	267.12	428.26	302.4	347.44	205.0	247.69	232.31	418.76	952.89	244.76	352.98	231.61	367.01	175.8	264.41	267.37	292.65	267.22	303.71	242.63	231.1	0.0	0.0	0.0	351.47	221.22	305.28	288.3	428.03	230.53	1639.11	1708.86	1616.5
Atp2b2	86.42	76.45	0.0	0.0	148.62	372.01	159.37	194.49	277.33	0.0	0.0	0.0	0.0	0.0	0.0	45.89	113.86	59.35	43.28	31.62	20.38	48.19	36.23	34.79	109.68	69.93	28.43	41.96	28.73	64.83	49.0	229.37	77.5	9.22	39.53	119.87	26.81	90.24	23.5	12.67	16.08	61.18	52.91	39.05	0.0	0.0	0.0	147.76	30.78	61.39	39.6	164.4	34.82	288.08	274.94	307.02
Cadps	133.42	70.08	0.0	0.0	201.95	121.81	317.62	196.48	116.8	0.0	0.0	0.0	0.0	0.0	0.0	23.59	58.45	24.72	55.6	2.32	13.28	121.44	91.96	10.28	79.95	12.37	71.04	28.59	105.33	59.75	17.34	134.45	102.55	57.86	85.53	268.21	55.2	55.13	62.1	46.81	84.96	101.58	74.74	15.74	0.0	0.0	0.0	54.2	50.99	69.57	133.53	70.44	27.24	144.91	144.37	143.17
