	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810007I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	5.12	20.41	0.0	0.0	15.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	3.98	0.0	0.0	1.19	0.86	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.45	0.0	0.0	0.0	0.0	0.0	1.62	4.14	0.79	0.0	0.0	0.0	0.64	0.0	1.01	0.31	1.71
1810013D10Rik	208.28	51.52	0.0	0.0	0.0	0.0	0.0	4.58	0.0	180.81	309.09	93.15	217.54	0.0	0.0	0.38	0.51	0.0	7.45	1.6	0.35	0.0	66.25	0.15	57.09	0.0	78.49	0.0	36.7	48.7	49.08	42.87	0.0	0.0	3.69	155.4	0.0	0.0	68.95	174.55	0.0	0.0	84.06	0.0	2.73	1.28	70.21	47.56	54.01	0.27	217.56	175.96	0.0	124.54	0.84	0.0	0.0	0.31	0.0	57.55	0.0	50.93	101.28	104.22	108.63	4.34	0.0	34.92	38.1	41.31
2510003E04Rik	114.99	0.28	0.21	0.0	0.0	0.0	0.0	16.78	96.33	200.89	265.82	24.56	45.17	15.51	0.18	0.0	0.0	0.0	0.14	0.0	0.32	0.0	0.07	0.0	51.52	27.04	32.75	2.89	0.0	36.64	10.34	1.89	6.29	0.44	6.73	10.99	0.0	33.49	40.64	0.0	62.85	6.96	10.54	2.45	0.11	4.5	10.32	0.83	84.72	0.0	5.23	32.52	0.0	62.1	0.0	0.0	84.54	5.83	4.27	57.99	0.48	44.36	0.0	46.19	98.71	4.83	0.0	178.04	190.65	180.04
5430411K18Rik	0.34	0.1	0.54	0.0	0.12	0.11	0.55	21.26	12.26	15.16	0.3	0.96	0.41	0.27	25.88	0.19	0.05	0.0	0.1	0.11	0.07	0.1	1.38	10.31	0.09	0.24	0.05	0.17	0.2	0.0	0.28	0.37	2.83	0.27	0.68	0.1	0.09	0.05	19.52	1.34	6.45	3.58	0.09	11.31	0.21	0.2	0.15	0.06	0.21	0.12	0.13	1.14	0.31	6.09	0.0	0.13	0.0	10.42	0.2	0.02	0.42	0.69	0.19	0.05	0.27	4.56	0.24	20.29	18.73	19.51
6430548M08Rik	48.17	21.78	0.0	0.0	0.0	0.0	216.64	65.66	138.95	103.13	309.04	163.37	181.89	74.98	37.98	0.0	0.0	0.0	0.03	0.07	45.11	0.26	10.2	36.41	24.71	32.22	1.44	15.96	0.2	23.09	2.7	16.28	34.92	0.77	1.11	9.59	0.05	12.97	0.3	14.54	69.81	51.44	0.05	23.7	5.13	23.92	12.76	25.06	3.69	3.75	47.52	16.42	0.0	65.37	0.0	0.0	0.0	20.63	0.04	40.06	0.94	34.63	97.34	0.16	33.88	18.76	144.25	138.81	137.15	144.03
6430704M03Rik	60.1	9.18	0.0	0.0	0.0	0.0	0.0	59.69	21.97	315.63	355.74	115.96	56.62	105.3	46.08	0.0	0.0	0.0	28.69	61.7	8.22	21.52	1.12	0.64	0.18	0.0	22.45	84.41	0.0	30.41	0.1	1.17	66.63	3.05	19.51	46.01	5.2	47.5	8.59	37.7	91.82	0.3	11.89	0.0	0.14	41.44	0.0	12.72	33.46	42.5	51.36	269.86	0.0	130.96	0.0	0.0	0.0	0.07	0.0	88.46	36.62	63.08	54.02	9.24	0.45	2.44	0.0	157.21	140.8	157.89
9930021J03Rik	12.35	7.49	0.0	0.0	0.06	0.0	2.02	11.18	66.75	91.64	0.0	34.24	102.37	3.15	1.53	0.0	0.0	0.0	0.53	19.88	0.51	28.28	0.47	2.83	30.8	7.24	10.3	18.66	5.93	0.86	14.29	3.37	0.0	0.0	3.23	1.22	0.97	9.59	1.71	7.39	0.07	0.58	0.0	0.77	14.27	1.83	0.0	0.17	7.96	17.06	20.45	4.19	0.0	9.79	0.0	0.0	0.0	3.91	9.05	19.14	0.0	21.07	1.37	6.34	5.06	13.36	12.07	22.26	18.89	22.07
Abi1	69.76	41.92	0.0	0.0	0.0	437.91	0.76	0.06	39.64	417.98	0.13	185.56	296.81	0.0	7.98	0.0	0.0	0.0	176.11	34.98	68.67	0.0	0.2	56.43	68.43	112.46	46.72	65.92	82.85	45.64	74.12	31.16	61.29	0.19	38.13	39.99	47.57	0.0	91.01	94.46	26.46	122.06	120.4	95.72	0.0	133.25	11.67	26.0	55.13	73.76	43.73	181.33	0.11	108.5	0.0	0.0	0.0	37.54	29.92	50.52	24.17	27.15	19.08	22.25	40.47	20.74	0.0	88.36	88.82	83.3
Afap1	15.48	25.52	0.25	0.1	0.34	1.68	182.95	94.51	161.01	645.57	170.04	324.66	247.79	142.1	74.18	1.54	164.36	1.57	13.01	11.95	0.09	0.42	2.35	28.39	33.9	0.09	25.69	2.62	10.49	20.74	13.18	53.58	26.61	2.54	2.73	0.0	20.38	21.23	44.83	12.3	158.64	0.07	0.15	2.55	37.12	21.46	36.35	1.1	0.13	47.53	39.14	37.0	0.0	0.02	0.13	0.06	0.0	44.99	14.99	69.45	11.68	20.6	89.57	31.28	159.36	10.46	81.01	9.28	9.16	10.18
Ap3b2	40.13	9.83	0.0	0.0	0.0	0.0	5.77	85.64	48.61	196.29	69.66	23.58	234.98	80.2	77.24	0.0	0.0	0.0	6.35	44.95	43.57	61.92	45.81	0.17	8.72	20.32	0.82	31.81	85.72	94.02	66.42	35.06	15.71	90.98	4.78	2.92	40.09	5.39	56.23	53.45	1.93	48.54	0.0	37.14	39.05	57.34	0.0	46.38	42.2	125.2	47.53	88.9	0.0	90.99	0.0	0.0	0.0	41.67	18.58	39.27	130.17	4.91	8.9	87.57	32.7	16.57	62.38	101.94	104.65	103.91
