	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106
1110028C15Rik	0.0	0.0	0.18	0.0	23.52	11.31	10.43	0.0	0.0	10.36	0.93	0.44	1.65	0.0	66.68
1500031L02Rik	0.0	0.0	118.67	58.35	76.24	5.77	167.73	192.53	152.94	167.12	58.13	154.75	85.28	182.85	317.03
1700001L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.16	0.0	0.0	0.0	0.0	0.0	0.19
2810001G20Rik	0.0	0.0	26.59	0.0	16.57	44.13	2.49	34.87	37.73	44.55	103.22	0.0	0.0	0.0	182.6
2810454H06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.25	0.0	0.0	0.0	0.0	0.0	0.0	3.21
3110021N24Rik	0.0	0.0	0.0	0.0	7.97	0.0	3.61	7.18	1.71	5.24	7.22	26.22	9.48	10.74	27.41
4932412D23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.0	0.13	0.0	0.0	0.0	0.18
A730082K24Rik	0.0	0.0	4.63	0.0	5.13	2.7	1.71	2.39	0.76	2.5	3.65	0.75	0.56	2.92	7.79
Acbd4	0.0	0.0	0.0	0.0	0.0	20.07	1.94	0.0	0.0	6.74	0.0	0.0	2.79	0.0	72.26
Aig1	0.0	0.0	155.76	16.43	49.1	105.83	81.74	63.94	64.69	66.18	30.71	48.39	19.64	41.79	216.56
Ak3	0.0	0.0	0.0	0.0	2.09	0.0	27.55	0.78	3.64	6.68	0.0	0.0	0.0	2.05	128.83
Aldh18a1	0.0	0.0	3.67	0.0	11.93	0.0	0.0	28.24	0.08	0.0	0.91	0.51	10.6	0.0	72.0
Arfip2	0.0	0.0	32.01	19.18	2.76	10.54	0.0	34.57	0.68	36.6	29.69	0.0	21.82	0.0	95.71
Arnt2	0.0	0.05	49.62	29.97	3.0	80.34	78.74	36.84	48.45	24.74	38.01	21.72	32.01	35.29	199.74
Atcay	0.0	0.0	34.14	52.48	13.69	2.72	81.03	28.04	81.15	9.39	35.3	63.66	15.08	50.98	174.55
Atxn2l	0.09	4.23	1.01	1.53	2.6	0.8	8.7	0.76	1.14	0.41	1.01	0.97	0.0	0.67	17.71
BC005624	0.0	0.0	218.48	121.51	180.98	54.28	120.4	192.87	182.45	164.58	36.56	103.4	339.94	199.27	496.19
