	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_14	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
2900056M20Rik	0.22	104.91	45.65	8.94	3.96	20.59	0.0	0.09	0.0	0.0	75.65	97.61	57.74	178.19	177.11	33.18	68.95	155.13	0.0	0.0	98.12	120.07	44.82	180.69	242.17	60.4	134.2	69.52	90.74	76.72	84.16	167.57	132.16	142.96	117.32	36.98	60.2	79.67	82.61	4.91	84.0	51.02	30.18	12.53	48.37	32.03	89.13	36.11	195.61	62.06	112.23	165.73	196.06	74.59	0.0	0.19	0.12	172.21	0.0	0.0	0.09	0.1	0.0	75.67	111.67	97.6	100.45	127.05	50.14	136.47	54.37	17.12	89.66	52.11	91.58
A330076H08Rik	0.0	314.76	105.21	112.62	94.97	155.97	0.0	0.0	0.0	0.0	70.37	344.98	458.52	734.26	610.68	153.61	67.62	65.16	0.0	0.0	329.74	70.89	163.17	293.16	159.05	259.08	192.73	184.38	11.6	87.82	64.05	109.23	80.74	77.57	168.18	128.25	72.67	122.27	131.17	210.74	17.29	110.5	55.32	39.48	114.75	252.55	53.17	67.63	67.93	99.58	54.82	73.83	65.05	69.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.57	85.65	117.34	173.26	73.51	11.25	132.9	29.91	0.0	96.36	87.13	123.07
Acsl4	0.0	52.01	25.1	56.7	5.8	58.62	0.0	0.0	0.0	0.0	54.67	24.91	92.65	224.1	42.18	27.22	28.2	68.29	0.0	0.0	84.18	76.56	53.49	256.6	98.76	79.22	150.34	99.87	80.89	87.25	103.06	137.52	94.6	77.04	41.46	63.07	51.48	58.73	25.28	49.32	50.1	50.34	65.89	41.11	40.21	47.55	71.5	66.62	130.57	71.46	111.48	84.07	40.81	33.55	0.0	0.0	0.14	98.79	0.14	0.0	0.1	0.0	36.04	68.44	157.78	71.43	60.61	66.33	114.97	122.11	26.72	52.37	53.84	69.86	39.28
Agpat6	0.0	0.81	77.5	0.0	0.0	36.19	0.0	0.0	0.0	0.0	27.6	21.12	43.93	333.18	97.26	0.0	47.68	65.13	0.0	0.0	33.09	42.98	3.53	0.0	13.33	16.9	4.45	25.51	96.97	7.44	25.31	22.55	103.66	69.95	61.5	76.88	26.35	75.25	0.0	19.59	0.0	0.16	66.91	1.45	69.57	2.67	9.63	31.47	67.55	54.98	71.88	58.68	9.53	39.78	0.13	0.0	0.12	3.36	0.3	0.0	23.77	0.0	0.0	4.11	22.65	33.12	0.0	43.25	121.16	70.38	1.67	32.9	19.35	46.9	0.23
Alg2	0.0	54.78	63.74	159.61	157.46	13.48	0.0	0.0	0.0	0.0	66.08	1.27	74.18	427.51	214.23	137.36	3.45	133.58	0.0	0.18	129.17	176.59	105.18	234.63	175.33	63.77	131.64	39.45	45.76	128.09	44.85	104.76	162.54	161.22	169.33	33.44	134.58	20.39	65.87	238.18	214.35	108.63	62.64	39.24	18.98	67.31	301.26	0.95	67.88	188.47	137.43	233.06	140.62	185.43	0.0	0.0	0.0	194.03	0.47	0.0	0.0	0.0	0.0	155.97	83.32	142.91	46.43	183.43	101.63	143.01	107.52	180.18	141.22	186.15	63.55
Arid4b	0.0	13.43	0.0	9.96	18.7	0.0	0.0	0.0	0.0	0.0	1.8	11.22	82.63	123.58	43.36	0.0	19.25	46.31	0.0	0.0	36.69	5.71	0.7	1.29	0.37	6.37	30.37	36.51	5.66	14.83	9.84	25.76	16.29	28.86	0.0	1.33	1.93	6.77	47.92	23.39	17.41	20.1	0.0	13.57	3.26	29.12	6.91	14.96	5.35	0.0	12.03	19.95	39.07	9.14	0.0	0.0	0.08	0.0	0.04	0.0	232.89	0.0	0.0	1.7	38.63	67.2	0.25	6.21	35.33	7.82	8.93	24.89	10.22	19.06	4.7
Canx	621.38	940.24	522.17	772.35	427.94	780.84	326.16	419.98	294.52	0.47	748.89	987.95	1248.47	2665.95	1174.66	646.37	829.58	790.63	0.11	0.25	910.7	618.06	884.16	1347.73	877.08	719.34	1589.38	749.62	890.72	842.21	637.1	710.64	590.24	504.63	716.28	916.29	621.49	828.26	624.6	765.8	655.41	869.41	528.87	1115.33	748.44	578.88	860.23	833.35	625.74	469.47	1242.96	763.93	616.57	995.39	1106.57	531.59	13.35	1080.48	368.36	145.7	81.12	219.25	894.82	1162.06	1113.09	1086.28	872.95	933.24	878.46	1133.28	677.07	827.58	690.64	1116.62	1089.12
Cntn1	0.0	448.3	161.21	179.3	96.84	189.33	0.0	0.0	0.0	0.24	40.75	247.49	300.93	1651.0	92.89	52.54	150.21	644.65	0.0	0.0	362.69	221.84	290.37	382.4	423.99	523.59	398.45	373.45	434.07	262.77	316.29	295.72	189.45	235.91	235.69	375.34	133.0	262.3	121.74	423.78	99.79	235.61	210.14	321.71	92.32	187.61	108.64	200.54	410.28	322.03	373.48	168.19	399.93	336.45	0.0	2.57	0.6	625.13	0.5	0.04	0.0	0.0	0.08	387.87	335.3	298.72	310.41	254.0	643.94	463.81	262.36	706.73	408.58	308.66	303.05
Dgkg	0.0	104.57	46.92	71.53	65.95	132.56	0.0	0.0	0.0	0.0	0.35	45.22	137.85	142.58	97.49	8.24	0.27	133.05	0.0	0.0	83.53	88.98	98.09	5.69	88.01	11.0	62.68	137.71	74.05	178.53	69.92	166.61	101.66	175.83	60.86	64.78	88.81	104.16	71.32	98.77	31.74	76.82	60.97	50.81	77.84	62.18	10.41	58.39	107.12	39.33	51.19	100.67	71.87	41.98	0.09	0.0	0.0	128.11	0.04	0.0	0.0	0.0	0.16	103.68	28.27	107.48	186.31	36.51	124.97	27.9	118.98	216.51	79.4	64.07	100.46
Disp2	0.0	190.38	76.0	149.12	38.06	12.03	0.0	0.0	0.0	0.0	65.09	73.68	151.37	292.32	92.07	99.18	101.06	136.1	0.0	0.0	128.25	53.23	70.24	15.37	78.4	114.64	72.2	96.24	36.54	123.77	73.16	115.66	112.57	70.21	98.99	123.28	73.28	78.02	67.04	113.28	53.31	120.55	152.55	78.08	82.32	24.26	95.35	124.99	56.0	46.44	97.87	88.04	86.46	64.07	0.0	0.0	0.0	233.06	0.04	0.0	0.0	0.0	0.0	48.52	78.5	159.29	94.63	112.49	288.56	84.89	80.52	116.15	78.91	67.93	109.04
