	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
6330503K22Rik	0.0	89.15	0.0	0.0	0.0	0.0	6.39	0.12	31.41	1.94	0.0	0.0	0.0	33.94	4.02	0.0	18.24	4.7	0.95	3.85	130.42	13.67	2.27	13.94	0.0	7.59	11.77	11.17	0.05	22.86	31.92	14.1	68.55	21.65	40.52	5.76	22.15	1.79	0.0	13.04	41.82	37.85	43.37
Abca7	0.0	7.89	0.0	0.0	0.0	0.0	0.63	0.0	2.22	0.63	0.41	0.0	0.0	0.58	2.95	0.83	0.0	0.08	0.63	2.04	13.52	0.0	0.07	0.0	1.92	0.0	0.51	4.39	4.78	0.0	0.0	6.31	0.0	0.0	0.42	0.16	0.43	0.0	0.87	0.0	10.95	11.18	12.84
Adarb1	5.24	1.1	0.0	1.66	19.37	8.4	40.55	3.51	44.21	18.97	22.51	75.11	22.59	60.55	22.4	35.69	29.6	34.82	17.78	32.68	91.92	22.74	22.64	17.08	31.26	3.69	30.4	16.62	48.95	33.25	73.5	71.16	60.43	73.7	79.65	2.41	67.52	55.22	82.63	0.0	89.82	88.96	96.44
Adck3	0.0	80.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.16	5.62	60.64	0.24	0.0	0.0	0.07	0.0	0.0	9.95	0.0	29.86	0.0	0.0	0.0	0.0	3.34	0.0	5.65	14.05	11.08	0.0	21.66	25.15	20.67
Adipor2	0.0	0.0	0.0	0.12	14.1	0.0	0.0	0.0	21.84	19.15	0.0	0.0	0.0	16.22	0.0	5.94	0.0	0.0	0.0	6.18	58.2	0.0	0.0	0.0	0.0	0.0	0.0	4.84	6.76	0.0	0.0	0.0	0.0	0.0	6.69	0.0	15.06	15.29	0.0	0.0	35.22	36.69	31.89
Amy2a2	0.05	0.0	0.0	0.08	0.3	0.04	0.04	0.12	0.2	0.48	0.0	0.14	0.04	0.28	0.0	0.48	0.0	0.15	0.17	0.18	0.29	0.2	0.04	0.14	0.07	0.07	0.14	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.21	0.16	0.12	0.41	0.09	0.0	0.26	0.19	0.21
Amy2a3	0.05	0.0	0.0	0.08	0.3	0.04	0.04	0.12	0.2	0.48	0.0	0.14	0.04	0.28	0.0	0.48	0.0	0.15	0.17	0.18	0.29	0.2	0.04	0.14	0.07	0.07	0.14	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.21	0.16	0.12	0.41	0.09	0.0	0.26	0.19	0.21
Amy2a4	0.05	0.0	0.0	0.08	0.3	0.04	0.04	0.12	0.2	0.48	0.0	0.14	0.04	0.28	0.0	0.48	0.0	0.15	0.17	0.18	0.29	0.2	0.04	0.14	0.07	0.07	0.14	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.21	0.16	0.12	0.41	0.09	0.0	0.26	0.19	0.21
Ankrd42	0.0	0.0	0.0	0.0	26.83	0.0	0.9	0.0	0.0	11.6	47.93	0.0	0.0	0.28	0.0	1.42	0.39	0.6	0.0	0.93	77.89	0.0	0.0	0.0	0.0	0.4	6.18	13.1	0.0	0.0	0.0	0.0	0.0	46.36	15.45	0.0	0.0	0.0	0.0	0.0	14.08	11.49	13.4
Aspscr1	360.21	0.0	0.0	0.0	0.0	0.0	21.85	0.0	0.0	0.0	0.0	27.9	0.67	0.0	0.0	0.52	0.0	10.4	0.0	12.23	92.02	3.05	0.0	0.0	34.25	1.23	13.68	0.0	15.18	0.0	31.98	0.0	0.0	111.15	59.88	0.0	0.0	0.0	0.0	0.0	39.68	43.11	40.47
Atf2	0.12	1.47	0.0	1.11	24.23	0.0	87.47	0.57	23.37	68.43	4.74	23.96	50.89	104.6	53.8	51.62	80.44	14.56	4.97	65.18	179.55	175.2	16.18	3.28	38.24	40.71	103.47	80.28	40.45	26.17	116.85	52.57	133.76	78.87	87.24	83.16	27.41	23.44	91.43	42.23	71.15	66.15	68.63
