	Calb2_tdTpositive_cell_28	Calb2_tdTpositive_cell_35	Calb2_tdTpositive_cell_61	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_84	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTnegative_cell_36	Rbp4_tdTpositive_cell_26	Rbp4_tdTnegative_cell_2	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_76	Slc17a6_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_26	Sst_tdTpositive_cell_83
Acsl4	3.4	0.0	4.21	37.19	58.62	68.16	0.0	0.0	0.0	193.33	73.43	112.22	2.51	107.57	213.23	205.35	112.64	176.99	14.01
Ccl27b	0.0	0.0	0.0	3.68	28.87	0.28	0.0	0.0	0.0	182.31	0.0	3.19	0.0	127.63	175.52	78.67	157.88	6.57	0.06
Clstn1	50.05	31.15	0.0	23.96	2.73	3.63	0.0	0.0	0.0	0.0	61.27	54.75	0.0	121.36	60.81	197.37	13.07	83.53	1.16
Elovl4	0.0	1.22	0.0	18.67	34.74	15.73	0.0	0.0	0.0	51.48	87.74	13.32	0.0	297.87	83.26	89.39	166.37	91.2	0.11
Epb4.9	1.16	0.79	0.51	57.33	1.14	53.35	0.06	3.04	0.1	41.91	139.19	45.46	1.08	185.7	23.12	157.92	114.72	89.08	0.88
Gas7	0.13	0.0	0.0	22.61	1.31	4.77	0.0	0.0	0.0	0.1	190.43	127.12	0.0	33.22	27.29	170.95	138.14	147.39	77.72
Gm13306	0.0	0.0	0.0	3.68	28.87	0.28	0.0	0.0	0.0	182.31	0.0	3.19	0.0	127.63	175.52	78.67	157.88	6.57	0.06
Gm2506	0.0	0.0	0.0	3.68	28.87	0.28	0.0	0.0	0.0	182.31	0.0	3.19	0.0	127.63	175.52	78.67	157.88	6.57	0.06
Gucy1a2	0.07	0.36	0.05	0.13	21.0	0.64	0.0	0.03	0.04	0.16	29.68	3.06	0.05	0.69	0.89	0.58	0.66	42.53	0.0
H2afz	5174.36	1867.97	6316.59	2621.48	2680.21	3226.48	966.3	3599.72	2806.74	3654.51	3033.96	2123.82	1231.67	3033.61	1943.13	2711.37	3053.48	2277.99	2934.74
Kcna2	2.73	0.36	0.22	28.2	25.97	25.2	0.04	0.98	0.0	0.44	20.48	15.72	0.1	37.72	56.38	52.83	102.26	40.03	0.3
Klc2	0.0	41.11	0.0	36.49	62.89	26.76	0.0	0.0	0.0	1.33	10.25	52.42	0.22	0.32	75.62	12.5	49.95	61.62	0.11
Pclo	0.23	0.24	0.12	19.71	11.66	11.23	0.0	0.07	0.18	51.8	16.93	31.52	0.1	22.21	1.6	25.85	36.37	70.75	14.51
Ryr2	0.0	0.04	0.0	0.03	0.73	0.34	0.0	0.02	0.24	2.65	1.75	15.38	0.0	0.92	21.68	32.7	21.92	23.43	8.05
Scn8a	11.04	5.38	0.0	10.47	3.68	19.51	0.0	0.02	0.0	136.01	22.54	25.47	0.0	31.28	29.38	22.3	21.21	56.8	0.57
Unc13a	0.0	2.63	0.0	6.68	1.77	1.24	0.0	0.0	0.0	3.81	5.9	4.62	0.0	6.93	8.31	5.74	5.64	21.35	3.3
