	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1500011K16Rik	0.0	0.0	28.0	10.61	21.11	31.2	127.36	58.1	42.29	63.54	78.51	11.88	31.4	14.7	30.99	90.17	8.12	75.89	57.07	51.34	102.12	75.56	66.79
1700024F13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	111.12	0.0	0.0	0.0	0.0	13.97	4.41	0.56
AU041133	0.0	0.0	0.0	0.0	0.0	9.31	0.14	0.0	0.23	0.1	0.46	58.09	0.5	2.26	1.58	77.34	0.1	11.74	14.9	5.41	0.15	13.87	16.16
Amd2	0.0	0.0	0.0	62.34	0.0	16.0	1.51	0.0	15.36	0.0	3.7	0.0	0.0	1.2	0.0	108.28	0.0	53.57	19.66	70.59	18.42	41.15	73.38
Ap1m1	0.0	0.0	0.0	3.17	22.08	58.01	74.65	5.94	56.27	36.24	131.71	288.89	38.3	2.77	94.87	303.64	94.73	145.71	67.04	107.73	108.12	140.31	132.3
B930041F14Rik	0.0	0.0	12.51	20.2	0.0	16.47	12.08	11.36	11.82	2.61	20.14	0.0	0.0	0.25	5.81	39.99	6.34	15.87	0.0	20.59	0.09	1.62	1.63
Cdk12	12.59	0.0	53.41	0.0	21.34	35.37	4.86	0.07	13.95	9.29	34.01	13.55	6.48	35.66	0.06	58.92	15.57	30.37	64.22	81.47	25.51	23.9	22.48
Cdkl1	0.0	0.0	0.0	0.0	21.79	0.0	3.8	64.06	43.09	0.0	0.0	0.0	0.0	0.0	18.71	87.7	0.0	59.86	0.0	0.0	0.0	9.71	2.5
Ces1g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.26	0.17	0.45	0.3
D1Ertd622e	0.0	0.0	0.0	0.0	0.0	17.78	0.0	38.6	0.0	0.0	24.32	70.45	0.0	0.0	2.18	82.37	0.0	0.0	6.54	56.91	12.0	15.08	7.86
Dpf1	0.0	0.0	0.56	0.0	2.95	5.44	0.0	1.85	1.89	0.0	0.0	8.83	5.03	2.14	3.23	18.47	1.21	42.4	4.12	9.9	2.83	14.26	16.23
E130309D02Rik	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	45.09	0.0	1.02	0.0	0.0	0.0	2.65	2.83
Erc2	0.0	0.0	7.21	0.0	10.48	0.0	0.73	0.0	1.15	8.44	3.58	8.91	0.15	11.04	6.55	35.83	0.0	3.62	0.99	25.73	16.47	23.48	20.08
Ercc4	2.34	0.05	12.52	0.77	4.75	12.02	1.15	0.89	12.03	14.88	16.29	2.38	0.63	1.57	1.03	31.78	0.57	1.88	0.81	0.98	1.28	6.23	6.57
Ermn	0.0	0.0	0.0	0.37	0.4	0.39	0.54	0.71	0.73	0.17	0.28	0.88	0.0	0.65	0.0	0.8	0.26	0.83	0.79	1.05	0.54	0.81	27.76
Fam63b	0.31	0.0	25.66	23.57	21.11	8.08	10.16	4.75	45.83	53.49	15.92	21.47	0.2	13.93	3.87	110.92	20.86	51.56	14.52	43.93	48.23	6.38	6.38
Farsb	0.0	0.0	6.58	20.0	23.9	52.39	67.02	63.03	172.07	119.81	122.98	84.29	0.0	53.95	59.06	257.98	128.23	73.69	26.29	212.38	186.97	117.09	87.34
G3bp1	0.0	0.0	12.28	83.04	0.89	4.11	10.73	19.79	0.23	9.63	9.59	10.55	2.89	15.48	9.91	120.66	5.4	33.32	8.49	22.01	77.46	24.06	24.37
Gabpa	1.1	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	51.54	0.0	0.16	0.0	25.56	0.0	4.1	3.45
Gm5124	0.0	0.0	0.0	7.23	26.15	0.0	0.0	0.0	0.0	42.48	30.91	0.89	0.0	0.0	0.0	50.4	8.82	35.56	0.0	55.5	0.0	17.6	12.43
Gm7609	1.16	0.0	7.06	7.03	10.31	6.77	8.75	8.51	7.79	6.73	8.67	9.11	8.14	9.2	4.59	9.29	6.55	11.87	9.13	17.92	15.9	13.36	14.69
Hhatl	0.0	0.0	0.0	0.68	0.27	42.06	96.81	0.0	0.53	98.03	53.15	20.4	3.69	0.0	0.0	148.72	1.01	63.11	0.0	82.2	53.41	2.99	7.83
Ikzf4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	23.38	0.0	4.97	0.0	0.0	0.0	0.96	0.29
