	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
4930480K15Rik	0.0	0.0	0.12	0.0	85.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	20.3	0.0	0.08	0.0	3.69	24.36	0.0	0.0	0.0	40.96	0.0	0.0	0.0	3.98	0.0	0.0	0.0	0.0	0.0	0.0	16.02	8.89	0.13	0.0	22.22	26.12	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	8.25	0.0	0.0	0.0	0.0	0.0
5730405O15Rik	0.0	0.0	0.0	0.0	87.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	7.37	0.0	0.0	0.0	2.22	0.0	0.0	2.6	0.0	0.0	0.0	0.0	27.25	0.0	0.0	30.89	0.0	4.04	4.44	2.41	0.0	0.0	0.0	0.0	0.0	0.0	7.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	4.69
Abcf2	88.95	28.76	57.2	4.3	341.77	0.0	0.0	0.42	0.0	0.0	391.76	0.0	62.41	70.69	58.58	142.92	121.77	51.16	39.05	258.89	100.51	121.08	41.97	185.66	0.0	135.58	203.0	173.44	186.34	124.69	147.92	44.36	0.0	103.24	85.05	37.31	141.68	83.83	65.89	23.13	188.81	44.19	0.25	0.0	0.0	0.0	0.0	0.0	47.72	274.9	231.45	58.32	111.98	110.84
Accn1	32.48	50.28	55.45	0.0	47.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.42	0.0	0.27	0.05	0.0	4.88	0.17	14.33	54.93	36.21	36.86	5.06	41.7	4.81	129.09	18.26	0.0	0.0	0.18	0.48	0.92	33.19	48.02	40.42	14.47	0.0	3.69	5.36	31.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.79	4.94	51.88	0.17	43.13	0.24
Acp6	0.0	51.66	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.72	11.62	0.34	28.76	0.0	65.19	50.87	0.0	0.0	0.0	1.63	66.79	0.0	0.0	19.06	53.1	48.17	9.4	0.0	0.0	58.22	29.57	0.0	0.0	58.5	60.07	0.27	32.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.93	0.0	1.52	53.51	13.66	2.13
Atl1	98.71	108.99	325.84	0.0	244.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.1	241.51	127.89	158.99	230.65	81.86	79.39	228.5	192.37	70.16	168.23	137.45	206.41	280.71	233.75	159.89	179.3	182.05	120.33	47.69	32.47	16.72	173.75	73.13	177.39	131.19	226.93	273.12	155.15	0.0	0.0	0.0	0.18	0.0	0.0	0.0	182.47	124.8	83.84	274.48	130.88	90.0
Atp6v1b2	350.58	509.13	417.12	0.0	900.25	0.0	0.0	0.0	0.0	0.0	0.17	0.0	663.64	349.97	497.52	315.73	562.46	615.5	420.76	654.11	590.24	508.46	743.32	495.1	201.45	458.57	527.96	232.22	227.33	333.46	284.67	498.03	228.66	497.39	533.07	508.63	526.15	221.99	543.48	634.82	451.98	0.0	32.45	0.0	0.0	0.0	0.0	0.0	407.29	392.39	583.77	614.55	249.88	849.01
Cacnb4	56.54	107.03	56.3	0.0	292.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.21	115.8	79.1	3.48	43.41	24.43	27.86	53.29	77.74	30.62	68.51	65.81	19.24	89.19	43.59	34.65	40.84	34.53	27.2	61.06	7.39	44.92	47.51	91.57	51.49	40.1	29.75	47.45	59.97	0.0	0.24	0.0	0.06	0.0	0.0	0.0	18.34	31.74	81.23	57.11	68.29	88.23
Capza2	347.41	324.01	311.83	73.42	778.1	681.76	0.0	0.28	0.0	0.0	0.0	0.19	672.74	368.81	349.5	546.09	665.15	397.06	857.72	443.88	462.73	455.88	657.53	478.6	530.81	836.66	490.2	532.1	586.57	494.1	413.36	338.02	302.85	396.91	319.98	360.72	252.02	506.81	378.42	770.64	275.37	287.11	1.31	442.27	897.79	311.37	958.58	0.27	526.65	522.59	222.62	352.66	266.42	390.17
Ccl27b	0.0	0.0	8.68	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88
