	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700110C19Rik	0.0	0.0	0.0	2.27	0.67	2.2
1810012K16Rik	0.0	0.0	0.0	0.58	0.18	0.4
2700029M09Rik	13.59	0.0	0.18	50.96	54.49	53.66
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930480K15Rik	0.0	0.0	0.0	0.32	0.0	0.19
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5430416N02Rik	0.0	0.0	0.0	12.23	11.99	11.09
6430531B16Rik	0.0	0.0	0.0	1.73	1.06	1.16
A830052D11Rik	1.37	0.31	0.35	3.93	2.61	4.15
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Abcc4	0.0	0.0	0.0	5.69	5.7	6.49
Acot3	0.0	0.0	0.0	2.43	2.19	1.87
Acvrl1	0.0	0.0	0.0	11.48	10.45	9.47
Adcy9	0.0	0.09	0.0	38.42	37.86	41.92
Agpat2	0.0	0.0	0.0	1.58	1.38	1.38
Agrn	0.0	14.22	2.61	84.09	82.45	90.55
Amacr	0.0	0.47	0.0	8.67	8.49	8.27
Amy2a2	0.05	0.0	0.05	0.26	0.19	0.21
Amy2a3	0.05	0.0	0.05	0.26	0.19	0.21
Amy2a4	0.05	0.0	0.05	0.26	0.19	0.21
Anapc5	1.57	62.16	47.15	149.29	156.65	151.28
Anxa3	0.0	0.0	0.0	13.23	12.93	15.07
Ap2a1	0.0	13.2	1.11	210.18	226.06	220.98
Arhgap21	0.61	0.0	10.08	77.97	75.97	80.34
Arnt	0.0	0.0	1.93	28.76	26.12	28.4
Atf5	0.0	0.0	0.0	18.53	19.7	21.07
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B3galt4	0.0	0.0	2.19	5.88	6.79	7.7
BC018507	0.0	4.5	0.0	59.59	57.31	61.46
BC049635	0.0	0.0	0.0	11.12	7.9	9.85
BC088983	0.0	0.0	1.55	10.9	11.98	10.99
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1f	0.0	0.0	0.0	0.31	0.15	0.3
