	Ctgf_tdTpositive_cell_3	Rbp4_CTX_250ng_1
1600015I10Rik	0.0	0.04
1700003L19Rik	0.0	0.14
1700009J07Rik	0.0	0.11
1700029B22Rik	0.0	0.02
1700037C18Rik	0.0	7.08
1700061J05Rik	0.0	0.11
1700069L16Rik	0.0	0.0
1810018F18Rik	0.0	0.16
2310036O22Rik	0.0	92.1
2310039H08Rik	0.0	4.36
2810032G03Rik	0.0	12.12
3110062M04Rik	0.0	2.24
4930455B14Rik	0.0	0.09
4930473A06Rik	0.0	2.13
4930511A02Rik	0.0	0.0
4930544D05Rik	0.0	0.16
4933401D09Rik	0.0	1.04
4933411E08Rik	0.0	1.6
5730508B09Rik	0.0	7.4
5830403M04Rik	0.0	0.16
6030405A18Rik	0.0	26.45
9230104L09Rik	0.0	0.16
Actn3	0.0	0.76
Adamdec1	0.0	0.04
Adat3	0.0	4.12
Adra2c	0.0	18.1
Agbl1	0.0	0.29
Agpat2	0.0	1.58
Akr1c12	0.0	0.08
Apob	0.0	0.01
Arhgap4	0.0	3.23
Asgr1	0.0	2.34
Aspdh	0.0	2.93
Atp8b5	0.0	0.09
B930059L03Rik	0.0	2.07
BC024978	0.0	8.36
BC037034	0.0	48.42
C630031E19	0.0	0.48
Capn13	0.0	0.04
Ccdc77	0.0	4.29
Ccdc79	0.0	1.1
Ccdc81	0.0	0.7
Cdca2	0.0	0.23
Ceacam15	0.0	0.07
Celsr2	0.0	73.45
Ces1a	0.0	0.05
Chic2	0.0	15.44
Cited2	0.0	35.27
Clec12b	0.0	0.07
Cln5	0.0	11.71
Clta	0.0	283.56
Col20a1	0.0	3.0
Col9a2	0.0	4.6
Crlf2	0.0	18.3
Cwh43	0.0	3.27
Dcaf12l2	0.0	1.71
Def6	0.0	2.04
Dnahc9	0.0	1.3
Dnajc5b	0.0	0.11
Dok4	0.0	14.66
Dram1	0.0	1.09
Ebpl	0.0	7.87
Ehd4	0.0	10.78
Emid1	0.0	6.34
Fam108c	8.11	33.39
Fance	0.0	14.41
Fbxl21	0.0	7.07
Fgf11	0.0	20.65
Fndc3c1	0.0	0.02
Frmd7	0.0	1.37
Fzd5	0.0	0.89
Galnt10	0.0	6.62
Gins3	0.0	2.99
Gm10941	0.66	1.48
Gm15455	0.0	0.0
Gm1647	0.0	0.14
Gm20597	0.0	0.83
Gm2721	0.0	0.32
Gm3646	0.0	0.0
Gm88	0.0	47.98
Grb14	0.0	24.39
Hal	0.0	0.04
Hemgn	0.0	0.04
Hist1h3f	0.0	0.14
Hist2h3c1	0.0	5.68
Hoxd8	0.0	0.07
Hyou1	34.48	59.99
Ilkap	0.0	47.68
Imp4	0.0	18.21
Impg2	0.06	0.72
Inhbe	0.0	0.32
Isoc2b	0.0	11.84
Itga7	0.0	8.62
Kank2	0.0	5.72
Kcnk13	0.0	5.41
Kel	0.0	0.04
Kera	0.0	0.05
Kpna7	0.0	0.0
LOC100041223	0.0	0.0
LOC626082	0.0	3.83
Lao1	0.0	0.05
Ltf	0.0	0.04
Macc1	0.0	0.1
Masp1	0.0	5.81
Mctp2	0.0	0.73
Mir3471-1	0.0	0.0
Mir376b	0.0	0.0
Mlana	0.0	0.46
Mocs3	0.0	12.07
Muc4	0.0	0.02
Muted	0.0	18.49
Myo1a	0.0	1.09
Myo1d	0.0	8.31
Myog	0.0	0.07
Mypn	0.0	1.76
N4bp3	0.0	12.97
Nckap5	0.0	1.54
Ncr1	0.0	0.07
Nfkb2	0.0	1.69
Nlrp9b	0.0	0.0
Oaf	0.0	9.32
Olfr15	0.0	0.11
Olfr456	0.0	0.0
Olfr689	0.0	0.11
Otx1	0.0	5.06
Otx2os1	0.0	0.14
Pkia	0.0	143.55
Plin5	0.0	1.09
Pold1	0.0	5.06
Raet1d	0.0	0.16
Rft1	0.0	13.89
Rnase13	0.0	0.17
Rnf130	0.0	80.45
Rrp9	0.0	24.46
Runx1	0.0	0.36
Sct	0.0	0.21
Shisa9	0.0	37.8
Siah3	0.0	4.26
Slc12a1	0.0	0.04
Slc36a2	0.0	0.42
Slc39a13	0.0	20.37
Slc4a1	0.0	0.02
Smtn	0.0	4.91
Snhg4	0.0	13.61
Snora30	0.0	5.56
Snord12	0.0	3.36
Snord19	0.0	11.45
Snord7	0.0	0.0
Spink13	0.0	0.13
Tac4	0.0	0.08
Tacr1	1.83	4.19
Tas2r137	0.0	0.1
Tbc1d20	0.0	47.16
Tcte3	0.0	0.81
Tekt1	0.0	1.78
Terf2	0.0	34.75
Tmem194	0.0	3.2
Tmem35	0.0	70.99
Tmprss11g	0.6	0.79
Tmprss9	0.0	0.63
Trim16	0.0	1.14
Trim65	0.0	2.67
Trp53i13	0.0	5.57
Ttc25	0.0	1.26
Ttll9	0.0	1.45
Tusc5	0.0	0.24
Twist2	0.0	2.59
Usp26	0.0	0.02
Vax2os2	0.0	0.07
Vmn1r210	0.0	0.11
Vmn2r11	0.0	0.04
Wdr20b	0.0	0.0
Xlr3a	0.0	0.64
Zfa	0.0	0.04
Zfp389	0.0	0.98
Zp3r	0.0	0.05
c13_tRNA-Ser-TCG	0.0	0.0
c1_SSU-rRNA_Hsa	0.0	3.26
mt_AK131586	6370.03	25813.35
mt_AK166684	0.0	18796.57
mt_BC104337	0.0	9032.87
