	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_68	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_46	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1110008F13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.2	0.0	0.0	0.0	0.0	0.0	0.39	0.0	188.06	0.35	0.0	0.0	0.0	0.0	60.03	6.14	52.95	1.08	46.24	79.7	0.0	0.0	5.91	0.0	0.0	35.36	0.0	0.42	56.11	0.0	83.83	109.33	0.0	0.0	0.0	0.0	0.0	0.0	43.4	0.0	0.0	130.99	3.29	0.0
4930511M06Rik	39.58	158.09	85.25	33.19	27.31	34.64	67.53	101.62	132.84	261.43	150.48	58.99	103.57	56.82	46.23	77.82	33.0	47.76	17.08	95.98	25.75	45.15	126.2	74.57	120.15	71.22	78.03	117.06	121.07	22.73	167.69	167.82	92.34	138.41	34.71	40.12	155.88	110.95	107.69	140.42	74.56	147.34	68.61	20.94	134.4	91.33	54.81	34.02	44.3	75.14	34.39	17.43
4931402G19Rik	0.85	0.28	0.5	0.53	0.45	0.07	0.0	0.27	0.62	1.29	0.0	0.26	0.0	0.36	0.35	0.0	0.42	0.67	0.23	1.17	0.0	0.62	0.85	0.66	1.15	0.53	0.86	0.38	0.74	0.0	0.48	1.44	0.14	0.25	0.0	1.67	1.03	0.44	0.77	0.85	0.32	3.02	0.0	0.0	0.39	0.76	0.0	1.05	0.03	0.0	0.0	0.55
5730577I03Rik	33.62	78.98	23.23	20.32	11.13	11.65	34.82	59.04	46.65	78.07	59.46	107.25	51.09	40.74	31.25	55.64	13.46	70.36	16.68	39.31	7.96	18.76	171.85	32.49	41.18	192.68	28.65	56.64	51.95	19.59	52.45	226.27	41.87	65.61	18.23	34.09	48.89	60.3	60.08	55.34	40.03	52.89	9.78	17.79	66.68	57.51	16.06	19.9	36.36	58.13	16.05	16.81
9430083A17Rik	6.28	1.28	10.65	50.37	0.62	0.0	0.48	0.75	2.75	10.64	2.51	1.16	4.83	1.8	0.96	3.06	1.56	0.62	0.18	2.88	1.07	0.93	75.55	0.54	2.2	0.7	2.01	106.54	3.98	0.08	1.01	4.23	1.3	1.68	0.55	1.43	1.86	0.79	83.81	124.78	0.2	1.31	0.24	0.0	55.15	63.27	0.36	13.23	0.18	1.31	1.87	0.16
9530091C08Rik	3.21	8.8	5.52	2.73	2.52	2.45	26.84	56.45	5.5	15.73	9.29	8.72	9.64	5.66	46.73	4.93	2.34	2.88	0.88	14.97	2.66	9.23	78.69	4.73	41.16	9.02	3.71	10.33	7.97	5.29	9.97	10.86	57.24	7.85	0.6	2.84	10.07	10.04	43.98	12.03	56.77	18.82	2.38	8.16	9.54	6.44	3.72	3.42	3.58	34.17	2.09	3.77
A130010J15Rik	1.93	1.79	64.63	0.31	0.7	0.37	0.6	0.88	0.49	0.86	2.1	0.19	0.93	1.44	1.26	1.1	4.83	0.37	1.23	3.29	0.75	0.52	1.52	1.17	0.92	0.52	0.99	1.55	10.35	0.69	18.05	19.77	2.39	1.41	0.43	1.23	1.37	2.53	1.01	1.99	0.53	2.18	0.22	0.23	2.98	0.99	4.2	2.86	0.14	0.16	0.09	0.08
A630075F10Rik	11.83	15.38	10.94	5.15	1.77	0.31	5.37	6.4	13.33	26.11	12.01	10.16	10.03	13.6	2.37	13.95	5.52	3.46	0.6	5.39	4.17	7.28	17.21	14.15	15.39	6.12	8.86	19.73	18.7	2.89	16.89	22.85	9.05	14.37	5.72	1.65	20.3	23.87	25.81	15.7	9.84	76.64	13.84	3.99	24.82	7.79	7.86	4.12	3.83	2.9	7.33	3.01
A730017L22Rik	56.95	119.9	55.03	32.91	24.03	20.07	53.66	91.73	135.35	158.97	211.75	84.26	90.58	58.41	29.6	163.57	33.81	52.85	79.56	104.8	48.88	51.59	108.51	74.54	123.36	114.01	65.48	130.33	133.49	27.72	106.6	162.61	92.72	132.22	28.6	47.9	163.57	125.85	161.97	169.45	107.26	192.57	14.15	28.43	115.24	58.95	41.83	80.26	24.15	46.32	46.43	42.77
Acad9	34.93	176.13	38.6	13.49	33.31	13.35	67.68	72.31	104.42	161.65	54.74	51.32	48.22	28.76	33.07	49.79	31.48	26.38	19.15	47.62	17.58	11.55	62.52	35.03	82.67	54.49	31.17	128.44	145.85	7.95	123.58	128.47	78.84	84.59	7.67	5.91	117.64	56.86	98.6	116.43	58.49	112.05	19.7	30.58	94.11	37.09	21.88	36.02	33.25	53.31	17.63	29.64
Acnat1	13.07	26.66	11.73	9.79	8.82	5.25	7.45	22.97	21.52	55.21	27.75	14.69	26.29	17.0	7.55	16.69	11.41	19.46	2.03	37.82	6.92	11.49	36.62	20.41	31.66	19.59	17.55	18.89	18.81	8.53	37.66	40.42	22.91	32.08	8.28	11.7	31.45	33.0	38.62	18.0	22.82	41.77	2.37	4.29	22.12	18.46	13.58	21.88	26.37	14.68	6.71	9.76
Adam22	14.14	63.19	4.98	11.97	40.43	107.35	59.5	83.15	75.11	40.28	0.0	76.15	132.02	135.12	8.59	32.36	35.08	14.67	6.11	0.59	0.0	0.87	209.65	69.3	29.3	97.8	45.41	96.28	203.04	164.42	120.82	160.21	65.59	91.79	0.03	0.16	107.54	142.84	38.36	97.97	43.21	175.24	0.0	0.0	14.94	67.66	37.62	29.24	8.39	2.28	24.59	0.13
Adck1	0.0	0.0	198.53	0.09	0.0	44.1	0.0	0.47	0.0	0.0	0.0	130.33	7.97	98.98	0.0	99.9	0.0	0.15	0.0	0.0	0.0	0.0	140.67	117.62	0.15	0.0	0.0	39.82	82.47	24.63	0.0	132.66	0.0	0.0	10.11	0.0	0.0	0.62	0.0	3.68	0.06	0.0	0.0	0.0	0.0	137.06	34.84	0.0	15.95	0.0	0.0	2.95
Aen	410.79	0.0	0.0	0.0	35.65	0.15	0.0	0.43	0.0	0.0	166.89	0.0	0.16	0.0	0.0	35.76	96.11	119.9	0.0	0.0	0.0	0.0	125.11	0.0	0.26	0.05	75.19	0.0	1.32	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.86	92.37	0.27	0.0	0.06	38.73	0.0	0.0	0.0	0.45	0.12	0.0	0.0	0.12	0.0	0.0
Amy2a2	0.0	0.0	0.13	0.15	0.0	0.07	0.1	0.19	0.48	0.4	0.41	0.17	0.72	0.3	0.07	0.28	0.08	0.07	0.11	0.72	0.03	0.31	0.2	0.31	0.45	0.43	0.18	0.75	0.32	0.03	0.54	0.55	0.13	0.15	0.1	0.08	0.2	0.37	0.5	0.71	0.32	4.31	0.0	0.04	1.35	0.0	0.03	0.14	0.05	0.28	0.1	0.08
Amy2a3	0.0	0.0	0.13	0.15	0.0	0.07	0.1	0.19	0.48	0.4	0.41	0.17	0.72	0.3	0.07	0.28	0.08	0.07	0.11	0.72	0.03	0.31	0.2	0.31	0.45	0.43	0.18	0.75	0.32	0.03	0.54	0.55	0.13	0.15	0.1	0.08	0.2	0.37	0.5	0.71	0.32	4.31	0.0	0.04	1.35	0.0	0.03	0.14	0.05	0.28	0.1	0.08
Amy2a4	0.0	0.0	0.13	0.15	0.0	0.07	0.1	0.19	0.48	0.4	0.41	0.17	0.72	0.3	0.07	0.28	0.08	0.07	0.11	0.72	0.03	0.31	0.2	0.31	0.45	0.43	0.18	0.75	0.32	0.03	0.54	0.55	0.13	0.15	0.1	0.08	0.2	0.37	0.5	0.71	0.32	4.31	0.0	0.04	1.35	0.0	0.03	0.14	0.05	0.28	0.1	0.08
Ankle2	0.46	0.6	42.53	0.48	0.31	10.95	6.94	1.47	17.61	47.14	27.33	11.1	1.4	1.08	0.25	1.19	7.29	0.73	221.56	12.25	36.3	0.48	53.92	0.93	1.23	45.01	18.8	7.38	23.87	0.32	18.59	4.27	33.78	31.72	0.13	22.17	24.89	18.62	80.15	12.14	17.01	98.09	0.0	0.79	0.58	1.34	0.11	5.36	12.3	26.67	38.51	0.75
Ankrd34b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	49.08	0.17	0.0	0.0	0.0	0.29	3.49	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0
Arap2	0.0	0.0	0.0	24.49	0.0	0.0	62.62	25.98	14.82	0.07	293.19	13.36	23.32	65.32	0.52	0.42	6.23	43.98	0.07	85.44	0.04	289.54	66.99	57.14	51.93	0.0	58.95	76.54	157.71	0.17	3.46	20.23	16.62	66.88	62.11	0.12	59.09	79.55	18.08	81.3	47.28	132.26	14.53	108.99	12.89	0.0	66.75	54.51	74.95	1.35	76.66	35.39
Arhgap26	0.0	90.16	0.0	1.98	0.0	17.83	30.34	10.84	198.53	7.44	149.07	53.48	66.19	58.94	19.99	150.8	4.41	0.7	0.0	118.19	0.0	0.05	133.23	45.6	46.28	0.27	64.45	92.8	84.65	0.0	28.69	217.04	123.91	42.46	0.06	0.05	139.6	113.44	92.69	43.92	84.71	70.06	0.0	0.0	91.05	18.58	0.07	1.62	1.14	22.31	13.58	26.55
B020004C17Rik	0.18	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.43	0.0	0.0	0.15	0.42	0.0	0.0	0.14	0.0	0.05	0.0	0.46	0.0	0.0	1.05	0.29	0.3	2.03	0.0	0.53	1.13	0.13	0.0	1.03	2.0	0.4	0.11	0.27	1.02	0.46	0.0	0.46	0.28	0.95	0.28	0.0	0.0	0.32	0.05	0.12	0.0	0.0	0.41	0.1
B020014A21Rik	26.08	7.03	12.67	5.64	1.02	9.54	6.2	13.53	14.16	12.6	41.2	17.06	13.51	16.59	7.76	15.15	6.62	11.2	0.57	13.36	3.47	8.37	32.13	10.81	18.9	10.37	14.29	21.78	23.75	5.77	23.09	23.06	13.51	20.94	4.09	1.36	32.08	24.44	17.93	28.26	11.47	39.87	7.27	5.67	26.32	17.64	7.61	10.15	12.35	15.5	12.2	3.4
Brca2	0.0	0.0	0.0	15.39	0.0	6.86	0.0	3.18	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.49	0.0	4.48	0.11	12.2	0.0	0.17	0.0	0.11	0.0	0.0	0.0	7.79	0.0	0.0	0.0	0.01	8.35	0.0	0.0	0.0	24.09	0.0	0.0	0.0	0.0	0.0	0.0
C330024D21Rik	6.32	54.66	16.5	4.7	6.38	14.78	21.22	51.53	28.54	95.36	72.94	28.86	18.5	23.17	34.88	11.68	12.02	9.58	7.8	24.45	11.14	2.74	45.77	13.99	32.14	22.42	14.92	60.48	43.81	1.65	18.97	53.04	24.67	39.47	9.42	1.57	58.18	47.79	28.02	77.95	27.63	109.02	5.37	7.86	46.18	28.01	4.55	14.96	15.1	23.25	5.13	7.15
Cacna1e	0.0	83.12	58.19	8.86	0.0	0.03	0.92	2.85	115.83	10.78	0.0	44.17	85.08	33.56	26.6	14.3	7.74	18.03	0.0	44.7	0.0	0.0	107.41	58.06	41.48	38.76	12.17	46.4	42.8	0.0	19.12	108.97	22.1	1.27	0.0	0.0	57.29	49.92	16.67	46.85	19.58	66.73	0.0	0.0	17.87	3.09	11.16	0.2	0.26	8.71	11.51	4.16
Cyp19a1	0.25	0.0	0.0	0.0	0.0	0.0	0.05	0.42	0.36	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.23	0.8	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.26	0.37	0.0	0.0	0.96	0.0	0.14	0.0	0.0	0.13	0.19	0.0	0.0	0.18	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D3Bwg0562e	0.22	0.84	54.32	65.8	82.39	8.38	23.7	36.61	360.82	291.29	271.83	70.83	36.82	19.06	54.47	37.31	66.21	51.64	0.03	87.13	0.63	0.73	133.99	152.2	49.71	79.83	54.91	179.49	268.3	136.29	199.03	175.97	111.83	91.98	0.74	1.95	163.71	85.36	79.84	230.4	157.23	213.49	0.11	0.62	16.3	89.99	104.67	18.2	69.44	77.7	144.16	49.24
Dcun1d3	0.0	0.0	0.0	0.56	0.22	0.0	44.27	0.0	54.53	0.0	99.79	0.0	0.0	0.0	0.0	0.0	0.0	10.77	0.0	0.0	0.0	0.0	72.36	60.08	30.02	0.0	6.38	20.66	37.21	14.51	0.0	2.63	86.46	5.92	0.0	0.0	0.05	0.0	34.69	19.0	0.05	49.86	0.0	0.0	0.0	0.0	1.75	0.0	3.18	0.0	0.0	0.0
