	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12
0610010B08Rik	0.0	0.24	0.0	0.06	0.0	120.0	0.1	0.0	0.0	48.31	0.45	45.53	30.03	1.11	12.26	41.3	1.56	8.58	37.24	28.14	15.71	64.77	13.5	14.58	37.78	14.76	2.68	22.01	35.5	10.96	2.35	11.07	15.46	12.05	5.5	15.13	14.51	0.26	24.77	28.25	0.47	11.04	6.95	29.79	7.16	54.58	0.11	0.25
2610100L16Rik	0.0	0.18	0.0	0.0	0.0	3.8	0.0	39.53	94.87	19.5	140.39	20.0	19.97	29.69	5.02	20.47	21.94	16.21	7.15	1.19	10.58	75.93	24.33	56.75	38.54	9.74	31.82	20.98	0.0	34.1	0.0	32.92	11.8	17.71	0.0	20.5	37.12	4.24	30.47	12.84	44.48	14.78	10.1	22.11	19.82	0.0	0.0	0.0
2700007P21Rik	0.0	117.41	0.0	0.14	319.86	294.13	0.0	0.0	0.0	80.18	224.62	244.2	266.7	136.48	160.83	173.87	408.93	141.43	134.9	184.33	180.76	259.4	98.45	209.94	316.46	155.86	128.88	400.15	350.95	236.56	57.17	154.74	106.78	55.4	169.29	30.2	58.13	102.01	58.13	96.92	176.6	149.47	115.35	122.38	133.88	0.11	0.21	0.0
2700023E23Rik	0.0	8.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.68	0.6	14.23	0.0	33.41	0.0	12.97	28.42	0.0	50.28	57.75	53.23	56.21	43.1	50.84	17.34	14.29	0.0	0.0	53.06	0.0	47.37	51.91	17.89	0.28	0.0	14.61	0.0	23.55	0.0	19.52	64.18	22.61	0.0	0.0	0.0	0.0	0.0	0.0
3632454L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.31	0.0	0.31	0.49	0.0	0.0	0.0	0.0	0.69	1.76	0.98	0.14	0.0	0.21	0.0	0.27	0.98	0.0	0.52	0.0	0.0	0.86	0.0	0.44	0.19	0.43	0.1	0.07	1.06	0.27	0.0	0.71	1.42	0.0	0.32	0.0	0.27	0.33	0.99	0.0	1.58
A830018L16Rik	0.81	0.79	1.88	3.25	6.92	38.87	0.2	0.22	3.45	36.6	1.45	38.28	53.06	0.04	0.29	7.17	46.64	3.87	43.84	68.6	78.05	118.85	6.07	29.79	61.84	0.55	0.36	5.44	33.36	48.69	21.76	100.21	25.7	0.37	1.9	17.88	6.53	13.34	42.75	8.91	0.4	14.35	7.47	17.24	0.12	2.25	1.21	4.64
Abcb7	0.08	0.4	1.64	0.5	0.34	0.06	2.04	0.07	0.41	8.53	1.34	27.71	22.98	43.57	18.79	16.08	0.0	0.0	0.33	0.41	1.24	56.64	0.18	5.96	10.52	16.43	22.78	0.12	33.78	2.32	0.09	25.97	0.62	20.91	9.91	9.41	5.36	13.35	13.36	11.89	18.26	0.7	25.21	19.99	23.71	0.94	0.19	58.86
Abhd8	0.0	0.12	0.0	0.0	0.0	6.12	0.0	0.0	0.0	0.0	0.0	9.91	4.63	0.0	0.0	3.29	0.0	35.89	0.0	0.0	11.02	49.94	16.22	9.82	0.0	0.0	0.0	4.89	6.15	4.54	0.8	0.0	7.99	4.83	5.39	0.0	0.0	7.48	0.0	5.86	0.0	6.35	0.0	9.56	0.0	0.0	0.0	0.0
Abi2	0.09	163.28	0.11	1.47	5.04	199.67	0.0	66.91	334.96	40.43	5.16	185.47	120.81	141.59	75.67	90.71	144.82	179.7	100.91	116.28	113.36	294.41	90.72	142.13	220.58	155.95	193.74	271.57	135.53	45.7	125.28	102.01	147.84	51.79	112.95	78.3	249.09	136.91	109.9	63.8	166.82	99.33	200.22	221.49	203.21	0.43	2.79	21.09
Akirin1	0.0	0.0	0.0	0.19	0.0	34.09	0.0	0.12	0.0	0.0	0.0	0.0	7.87	0.11	57.86	1.16	0.0	3.52	0.0	22.41	0.0	92.93	0.0	0.0	27.07	0.0	0.0	0.0	133.0	1.74	42.52	21.05	45.13	4.47	4.32	1.59	4.66	33.55	13.34	0.0	1.83	15.26	37.1	40.31	2.63	0.0	0.0	0.0
Ambra1	12.91	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	1.08	1.98	8.86	0.0	13.25	0.11	0.0	0.3	0.0	12.03	18.58	0.0	11.59	20.61	0.22	0.1	0.18	2.54	13.54	0.56	4.73	1.28	1.2	0.16	0.0	0.0	0.76	0.0	0.15	0.0	368.6	7.3	0.0
Anks3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.74	22.01	0.0	0.0	0.0	0.1	0.58	48.9	30.47	15.77	49.0	0.32	0.0	22.68	16.78	8.03	27.01	0.0	0.0	0.0	64.19	1.65	0.0	1.86	0.0	0.0	0.0	0.0	0.0	17.05	0.67	1.77	11.1	5.82	74.63	0.0	0.55	0.0	0.0	0.0
Armcx6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.96	94.44	0.34	46.16	0.0	46.91	0.0	17.47	53.46	0.0	1.92	11.25	0.0	0.0	1.14	0.0	0.0	7.03	41.95	43.92	0.0	55.84	0.74	0.0	82.39	3.49	53.64	0.0	0.0	0.0	2.6	1.64	0.0	0.0	0.0
Atrx	0.0	35.03	0.0	240.44	0.0	54.72	0.0	117.73	0.05	89.15	106.53	41.59	41.15	38.57	63.91	41.2	23.25	44.9	95.44	36.13	32.87	116.55	33.9	65.85	27.17	27.08	42.77	9.52	74.83	53.12	57.1	20.32	20.82	27.58	77.74	31.86	18.5	33.02	40.88	45.23	16.54	50.87	36.9	71.26	71.98	0.0	0.07	0.07
BC024659	330.92	23.71	0.0	0.1	0.0	751.94	0.0	0.0	0.0	155.14	0.93	390.63	446.49	162.84	259.85	360.53	476.19	271.27	363.51	502.56	723.66	528.83	413.73	340.68	767.51	749.12	457.99	355.89	351.74	414.62	203.76	412.95	170.0	336.2	407.06	90.39	381.18	528.09	239.99	450.38	252.36	189.29	346.19	685.24	694.89	0.0	0.08	0.0
Bag2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.52	1.95	0.0	0.0	0.0	0.0	0.0	0.0	51.94	0.0	148.65	0.0	0.0	58.58	2.53	0.0	78.68	136.58	0.0	74.41	0.0	37.84	23.37	1.14	57.16	0.0	0.24	39.5	56.56	0.0	0.0	0.0	46.92	61.83	0.0	0.0	0.0
Bcat1	0.06	4.08	0.07	0.0	0.0	64.55	0.0	0.0	0.0	133.52	0.08	135.51	120.68	41.42	61.89	123.62	215.47	83.61	66.56	83.07	48.04	88.76	98.75	40.01	137.9	139.48	24.38	131.33	150.57	39.28	97.85	145.52	115.22	111.05	71.13	161.5	121.43	165.23	46.58	66.81	21.52	64.83	154.01	86.1	97.57	0.0	0.06	0.0
Bend4	0.0	0.0	0.0	0.0	0.07	41.13	0.0	0.0	0.06	0.0	0.24	18.6	11.15	13.67	6.53	27.75	112.42	34.85	13.05	35.73	16.65	67.43	19.61	42.66	14.41	38.98	41.03	16.64	50.34	25.24	0.07	61.16	8.53	0.0	0.55	9.01	28.41	20.24	2.17	76.78	43.58	42.05	81.46	64.53	31.54	0.0	0.02	0.0
Bmp8b	0.2	0.0	1.64	0.25	0.1	0.0	0.0	0.19	1.47	0.99	0.15	0.15	0.62	0.0	0.07	0.35	0.62	0.0	0.4	0.0	0.21	1.0	0.52	0.89	0.35	0.66	0.26	0.69	0.8	0.0	0.0	0.12	0.71	0.54	0.18	0.28	0.36	0.18	0.88	0.17	0.55	0.36	0.0	0.19	0.3	0.14	0.48	0.0
Braf	0.0	4.15	0.11	0.0	47.82	181.59	0.0	0.0	229.57	34.3	0.18	75.6	51.86	42.11	42.57	65.73	109.82	84.08	103.76	115.76	127.16	149.89	111.24	132.79	113.19	111.88	115.57	66.44	146.05	119.59	45.51	203.88	45.6	80.62	63.89	37.8	52.69	98.22	63.55	77.8	86.37	38.02	26.75	131.9	39.48	0.0	0.04	0.0
Btbd1	0.0	0.08	0.0	0.0	0.0	8.26	0.0	6.09	0.0	64.16	0.0	22.08	2.1	35.85	2.23	8.51	49.71	54.3	5.07	0.0	0.36	130.06	32.53	0.0	0.0	4.75	0.0	52.93	1.44	44.26	0.17	21.64	30.2	25.32	0.0	6.48	37.42	70.97	23.44	1.06	10.94	45.25	19.98	169.78	82.61	329.61	0.0	0.0
Cars	0.0	41.85	0.0	0.0	0.0	68.55	0.0	0.0	0.0	23.38	0.0	61.01	48.57	55.84	1.44	69.88	90.84	87.38	20.27	70.57	125.14	92.34	16.85	63.25	84.58	3.05	76.22	89.53	361.95	30.42	52.62	146.8	26.76	1.31	55.97	5.66	25.52	13.31	65.44	43.85	7.61	34.71	30.75	0.42	29.65	0.0	0.12	0.0
Casc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35	26.63	0.0	0.13	0.09	0.0	0.0	0.0	9.24	0.0	57.55	0.0	0.29	12.86	0.0	3.48	2.18	2.83	26.74	0.0	21.36	0.19	11.96	39.94	6.07	0.0	0.0	32.83	0.74	0.0	7.79	0.0	3.19	0.0	0.0	695.9	464.58
