	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_8	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55
Ap2a2	129.3	119.9	0.0	0.0	0.0	98.11	56.83	61.52	44.05	80.75	111.91	88.44	70.85	88.11	52.23	91.7	71.39	42.18	46.6	100.78	113.09	58.25	34.72	89.89	61.64	29.49	0.0	175.57	42.05	0.13	0.0	1.31	116.97	116.5	150.92
Bbs7	221.73	13.45	0.0	0.0	0.0	43.18	84.4	0.37	68.07	79.86	39.77	0.0	83.04	34.83	0.0	8.43	78.83	0.0	107.98	181.92	13.9	56.86	0.68	54.65	65.06	47.74	0.11	90.85	0.0	0.0	0.0	0.39	28.59	87.91	33.99
Bccip	219.9	68.29	0.0	0.0	0.39	144.66	97.09	102.75	101.38	86.63	154.82	194.05	134.14	103.35	44.82	74.08	129.3	68.56	5.05	68.35	165.58	185.05	33.04	129.49	70.05	127.92	0.0	191.33	0.0	0.0	0.0	0.0	91.96	293.87	182.0
Chl1	129.74	60.54	0.05	0.0	0.0	77.2	98.29	36.01	20.01	48.62	93.55	4.14	42.29	41.66	25.94	25.39	81.75	26.44	57.56	31.55	81.95	94.66	8.82	143.73	96.88	53.19	0.09	255.41	0.32	0.29	0.0	0.0	87.99	38.1	93.88
Dync1i2	296.98	162.73	20.48	26.64	0.0	203.1	213.12	285.95	194.74	157.85	103.26	54.64	115.42	97.22	102.3	36.78	77.83	73.5	121.29	159.28	259.95	86.41	182.1	123.54	181.15	238.8	4.92	210.59	0.0	33.2	0.0	0.0	133.78	144.16	33.98
Ergic1	90.8	14.53	0.0	0.0	0.0	6.21	8.22	5.72	1.95	48.41	4.15	6.24	51.73	0.28	19.28	0.0	102.59	0.0	7.52	6.06	38.57	5.8	0.86	0.0	32.1	0.27	0.0	76.65	0.0	0.0	0.0	0.0	0.0	12.56	24.75
Fam192a	101.8	0.38	0.0	0.0	0.0	55.97	76.07	0.07	0.19	0.12	67.65	187.65	110.77	37.94	5.69	71.0	83.82	6.24	0.0	0.0	44.44	0.31	0.82	203.33	22.71	40.37	0.0	0.0	0.0	0.0	0.0	0.0	47.03	69.59	10.44
Gabra4	164.91	31.49	0.0	0.0	0.0	34.29	28.74	0.09	32.61	12.53	94.47	28.22	33.26	25.03	21.13	109.93	63.43	1.64	58.41	24.24	103.66	47.11	0.56	91.05	27.25	96.66	0.0	38.23	0.0	0.0	0.0	0.0	100.64	87.51	44.71
Gas7	92.42	8.02	0.0	0.0	0.0	12.61	3.27	1.68	2.26	12.46	22.17	15.54	22.56	0.39	2.21	16.04	15.85	1.19	0.0	0.29	14.51	0.91	15.07	22.75	23.34	0.92	0.0	61.39	0.0	0.0	0.07	0.0	9.6	0.23	23.62
Gbas	209.67	166.13	0.0	0.0	0.0	128.55	136.33	75.15	103.66	94.0	192.17	104.84	175.03	93.42	108.13	116.52	168.84	159.37	65.47	112.24	136.1	104.53	112.85	225.4	46.31	93.06	0.0	228.09	0.0	0.0	0.22	0.0	122.89	165.39	174.98
