	Cux2_tdTpositive_cell_121	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_165	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28
1190002H23Rik	0.08	0.0	0.0	13.6	0.0	0.0	0.0	0.0
1500016L03Rik	0.04	0.61	0.0	1.34	0.0	0.0	0.0	0.0
1700023E05Rik	0.64	0.0	0.0	1.68	0.0	0.0	0.0	0.0
3110007F17Rik	0.07	0.0	94.56	2.94	0.0	0.0	0.0	0.0
4933432I09Rik	0.02	0.0	0.0	7.56	0.0	0.0	0.0	0.0
9530036O11Rik	0.01	0.0	0.0	2.38	0.0	0.0	0.0	0.0
A330035P11Rik	0.02	0.0	0.0	0.26	0.0	0.0	0.0	0.0
A330076C08Rik	0.02	0.0	0.0	0.13	0.0	0.0	0.52	0.0
Acsm3	0.01	0.0	0.0	0.41	0.0	0.0	0.0	0.0
Adcy10	0.01	0.0	0.0	4.18	0.0	0.0	0.0	0.0
Akr1b10	0.08	0.0	0.0	25.07	0.0	0.0	0.0	0.0
Arsk	0.04	0.0	0.0	4.51	0.0	0.0	0.0	0.0
BC005764	0.01	0.0	0.0	3.65	0.0	0.0	0.0	0.0
Bend5	0.02	0.0	0.0	9.46	0.0	0.0	0.0	0.0
Bhlhe22	4.48	0.0	0.0	13.84	0.0	0.0	0.0	0.0
Bmp2k	0.07	0.0	0.0	0.08	0.0	0.0	0.0	0.0
Brf1	0.01	0.0	0.0	1.03	0.0	0.0	0.0	0.0
C630043F03Rik	0.01	0.0	0.0	3.76	0.0	0.0	0.0	0.0
Cabp1	4.77	4.35	1.53	13.53	0.0	0.21	0.0	0.42
Capn6	0.01	0.0	3.64	13.27	0.0	0.0	0.0	0.0
Cckar	0.03	0.0	0.0	0.09	0.0	0.0	0.0	0.0
Cdh4	0.07	0.0	0.0	6.57	0.0	0.0	0.0	0.0
Cdh7	0.04	0.0	0.0	0.38	0.0	0.0	0.0	0.0
Cdk2ap2	0.04	0.0	8.47	18.7	0.0	0.0	0.0	0.0
Cdkn1c	0.02	0.0	0.0	0.69	0.0	0.0	0.0	0.0
Cdyl	0.01	0.0	0.0	3.89	0.0	0.0	0.0	0.0
Chd3	2.13	0.34	0.0	2.57	15.54	23.07	2.33	0.0
Chst11	0.01	0.0	0.0	5.49	0.0	0.0	0.0	0.0
Cmtm6	0.01	0.0	0.0	5.92	0.0	0.0	0.0	0.0
Col28a1	0.02	0.0	0.0	1.52	0.0	0.0	0.0	0.0
Cradd	0.02	0.0	0.0	0.16	0.0	0.0	0.0	0.0
Cyth3	0.02	0.0	0.09	1.29	0.0	0.0	0.0	0.0
D4Bwg0951e	0.02	0.21	0.0	11.89	0.0	0.0	0.0	0.0
Doc2g	0.02	0.0	0.26	5.86	0.0	0.0	0.0	0.0
Dok3	0.02	0.0	0.0	0.68	0.0	0.0	0.0	0.0
Dse	0.02	0.0	0.0	4.26	0.0	0.0	0.0	0.0
Dusp16	0.02	0.0	0.0	1.25	0.0	0.0	0.0	0.0
Efcab1	90.47	0.0	0.0	29.82	0.0	0.0	0.0	0.0
Efha1	0.01	0.0	5.59	2.48	0.0	0.0	0.0	0.0
Elovl2	0.16	0.0	0.0	2.01	0.0	0.0	0.0	0.0
Evc2	0.01	0.0	0.0	0.5	0.0	0.0	0.0	0.0
Fam92a	57.19	0.55	133.5	53.93	21.39	0.0	0.0	10.75
Fbrs	0.01	0.0	0.0	6.45	0.0	0.0	0.0	0.0
Foxm1	0.02	0.0	0.0	0.65	0.0	0.0	0.0	0.0
Glb1l	0.02	0.0	0.0	0.32	0.0	0.0	0.0	0.0
Gm1337	0.01	0.0	0.0	2.96	0.0	0.0	0.0	0.0
Golim4	0.01	0.0	0.0	7.19	0.0	0.0	0.0	0.0
Gpnmb	0.02	0.0	0.0	0.07	0.0	0.0	0.0	0.0
Gpr25	0.02	0.0	0.0	0.93	0.0	0.0	0.0	0.0
Gpr27	10.24	0.0	0.0	1.17	0.0	0.0	0.0	0.0
Gpr83	0.01	0.0	0.0	8.89	0.0	0.0	0.0	0.0
Gstk1	0.07	0.0	0.0	6.68	0.0	0.0	0.0	0.0
Gtpbp3	1.48	2.69	0.13	2.86	0.28	0.33	0.92	0.54
Gusb	0.01	0.0	48.64	1.37	0.0	0.0	0.0	0.0
Heatr8	0.01	0.0	0.0	0.06	0.0	0.0	0.0	0.0
Hs1bp3	1.25	0.0	0.0	7.34	0.0	0.0	0.0	0.0
Kctd8	0.01	0.0	0.0	5.82	0.0	0.0	0.0	0.0
Klhdc8b	0.16	0.0	0.0	2.19	0.0	0.0	0.0	0.0
Layn	0.07	0.0	0.0	0.15	0.0	0.0	0.0	0.0
Lrrc16b	0.07	0.0	0.0	1.06	0.0	0.0	0.0	0.0
Mc4r	0.04	0.0	0.0	39.7	0.0	0.0	0.0	0.0
Mex3d	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mfsd10	0.04	0.0	29.16	0.43	0.0	0.0	0.0	0.0
Micall1	0.01	13.16	0.0	0.12	0.0	0.0	0.06	0.0
Mmp9	0.04	0.11	0.0	6.99	0.0	0.0	0.0	0.0
Mnd1	0.04	0.0	0.0	6.2	0.0	0.0	0.0	0.0
Mvd	0.15	0.0	0.0	0.45	0.0	0.0	0.0	0.0
Mvk	0.02	0.0	0.0	3.32	0.0	0.0	0.0	0.0
Nbl1	0.02	0.0	0.0	6.69	0.0	0.0	0.0	0.0
Nckap5l	0.07	0.0	5.46	0.37	0.0	0.0	0.0	0.0
Ngb	74.19	0.0	0.0	6.67	0.0	0.0	0.0	0.0
Npnt	0.04	0.0	0.0	3.16	0.0	0.0	0.0	0.0
Nrg2	0.08	0.0	0.0	0.37	0.0	0.0	0.0	0.0
Nup153	0.01	0.0	0.0	5.7	0.0	0.0	55.7	0.0
Ovgp1	0.04	0.0	0.0	4.52	0.0	0.0	141.8	0.0
Pappa	0.01	0.03	0.0	0.03	0.0	0.0	0.0	0.0
Pask	0.01	0.0	0.0	3.29	0.0	0.0	0.0	0.0
Patz1	0.02	0.0	0.0	0.83	0.0	0.0	0.0	0.0
Pax6	0.01	0.0	0.0	5.16	0.0	0.0	0.0	0.0
Pcdhb16	0.02	0.0	0.0	0.39	0.0	0.0	0.0	0.0
