	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
1700037H04Rik	147.2	282.39	205.98	124.68	32.25	359.08	325.44	123.81	308.31	34.93	194.6	126.41	0.37	105.36	66.3	0.0	250.22	0.7	261.19	180.32	155.91	335.2	0.0	357.89	354.4	68.28	374.14	418.49	616.55	166.27	234.0	340.2	304.04	271.48	72.71	407.08	288.41	209.53	250.81	384.38	435.59	445.03	85.19	39.96	180.29	156.55	92.32	371.53	80.39	231.47	454.05	215.63	318.79	489.65	134.0	293.07	111.8	260.2	427.51	459.86	0.0	0.0	439.96	177.17	61.52	99.11	54.88	78.71	231.34	306.08	167.77	211.58	256.09	0.25	191.36	4.71	0.0	0.0
1700086L19Rik	267.98	8.19	0.0	1.65	316.65	361.45	0.0	79.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	301.44	250.37	318.36	332.59	470.59	148.73	272.97	280.22	365.93	339.4	364.2	647.69	324.04	445.33	149.13	489.56	55.74	388.1	0.0	0.33	309.88	201.34	0.0	339.82	157.59	110.18	0.0	483.67	262.5	278.18	695.31	341.45	341.87	246.18	247.16	250.7	0.0	0.0	459.92	113.27	525.26	0.0	230.23	136.04	501.75	493.63	0.46	112.24	219.71	438.55	52.21	103.12	764.82	155.97
6330403K07Rik	679.79	65.65	511.69	486.3	841.83	1240.96	149.87	16.6	0.53	88.22	43.51	74.79	1.13	176.83	121.74	251.26	66.77	0.0	0.0	18.56	33.19	730.72	0.0	116.24	907.71	1350.06	655.92	1058.02	685.74	1029.7	337.86	542.7	667.83	941.07	1151.65	888.52	793.04	559.16	681.8	1159.17	863.16	440.11	113.25	80.76	525.05	0.0	0.18	269.55	633.41	193.74	0.0	607.2	245.61	441.66	368.83	432.33	608.72	541.24	909.53	412.79	0.0	0.0	453.94	427.43	754.64	449.31	462.35	89.36	850.62	758.5	332.64	195.11	1418.71	723.18	279.82	513.57	761.04	0.0
9330158H04Rik	10.94	2.56	14.24	1.95	10.13	17.19	6.83	2.2	2.48	6.15	3.14	0.59	4.29	4.76	8.7	10.43	4.39	5.98	4.16	2.26	3.2	3.6	6.67	8.91	13.54	16.72	16.9	1.2	4.91	3.49	10.1	16.46	11.09	20.86	5.62	20.69	13.02	12.9	8.77	7.94	48.89	12.1	2.82	2.97	20.19	1.71	2.33	13.86	18.18	8.88	3.59	13.52	12.43	8.66	43.83	13.08	2.02	14.81	19.34	8.3	0.42	3.74	8.77	3.77	10.06	4.09	2.19	0.54	16.04	7.32	2.48	2.61	16.37	14.49	2.47	2.04	18.41	2.76
A730017C20Rik	220.65	60.02	130.63	322.64	114.29	113.85	0.0	17.12	0.0	0.0	6.13	81.66	121.69	91.96	0.0	339.73	106.67	167.58	47.72	90.27	77.76	169.5	65.34	216.49	149.17	222.24	113.68	231.03	425.93	131.64	152.92	249.11	44.55	276.67	299.46	426.57	274.43	134.86	169.8	357.12	125.71	339.78	1.01	128.81	208.13	0.18	0.15	176.45	152.64	499.78	93.28	105.38	238.34	148.59	106.0	298.73	143.73	426.18	364.88	379.27	0.0	0.0	369.93	0.0	231.48	32.06	52.91	0.0	252.18	178.8	0.0	55.01	187.61	309.17	4.17	79.79	205.26	0.0
Acrbp	0.0	0.0	0.0	0.0	110.09	107.43	0.0	0.0	0.0	0.0	0.0	17.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28	244.12	103.41	168.53	161.21	205.09	158.91	137.91	85.29	9.16	162.01	12.96	0.33	131.11	34.07	56.5	151.01	53.97	0.0	0.0	0.0	28.48	1.12	0.0	47.12	0.0	0.0	0.0	79.12	0.0	0.45	52.75	21.51	293.97	0.0	90.95	0.0	0.0	1.21	0.0	20.42	0.0	0.06	0.0	20.78	208.93	0.0	0.0	97.35	46.3	7.22	0.0	65.5	0.0
Anxa6	52.72	46.4	69.32	0.16	81.05	276.35	66.67	164.51	101.42	0.0	1.75	7.14	0.0	137.92	91.34	0.37	93.84	0.0	0.0	81.4	95.9	0.1	0.0	413.17	59.92	16.97	185.75	39.13	244.11	0.2	142.72	94.16	287.64	190.19	69.57	282.6	82.54	246.98	224.9	114.88	92.69	112.19	80.9	0.0	253.89	0.0	195.32	30.3	229.98	52.25	84.3	0.0	0.0	85.66	84.99	59.66	189.08	137.49	180.62	95.96	0.0	23.64	131.55	52.94	116.86	120.09	107.04	38.72	162.08	228.94	0.0	82.73	39.54	90.69	2.3	169.4	75.3	0.0
Ass1	214.24	71.61	54.21	15.89	157.67	161.67	54.79	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	78.95	0.0	0.0	25.98	45.35	0.0	0.0	256.17	154.64	208.21	137.64	263.03	56.08	352.86	176.12	161.33	226.61	174.45	216.33	144.73	246.69	335.71	65.82	173.61	270.91	0.0	0.0	260.65	0.0	0.0	155.84	94.65	197.2	1.06	17.49	174.73	258.53	208.14	213.9	167.18	160.78	93.85	230.51	0.0	0.0	70.97	0.0	174.66	92.06	69.32	84.99	241.89	265.68	80.98	33.94	175.74	210.72	340.78	4.63	230.39	0.0
Atic	19.64	0.0	0.0	0.0	2.89	59.92	1.48	30.26	0.0	4.39	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	49.63	27.57	0.0	21.19	60.01	6.12	33.14	18.17	47.33	50.27	59.16	79.41	19.41	6.13	0.0	40.23	30.31	69.84	40.03	0.0	12.78	0.0	0.0	27.21	21.42	28.4	0.0	0.0	10.84	24.39	55.3	46.94	33.04	4.28	4.36	4.82	0.0	0.0	31.08	0.0	11.67	0.0	0.0	0.0	60.73	84.57	0.0	0.0	10.36	3.84	1.43	14.94	38.09	0.0
B230120H23Rik	0.22	0.0	0.17	0.65	30.1	8.95	0.35	0.3	0.14	0.64	0.1	0.22	1.21	0.75	0.28	0.93	0.05	0.13	1.19	0.93	0.45	16.9	0.49	0.55	6.44	11.03	21.55	20.46	26.23	15.12	51.53	6.92	10.52	15.59	5.48	34.89	6.14	12.5	39.74	52.57	56.11	10.37	0.36	9.54	43.18	0.11	0.2	26.57	14.69	30.36	0.4	0.32	9.36	6.86	24.64	7.23	19.28	15.03	25.48	24.48	0.0	0.81	16.0	13.76	45.92	0.3	0.16	0.2	27.45	27.35	12.72	0.06	0.29	0.09	0.13	0.29	21.48	30.62
B2m	1339.2	439.55	161.08	93.96	789.19	244.84	73.54	166.48	176.62	152.3	82.76	187.74	0.0	101.51	164.75	0.0	595.14	160.34	131.27	96.07	544.11	464.73	184.44	110.32	866.84	731.63	438.19	584.74	112.6	1811.5	737.02	1795.75	690.77	747.0	481.78	824.15	381.47	859.07	587.18	499.15	1485.75	1268.18	0.0	83.75	452.05	321.37	170.57	1148.68	763.86	1108.2	70.1	568.53	281.51	639.49	1513.81	654.76	298.29	931.04	470.89	457.88	2.47	2796.17	596.62	191.66	313.82	518.34	91.19	405.57	449.14	841.26	425.15	149.37	674.39	1272.71	897.62	227.81	181.21	0.0
Bcap31	682.18	169.94	242.22	506.37	373.45	395.37	73.67	667.63	279.95	93.31	271.17	642.4	65.64	303.03	143.13	445.78	458.97	668.49	383.55	396.77	829.69	112.01	215.9	332.22	481.18	537.14	518.51	892.42	618.55	466.7	584.91	528.42	423.22	550.91	603.88	435.6	532.34	500.66	260.41	533.76	503.43	455.18	96.61	88.13	510.66	327.95	304.67	273.07	444.1	751.69	311.69	305.93	319.75	481.02	477.29	699.14	349.94	490.34	431.99	433.84	1634.06	233.16	492.94	927.12	413.59	291.74	351.23	312.37	439.71	691.16	305.08	324.02	567.45	549.95	456.94	183.95	534.83	360.32
Cacna1e	46.96	0.0	0.0	0.0	36.75	49.44	19.72	4.67	0.05	1.5	0.67	16.25	33.86	13.51	0.0	108.92	0.0	26.78	14.78	0.0	21.17	0.0	43.13	10.17	68.63	70.4	31.42	61.95	52.8	44.42	85.87	47.18	45.56	70.61	52.21	61.29	64.15	28.26	95.05	71.94	55.34	24.05	0.0	28.79	100.89	19.38	4.91	52.61	32.45	57.48	0.0	48.36	54.36	68.87	107.12	54.1	80.51	63.49	83.89	46.05	0.0	0.0	38.24	4.02	46.37	3.45	14.91	43.0	89.96	46.07	4.01	0.33	40.41	39.23	30.9	24.27	28.54	0.0
Cbln2	17.84	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	15.42	0.0	0.0	97.24	0.0	0.12	37.12	0.35	0.0	36.1	0.88	40.74	0.0	16.54	37.9	0.1	0.0	143.39	0.0	0.0	10.28	0.0	0.38	65.15	0.22	41.92	0.0	0.0	52.73	10.29	37.95	23.22	0.0	18.16	14.82	13.75	0.0	0.0	0.0	0.0	79.34	0.0	0.0	0.0	0.0	55.39	0.0	0.0	0.0	0.14	0.43	0.0	24.62	74.37
