	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Calb2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_63	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_92	Nos1_tdTpositive_cell_5	Ntsr1_tdTpositive_cell_25	Vip_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
6330527O06Rik	0.94	0.91	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.14	0.0	0.0	0.0	0.59	1.46	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	3.72	778.84	0.0	445.32	709.55	687.66	559.36	314.42	181.88	506.54	380.64	426.07	716.58	397.52	475.81	515.09
9430023L20Rik	1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.1	0.0	210.89	0.0	180.99	0.29	0.0	0.0	0.0	155.81	0.0	0.0	0.0	0.0	100.55	0.0	0.0	387.04	0.0	0.0	0.35	0.0	0.0	0.16	0.0	0.0	196.76	0.0	0.0	369.67	0.0	76.83	139.08	104.3	211.1	66.33	106.52	108.6	124.8	60.84	100.23	110.19	94.53	92.5
Arpc3	314.87	444.44	0.23	0.0	147.55	0.0	140.06	0.0	115.84	69.71	137.71	160.45	0.0	145.36	206.54	0.0	155.72	38.82	126.41	437.55	0.0	542.42	0.0	150.28	0.0	94.38	37.32	0.0	172.83	0.0	186.54	20.29	252.8	0.0	0.0	111.46	0.0	155.9	453.83	0.64	238.2	249.92	243.63	227.48	252.63	187.48	131.63	315.39	224.3	248.5	119.88	118.06	105.81
Atp6v1d	654.37	0.35	463.33	394.57	227.94	444.58	338.87	732.47	864.33	559.07	211.41	1133.09	657.47	337.16	226.32	254.18	277.21	354.74	593.85	953.79	472.66	672.69	609.98	718.6	565.14	454.22	421.63	83.7	1274.57	324.07	836.72	206.32	891.25	445.76	519.76	325.32	255.64	468.82	940.01	303.01	1108.82	1260.6	1275.46	1332.95	1177.55	1328.28	1107.81	1206.26	1285.08	1238.6	1420.89	1242.78	1311.15
BC048546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	1.74	1.84	2.91	6.23	2.59	0.67	7.56	1.61	2.21	1.34	3.05	1.68
Cckbr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.65	0.0	80.52	76.15	115.49	87.51	30.95	41.41	53.61	88.42	42.24	68.84	51.66	43.17	48.91
Ccl27b	0.0	0.0	0.0	7.56	0.0	0.0	0.0	10.98	0.0	0.0	7.1	2.51	21.71	1.03	6.68	4.28	2.7	0.0	0.0	8.28	0.0	0.0	0.0	1.75	5.27	3.71	0.0	4.03	9.38	0.0	0.35	2.47	0.1	5.73	0.0	29.26	0.0	0.0	86.45	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Cfl1	643.32	393.49	640.48	911.26	990.56	380.64	441.25	704.62	456.72	382.63	392.12	577.84	612.06	444.74	593.68	860.85	215.36	277.52	227.64	602.54	850.35	675.55	574.88	726.87	256.66	543.22	430.98	763.46	374.25	593.59	324.58	817.45	317.03	530.51	684.51	508.76	758.3	624.3	969.7	287.77	1048.09	933.19	815.39	1000.2	1116.31	952.04	941.55	1238.59	1200.55	1124.34	821.78	943.57	962.97
Coro1a	83.53	0.0	0.24	205.19	0.0	0.0	0.2	0.0	0.0	0.0	0.0	232.76	0.0	0.0	0.0	187.64	0.0	0.0	146.97	0.22	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.43	202.69	0.0	137.96	0.0	107.72	248.91	283.92	274.01	325.59	183.0	147.83	231.41	103.95	118.81	77.44	103.07	125.87
Dnajb5	0.0	0.14	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.0	1.47	0.0	0.0	14.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	58.36	0.0	28.86	54.95	29.11	63.64	37.02	31.04	35.18	28.05	22.22	31.88	12.71	25.59	16.46
