	Chrna2_tdTpositive_cell_14	Pvalb_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_40	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700007F19Rik	0.0	0.0	0.0	0.49	0.37	0.88
1700029F12Rik	0.29	0.0	0.5	0.58	0.11	0.44
2310035C23Rik	0.0	0.0	6.27	40.88	38.81	40.39
3200001D21Rik	0.06	0.0	8.85	1.31	0.91	0.76
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930430J02Rik	0.0	0.0	0.0	0.0	0.0	0.73
4930455C13Rik	0.0	0.0	0.0	0.84	0.5	1.14
5031439G07Rik	0.0	22.55	0.0	59.96	60.35	65.54
A730043L09	0.0	1.32	0.93	2.31	1.44	1.47
A730090H04Rik	0.0	0.2	0.0	0.69	0.58	0.66
A830093I24Rik	0.0	0.0	0.0	4.75	3.89	6.42
AI847159	0.0	0.0	0.0	0.4	0.76	0.31
Aars2	2.83	0.0	0.81	19.34	20.3	20.68
Anks1	0.0	0.0	0.57	14.32	14.45	15.14
Anln	0.0	0.0	0.0	10.5	10.57	11.87
Ano3	0.05	0.0	0.0	67.21	55.03	68.73
Atp2a2	39.87	0.25	171.24	513.24	490.71	517.28
BC048609	0.0	0.0	0.0	0.0	0.37	0.2
Bahcc1	0.0	0.0	0.0	8.31	8.54	9.14
Bai2	0.0	1.13	0.11	231.59	239.36	249.07
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bola3	0.0	0.0	13.55	53.31	52.45	45.25
Brsk2	0.0	11.59	32.97	148.06	151.67	152.3
Btd	0.0	0.0	0.0	9.04	11.02	8.92
C130080G10Rik	0.0	0.0	0.0	0.16	0.11	0.05
Cacna2d2	0.02	0.0	1.86	25.53	24.2	26.92
Cd4	0.04	0.0	0.0	8.68	8.33	8.41
Cdcp1	0.0	0.0	0.09	0.56	0.15	0.24
Cdyl	0.0	0.0	0.0	7.01	7.14	6.98
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col4a6	0.0	0.0	0.0	0.93	0.71	0.68
Crispld1	0.0	0.1	0.0	3.84	3.1	3.51
Cryba1	0.0	0.0	0.0	0.3	0.0	0.0
Csf2ra	0.0	0.21	0.3	27.45	27.1	31.23
Cul2	0.0	0.0	0.0	37.74	35.55	35.99
Dda1	0.0	18.57	13.97	61.26	67.17	58.93
Dock6	0.0	0.0	0.0	10.18	9.84	10.89
Dpp4	0.0	0.0	0.0	2.9	2.44	3.01
Edn3	0.0	0.0	0.0	5.49	6.23	6.22
Eme2	0.08	0.0	0.0	22.36	23.17	24.85
Exo1	0.0	0.0	0.0	0.41	0.45	0.29
F2rl2	0.0	0.0	0.0	2.03	1.35	1.34
Fhod1	0.0	0.0	0.0	3.89	4.06	3.96
Fmr1	0.0	0.27	13.55	49.7	42.8	49.45
Frzb	0.0	0.0	0.0	20.05	22.2	19.38
Gm10190	0.15	0.95	0.0	1.27	0.87	1.33
Gm14327	0.0	0.0	0.0	16.22	8.04	13.65
Gm3143	1.25	0.72	4.2	7.91	5.51	8.67
Gm3286	0.0	0.0	0.0	0.15	0.06	0.0
Gm4858	0.0	0.0	0.0	0.0	0.0	0.0
Gm6592	0.0	0.0	0.0	0.0	0.3	0.43
Gm6623	0.0	0.0	0.0	0.0	0.05	0.16
Gpr12	0.0	0.0	0.0	21.23	22.13	24.39
Hemgn	0.0	0.0	0.0	0.04	0.0	0.04
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hsd17b11	0.0	23.24	0.0	44.69	45.82	43.89
Hvcn1	0.0	0.0	0.0	8.68	11.36	10.25
Inppl1	0.0	3.6	0.0	22.3	22.21	22.15
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif21b	0.0	0.41	0.59	40.2	40.19	42.39
L1td1	0.0	0.0	0.0	0.03	0.03	0.1
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lrba	0.0	0.0	0.11	11.64	11.34	12.43
Lrriq3	0.0	0.0	0.0	0.45	0.39	0.42
Macrod1	0.0	0.0	0.0	11.09	16.62	13.55
Mink1	0.35	0.0	2.33	186.96	186.51	192.9
Mir1186	0.0	0.0	7.16	14.63	7.85	4.5
Mir5113	0.0	0.0	0.0	0.0	5.38	0.0
Mis12	6.13	0.0	0.0	18.73	17.44	16.02
Mmd	13.59	0.0	0.0	250.17	246.63	234.38
Mpzl1	0.0	0.0	0.0	23.62	24.81	25.73
Myct1	0.0	0.0	0.0	0.85	0.68	0.92
Nfasc	0.0	44.48	0.06	91.43	82.44	99.71
Nfyc	16.43	0.0	9.06	41.6	46.45	41.73
Nkx3-1	0.0	0.0	0.0	1.44	0.8	1.62
Nlrp4g	0.0	0.0	0.0	0.04	0.0	0.0
Nrg2	0.0	0.0	0.0	6.66	7.42	8.53
Opn1sw	0.0	0.0	0.37	0.6	0.49	0.59
Osbpl2	0.0	0.0	0.0	49.28	52.89	49.42
