	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_59	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	CAV_LP_Ipsi_tdTpos_cell_12	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
4930529F24Rik	0.0	0.0	0.0	51.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.48	24.05	173.52	0.0	42.1	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	31.46	2.63	0.0	0.0	0.28	0.0	0.0	2.63	0.0	0.0	1.62	0.11	0.11
4930556M19Rik	0.35	2.37	0.13	1.2	1.04	1.46	0.0	0.71	0.0	3.4	1.1	0.25	1.15	2.16	2.8	1.89	1.5	3.44	0.27	1.47	1.11	1.16	0.86	0.94	0.46	0.35	1.08	0.54	0.63	1.04	1.89	1.67	0.52	0.76	1.2	2.12	0.56	0.57	1.41	0.74	2.83	3.09	2.57	0.0	3.78	0.0	1.96	0.63	0.8	1.63	0.69	0.17	3.29	3.45	2.51	1.79	2.79	0.75	0.95	0.44	0.58	0.26	0.0	2.29	1.27	1.52
A230046K03Rik	22.26	52.15	50.65	26.84	28.21	23.6	118.67	56.0	182.2	133.34	56.49	33.37	84.23	61.59	50.14	61.01	39.41	42.6	41.4	42.28	43.15	23.36	45.64	34.75	20.4	56.19	72.42	61.19	55.36	33.16	52.86	141.92	27.09	26.19	108.95	42.96	42.14	34.17	26.83	20.16	47.23	77.47	202.96	32.19	67.91	21.39	33.19	35.1	37.31	76.44	33.92	42.03	66.05	176.69	55.6	77.09	73.31	20.05	46.59	16.32	20.93	33.15	5.93	125.71	23.3	23.13
A430107P09Rik	32.57	29.61	21.67	61.57	38.81	7.27	14.91	31.83	0.15	110.29	55.3	57.21	131.11	170.16	48.18	47.96	35.86	48.18	52.55	40.96	23.2	36.35	26.24	23.3	22.18	33.44	23.36	30.87	24.1	31.14	25.15	29.25	21.89	42.55	35.68	41.06	34.24	22.72	32.01	26.0	28.77	79.81	124.76	2.65	221.34	0.0	26.73	27.62	21.28	34.74	34.95	29.29	87.13	119.46	39.39	45.43	68.8	16.77	27.0	19.45	39.87	18.4	8.72	59.82	19.42	22.38
A730017L22Rik	40.05	41.06	26.44	65.49	52.82	14.06	8.85	39.23	0.0	127.58	53.61	82.3	130.6	268.99	63.17	113.76	48.86	69.68	39.35	79.48	33.93	45.86	38.28	74.04	43.07	44.68	36.03	29.38	30.46	52.78	43.81	44.34	27.23	41.88	41.3	34.32	48.52	31.32	36.97	22.34	39.88	130.33	241.69	9.69	230.7	3.85	36.31	34.72	38.17	55.07	48.01	26.65	125.46	133.83	62.4	42.66	99.81	28.28	29.61	25.67	48.29	22.85	0.29	130.09	38.39	41.94
AI450353	0.0	68.95	0.0	13.49	0.0	0.11	0.0	0.44	0.0	12.61	122.88	121.12	0.95	235.72	221.24	0.0	69.26	80.34	10.04	0.41	55.37	56.1	0.0	36.43	8.31	0.08	27.9	55.46	0.0	37.93	15.37	0.0	41.89	26.95	66.79	0.45	0.2	62.42	0.09	0.16	0.0	104.21	3.23	0.0	0.53	0.0	49.53	0.13	50.43	0.5	48.4	0.21	90.54	129.09	123.1	76.55	40.9	0.2	0.26	0.0	33.74	0.67	0.0	80.91	5.11	4.53
Amy2a2	0.08	0.07	0.0	0.04	0.17	0.01	0.0	0.0	0.0	0.49	0.15	0.48	0.49	0.6	0.51	0.34	0.22	0.09	0.06	0.22	0.1	0.08	0.17	0.09	0.03	0.2	0.1	0.2	0.07	0.17	0.18	0.05	0.0	0.38	0.23	0.26	0.08	0.17	0.09	0.05	0.0	0.75	0.53	0.07	0.53	0.0	0.02	0.11	0.0	0.06	0.18	0.35	0.12	0.62	0.35	0.09	0.0	0.25	0.12	0.12	0.2	0.13	0.0	0.44	0.26	0.21
Amy2a3	0.08	0.07	0.0	0.04	0.17	0.01	0.0	0.0	0.0	0.49	0.15	0.48	0.49	0.6	0.51	0.34	0.22	0.09	0.06	0.22	0.1	0.08	0.17	0.09	0.03	0.2	0.1	0.2	0.07	0.17	0.18	0.05	0.0	0.38	0.23	0.26	0.08	0.17	0.09	0.05	0.0	0.75	0.53	0.07	0.53	0.0	0.02	0.11	0.0	0.06	0.18	0.35	0.12	0.62	0.35	0.09	0.0	0.25	0.12	0.12	0.2	0.13	0.0	0.44	0.26	0.21
Amy2a4	0.08	0.07	0.0	0.04	0.17	0.01	0.0	0.0	0.0	0.49	0.15	0.48	0.49	0.6	0.51	0.34	0.22	0.09	0.06	0.22	0.1	0.08	0.17	0.09	0.03	0.2	0.1	0.2	0.07	0.17	0.18	0.05	0.0	0.38	0.23	0.26	0.08	0.17	0.09	0.05	0.0	0.75	0.53	0.07	0.53	0.0	0.02	0.11	0.0	0.06	0.18	0.35	0.12	0.62	0.35	0.09	0.0	0.25	0.12	0.12	0.2	0.13	0.0	0.44	0.26	0.21
Ccdc157	0.46	0.26	0.53	1.23	0.55	0.36	0.13	0.3	0.0	2.07	18.31	0.37	0.85	0.42	0.59	0.19	1.13	1.02	0.65	0.78	0.12	0.75	0.61	0.27	0.23	0.51	0.0	0.42	0.43	0.12	0.18	0.41	0.24	0.35	0.55	0.65	0.33	0.65	0.26	0.48	0.65	1.52	2.15	0.0	11.94	0.22	0.4	0.59	0.7	0.57	0.32	0.48	1.11	1.51	1.62	1.17	2.0	0.39	0.37	0.26	1.06	0.36	0.06	1.68	19.84	21.08
Clmn	0.09	0.38	0.47	0.79	0.31	0.11	0.0	0.17	0.0	0.76	0.36	1.26	0.89	0.44	0.57	10.59	0.19	0.67	0.16	0.06	0.16	0.17	0.22	0.14	0.17	0.36	0.18	0.09	0.24	0.31	0.19	0.17	0.08	0.22	0.17	0.3	0.22	0.24	0.18	0.16	0.91	0.37	31.32	0.0	0.82	121.88	0.32	0.28	0.05	0.21	0.25	0.34	0.6	0.69	12.24	0.94	1.64	0.26	0.29	0.34	0.24	0.05	0.0	0.58	24.75	26.55
