	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_49	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_108	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
4921515E04Rik	11.3	12.59	2.7	1.17	5.23	27.15	10.51	28.0	69.05	18.81	3.22	10.14	8.9	7.98	5.86	5.34	12.07	5.89	12.85	6.52	11.64	9.08	12.06	10.47	8.47	6.56	7.26	10.73	7.87	4.87	11.75	12.56	5.65	8.0	11.95	15.9	8.58	6.04	7.76	10.78	9.0	4.24	24.74	124.47	216.14	86.6	116.52	33.71	35.77	5.16	5.65	6.83	22.45	39.84	6.85	3.74	1.63
4932411L15	121.11	114.26	43.04	7.78	104.81	381.89	163.16	368.63	819.82	171.57	51.04	123.32	107.82	138.39	89.12	58.19	128.23	29.33	122.72	108.86	175.66	93.21	146.85	107.27	94.51	124.6	129.74	96.47	156.59	64.03	127.76	71.79	99.43	53.73	101.02	119.31	59.49	98.9	86.15	97.78	68.46	140.31	369.35	2548.71	1647.3	1343.04	2989.56	615.85	434.28	66.63	105.9	79.13	258.27	253.43	88.44	89.25	31.07
4933438K21Rik	0.77	1.23	0.81	0.0	0.82	8.08	0.77	9.59	10.62	1.5	0.0	0.54	0.73	0.98	0.34	0.51	1.02	0.46	1.45	0.29	0.91	0.18	1.11	0.71	0.19	12.89	1.42	0.34	0.6	0.32	1.05	0.97	0.31	0.59	0.0	0.44	0.0	0.82	1.53	1.22	0.81	0.93	2.05	15.72	14.75	6.11	10.91	4.96	4.5	0.0	0.82	0.37	2.38	1.84	1.71	0.18	0.3
6030440G07Rik	0.0	5.23	2.6	0.42	0.39	10.14	4.41	9.09	11.1	2.32	0.0	1.71	3.52	3.51	4.49	3.28	3.71	1.46	3.75	3.5	3.62	2.45	3.79	2.75	4.03	1.6	3.47	1.37	2.71	1.73	1.73	1.3	2.37	0.41	7.12	4.27	1.22	3.59	4.03	2.93	2.01	3.63	12.06	27.95	56.11	24.29	9.18	12.51	15.01	1.95	3.09	5.46	4.19	10.49	0.8	1.15	0.97
9130221F21Rik	5.07	4.43	1.46	0.41	3.84	9.93	6.06	16.93	16.89	2.12	0.0	3.31	4.68	3.52	2.59	4.37	1.77	1.53	3.15	3.68	6.31	5.8	3.38	4.16	3.57	3.3	3.91	2.77	2.35	6.47	4.67	2.71	3.43	2.11	1.87	3.75	4.53	4.83	6.03	3.74	3.27	4.54	11.97	30.93	48.98	47.59	32.01	16.64	22.0	4.14	3.72	4.6	5.6	9.06	2.09	2.4	1.27
A130077B15Rik	558.5	524.03	141.7	45.33	542.54	1939.33	810.67	1547.04	2924.68	783.32	51.75	402.29	535.33	532.83	545.15	322.88	570.94	364.45	579.67	417.26	556.55	397.77	476.41	531.84	433.71	478.73	369.17	471.19	482.27	650.06	586.54	562.4	536.66	406.97	619.65	516.55	422.67	424.51	523.23	416.52	430.95	545.8	1609.24	6952.85	10885.52	3070.91	5209.27	2710.61	2432.42	370.24	510.09	563.96	999.48	1047.43	391.99	461.81	275.1
A430107P09Rik	24.98	38.81	7.27	14.91	31.83	133.4	55.3	131.11	170.16	48.18	0.0	18.02	52.55	26.53	40.96	23.2	32.79	19.18	36.35	26.24	60.18	23.3	22.18	33.44	23.36	38.51	30.87	24.1	31.14	33.3	25.15	29.25	33.23	21.89	42.55	35.68	41.06	34.24	35.75	22.72	32.01	41.21	92.79	428.86	662.58	217.28	225.32	220.69	162.4	26.73	21.28	30.31	87.13	119.46	25.51	19.45	18.4
A630020A06	1.28	3.67	0.74	0.38	1.67	4.52	1.94	5.49	5.59	2.77	0.0	1.3	1.88	1.44	1.38	1.36	4.26	1.27	1.34	1.33	3.09	2.58	2.94	1.27	1.27	2.27	2.51	0.2	2.94	1.09	1.84	2.29	1.7	1.2	3.27	0.83	1.88	1.51	2.93	1.7	3.23	2.14	5.6	7.32	31.24	9.28	9.16	6.23	3.67	1.25	1.17	1.82	2.55	3.57	1.39	0.9	1.2
A630075F10Rik	7.24	10.86	1.51	2.97	6.2	30.39	7.76	32.44	32.23	14.03	0.0	7.09	5.76	6.07	4.48	4.99	8.74	6.59	4.33	7.74	9.12	4.43	6.72	10.4	4.0	4.52	3.37	2.61	9.14	6.33	6.91	9.47	7.77	4.21	3.92	8.36	6.97	6.24	10.26	7.91	7.02	8.66	20.12	38.23	179.33	40.79	83.53	22.39	43.25	6.42	6.67	6.01	24.35	27.42	5.1	6.25	0.8
A630089N07Rik	320.2	256.77	109.54	90.41	208.79	1216.35	392.66	813.72	1658.28	421.92	128.35	250.09	217.9	249.28	277.12	132.98	312.13	201.77	307.14	260.74	369.88	238.37	225.76	280.09	228.81	231.21	291.65	320.41	315.65	259.78	243.08	261.79	255.2	206.36	232.85	387.18	216.27	224.28	278.7	238.13	252.1	283.84	733.75	4003.08	5145.26	1945.6	3904.5	1362.15	1448.0	158.33	223.88	210.6	638.32	665.09	145.81	165.04	80.65
