	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_48	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_16	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_65	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_5	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_35	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_140	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_53	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
Anks3	2.7	0.0	0.0	0.0	0.0	0.0	0.0	135.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	292.81	0.0	0.37	0.0	1.36	1.52	2.24	25.42	7.52	0.08	0.0	39.61	0.0	124.62	0.46	0.0	0.0	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.16	5.54	0.18	193.54	0.0	0.0	32.49	0.07	133.9	0.0
B230209E15Rik	192.81	12.48	0.0	0.0	0.0	0.0	3.88	75.38	0.0	1.17	0.0	3.41	38.7	0.0	0.0	0.0	0.0	15.21	0.29	3.12	0.51	63.09	41.04	87.98	79.94	87.18	225.58	84.28	13.1	23.52	98.49	103.67	69.71	0.36	0.31	0.58	1.07	150.06	0.76	0.18	0.0	0.32	0.0	0.0	0.0	81.22	69.72	29.52	6.95	148.29	1.02	116.36	0.26	30.39	0.0
Ccl27b	0.0	0.82	0.0	0.0	0.0	0.0	2.22	113.94	0.0	0.0	0.0	0.47	32.35	0.0	0.0	0.0	0.0	10.7	0.0	9.94	0.81	54.72	30.68	0.23	50.62	21.3	11.37	2.24	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	47.23	352.09	0.0	150.8	0.46	42.6	0.11	49.16	0.0
Ddt	207.17	0.92	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.5	54.12	115.1	18.02	0.0	0.0	136.52	53.08	119.02	91.48	201.4	0.0	0.0	0.0	0.0	107.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.72	159.66	182.35	0.0	248.38	0.0	0.0	0.0
Dnm1	0.0	8.22	0.0	0.0	0.0	0.0	16.58	286.55	0.0	0.0	1.73	2.21	4.12	0.0	0.0	0.0	0.0	11.22	0.0	36.14	1.38	65.89	75.92	46.15	11.85	37.8	66.3	59.02	33.46	69.02	133.85	42.49	64.19	0.0	0.0	0.08	0.19	279.62	0.2	0.0	0.0	0.0	0.09	0.0	0.12	0.52	64.5	93.7	80.62	33.52	0.11	27.29	0.14	396.56	0.0
Dpf1	1.77	14.18	0.0	0.0	0.0	0.0	2.5	0.8	0.0	0.0	0.97	15.09	4.19	0.0	0.0	0.0	1.06	21.7	0.0	30.13	0.46	4.76	20.12	26.29	4.34	36.01	15.13	41.14	25.38	16.89	12.73	32.52	26.55	0.0	0.14	0.13	2.9	21.97	0.0	0.0	10.05	0.0	0.0	0.0	0.0	6.24	24.37	11.56	88.99	42.82	0.18	13.55	6.11	38.05	0.0
Fam81a	12.67	76.92	0.0	0.0	0.0	0.0	262.66	217.93	0.0	520.9	0.0	0.0	87.01	0.0	0.0	0.0	0.19	736.67	0.0	714.71	4.39	545.38	428.78	617.35	178.57	414.39	511.19	534.53	596.72	724.52	408.52	415.36	562.89	0.0	0.12	0.21	0.87	226.49	0.0	0.0	0.0	0.67	0.26	0.41	0.34	827.88	646.78	235.67	380.33	842.14	1.69	145.85	0.74	403.6	0.0
Gdap1	106.98	70.1	0.0	0.0	0.0	0.0	0.1	209.79	0.0	0.0	0.0	0.08	239.6	0.0	0.0	0.0	0.0	17.32	0.0	39.77	1.33	30.26	47.51	0.52	8.84	18.15	2.05	4.0	49.52	42.91	58.44	66.62	0.0	0.0	0.0	19.27	0.0	53.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.34	0.0	8.68	125.53	0.08	0.21	71.29	0.18	0.0	0.0
Gm13306	0.0	0.82	0.0	0.0	0.0	0.0	2.22	113.94	0.0	0.0	0.0	0.47	32.35	0.0	0.0	0.0	0.0	10.7	0.0	9.94	0.81	54.72	30.68	0.23	50.62	21.3	11.37	2.24	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	47.23	352.09	0.0	150.8	0.46	42.6	0.11	49.16	0.0
Gm2506	0.0	0.82	0.0	0.0	0.0	0.0	2.22	113.94	0.0	0.0	0.0	0.47	32.35	0.0	0.0	0.0	0.0	10.7	0.0	9.94	0.81	54.72	30.68	0.23	50.62	21.3	11.37	2.24	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	47.23	352.09	0.0	150.8	0.46	42.6	0.11	49.16	0.0
Golt1b	140.89	278.05	0.0	0.0	0.0	0.0	139.43	146.1	0.0	0.0	95.82	260.1	0.44	0.0	0.0	259.6	0.11	238.97	0.0	278.17	6.76	386.64	200.54	189.24	188.0	319.43	242.02	439.81	82.05	300.39	217.18	539.59	313.64	0.49	0.23	23.69	0.78	296.2	2355.97	175.81	944.83	1.15	0.88	56.08	0.17	156.97	248.01	117.34	883.19	322.29	0.74	487.43	214.49	39.0	0.0
Hbs1l	0.0	5.1	0.0	0.0	0.0	0.0	0.44	0.0	145.17	0.0	16.2	0.34	0.0	0.0	0.0	0.0	0.0	1.4	0.0	92.61	1.13	1.21	55.24	112.18	0.0	0.15	0.15	69.5	23.8	27.27	2.59	18.13	49.68	0.49	0.0	186.43	0.27	39.0	0.0	80.63	710.68	9.16	0.0	0.0	0.0	150.65	0.07	40.87	398.47	62.5	0.15	180.78	0.06	3.4	0.0
Hecw1	6.24	43.75	0.0	0.0	0.0	0.0	92.01	73.0	0.0	0.0	0.04	1.8	0.08	0.0	0.0	0.0	0.0	93.22	0.0	44.13	0.46	29.97	4.46	11.93	53.58	47.61	17.1	24.15	26.1	36.16	60.58	26.36	15.6	0.14	0.06	0.17	0.3	96.59	0.0	0.0	0.0	0.0	0.07	0.0	0.06	5.83	1.83	110.04	58.32	55.94	0.04	48.49	0.06	69.97	0.0
