	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_124	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_72	Rbp4_tdTpositive_cell_78	Rbp4_tdTpositive_cell_140	Rbp4_tdTpositive_cell_178	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
9130227L01Rik	0.34	0.83	0.0	0.04	0.0	0.14	170.68	0.0	0.0	2.43	0.1	0.59	0.0	0.86	0.29	4.87	0.0	0.24	0.0	0.3	0.0	0.09	0.0	0.13	0.46	0.17	0.06	0.19	0.0	0.0	0.16	1.34	0.0	0.0	0.0	0.0	0.3	0.52	0.13	0.39	0.45	0.03	0.0	0.51	0.0	0.0	0.62	0.46	0.15	0.0	0.24	0.0	1.02	0.4	0.21	1.71	0.24	1.34	0.51	0.0	0.0	0.09	0.17	0.18	0.0	0.36	0.0	0.0	0.43	0.53
A330050B17Rik	2.96	1.59	2.67	0.44	0.85	1.5	12.26	0.0	0.17	10.12	1.68	3.57	5.76	5.32	8.22	13.64	18.69	2.02	3.59	3.29	0.0	1.33	2.35	2.66	1.77	1.85	2.13	1.93	2.18	1.6	6.3	2.68	7.13	3.51	9.19	1.06	1.85	3.34	2.36	1.96	1.76	0.89	6.49	0.93	4.13	2.09	1.95	3.18	2.35	1.57	1.42	1.42	14.63	8.74	12.97	5.81	14.81	13.54	10.56	0.0	1.98	1.94	3.15	1.83	1.25	4.88	3.06	0.76	0.9	5.85
A630075F10Rik	7.24	7.0	10.86	1.51	2.97	6.2	23.56	0.0	0.15	36.55	6.03	7.76	19.83	9.19	32.44	32.23	9.43	14.61	14.03	11.58	0.0	7.09	5.76	6.07	4.48	4.99	8.74	6.59	4.33	7.74	9.12	4.43	6.72	10.4	4.0	4.52	2.61	9.14	6.91	9.47	7.77	4.21	15.25	3.92	8.36	6.97	6.24	10.26	7.91	7.02	8.21	8.66	65.6	19.73	22.58	23.75	24.39	36.32	43.25	0.0	6.42	6.67	5.32	6.01	5.1	6.89	3.91	6.25	0.8	22.15
A730017L22Rik	41.07	41.06	52.82	14.06	8.85	39.23	219.8	0.0	0.56	127.58	57.82	53.61	98.82	44.05	130.6	268.99	95.54	100.37	63.17	65.21	0.0	36.03	39.35	78.2	79.48	33.93	49.23	32.86	45.86	38.28	93.05	74.04	43.07	44.68	36.03	38.15	30.46	52.78	43.81	44.34	38.03	27.23	105.22	41.88	41.3	34.32	48.52	41.41	31.32	36.97	22.34	33.21	298.76	130.33	126.63	127.09	144.3	263.77	229.8	3.85	36.31	38.17	55.07	37.08	38.47	42.66	29.61	25.67	22.85	63.01
AU023762	2.34	2.5	5.05	0.6	0.7	3.58	8.77	0.0	0.09	9.2	4.47	5.99	8.48	2.8	11.48	16.46	8.91	6.62	3.55	5.55	0.0	2.92	2.51	2.05	2.45	1.36	2.86	2.92	3.66	3.18	3.67	2.23	2.68	4.67	4.51	3.26	2.02	2.68	4.34	4.81	3.73	2.28	2.43	2.7	4.78	1.89	2.39	3.61	3.06	2.55	2.91	1.95	23.22	8.85	81.6	11.87	8.3	20.71	16.01	1.57	2.37	2.42	9.0	2.2	3.86	4.95	2.62	3.28	1.56	10.07
Alx4	0.22	0.14	0.4	0.1	0.0	0.49	1.36	0.0	0.0	0.8	0.3	0.56	0.77	0.7	0.57	0.48	1.04	0.77	0.41	0.14	0.0	0.23	0.31	0.81	0.36	0.08	0.3	0.22	0.34	0.14	0.35	0.26	0.2	0.46	0.12	0.25	0.17	0.22	0.24	0.19	0.21	0.0	0.77	0.25	0.49	0.28	0.16	0.4	0.26	0.15	0.54	0.39	4.73	0.5	0.73	1.18	0.65	1.1	0.82	0.0	0.2	0.31	0.21	0.35	0.16	0.33	0.21	0.11	0.01	0.35
Amy2a2	0.3	0.07	0.17	0.01	0.0	0.0	0.72	0.0	0.03	0.49	0.15	0.15	0.0	0.0	0.49	0.6	0.12	0.11	0.51	0.15	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.07	0.17	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.29	0.75	0.55	0.2	0.6	1.11	0.61	0.0	0.02	0.0	0.06	0.09	0.08	0.09	0.12	0.12	0.13	0.17
Amy2a3	0.3	0.07	0.17	0.01	0.0	0.0	0.72	0.0	0.03	0.49	0.15	0.15	0.0	0.0	0.49	0.6	0.12	0.11	0.51	0.15	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.07	0.17	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.29	0.75	0.55	0.2	0.6	1.11	0.61	0.0	0.02	0.0	0.06	0.09	0.08	0.09	0.12	0.12	0.13	0.17
Amy2a4	0.3	0.07	0.17	0.01	0.0	0.0	0.72	0.0	0.03	0.49	0.15	0.15	0.0	0.0	0.49	0.6	0.12	0.11	0.51	0.15	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.07	0.17	0.18	0.05	0.11	0.0	0.1	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.29	0.75	0.55	0.2	0.6	1.11	0.61	0.0	0.02	0.0	0.06	0.09	0.08	0.09	0.12	0.12	0.13	0.17
BC039771	1.5	0.82	1.52	0.08	0.0	0.5	8.72	0.0	0.0	8.34	1.2	1.77	2.47	3.15	2.86	5.64	2.52	2.5	2.12	2.3	0.0	0.56	1.68	1.62	1.24	0.85	2.18	0.95	1.67	2.38	1.23	2.33	1.97	2.24	2.86	1.34	0.81	1.86	1.6	1.52	1.6	1.34	2.55	0.47	2.99	1.16	1.23	1.37	1.32	0.79	2.14	1.57	16.31	2.62	3.72	4.32	11.79	4.95	6.64	0.0	2.1	0.98	2.4	0.35	1.05	1.36	2.81	2.59	0.52	3.59
Btbd16	9.88	9.58	8.94	3.66	2.66	6.74	42.83	0.0	0.0	32.99	6.81	15.82	15.14	23.67	29.99	45.01	20.77	12.48	16.94	15.97	0.0	5.42	8.04	6.46	7.81	6.03	10.73	6.35	6.75	5.94	8.49	11.08	9.07	12.01	6.63	6.28	8.51	8.94	6.69	7.63	8.45	6.57	17.63	6.6	11.84	6.61	7.89	10.39	9.47	5.44	8.22	10.76	75.83	20.3	22.19	13.09	27.14	31.26	36.27	0.32	5.33	6.98	12.45	7.68	7.33	14.59	3.11	8.28	2.41	27.45
Car5b	1.93	1.32	1.31	0.59	0.49	3.0	4.83	0.6	0.28	3.25	1.37	1.79	3.15	3.22	3.83	9.34	4.14	4.94	3.65	3.31	0.0	1.29	1.79	1.38	2.24	1.02	2.81	1.69	1.78	1.16	2.24	1.84	1.51	1.35	1.49	2.16	1.43	1.2	1.9	1.5	2.12	1.31	2.61	2.47	1.25	1.77	2.17	2.21	1.85	1.06	1.68	1.41	14.12	2.48	3.81	3.05	4.45	8.92	6.22	0.28	1.31	2.08	2.26	1.42	1.73	2.85	2.33	0.93	0.57	2.62
Ccdc82	83.09	49.19	132.55	16.55	18.79	83.88	183.38	23.03	47.15	185.12	140.98	194.11	196.82	149.36	255.03	408.55	130.61	208.88	153.28	166.93	12.47	93.29	92.3	137.08	81.46	47.01	97.08	97.39	73.92	66.15	104.99	103.6	60.75	98.81	101.08	53.8	63.32	67.09	132.14	63.65	123.82	34.93	77.54	51.48	96.89	81.16	83.24	86.62	91.95	74.23	84.27	110.95	512.76	215.4	167.58	246.81	308.96	290.04	202.29	8.86	44.64	73.16	109.95	98.39	49.05	77.12	40.79	58.32	37.77	111.19
Cd38	1.1	0.67	2.33	0.12	0.54	0.41	7.51	0.16	0.0	3.4	0.83	0.78	1.85	3.35	6.02	17.38	3.49	1.07	1.85	3.45	0.0	0.53	0.78	1.62	2.6	0.63	1.73	0.66	0.69	1.01	1.52	1.84	0.29	1.0	1.13	0.56	0.65	0.66	1.31	1.34	0.73	0.83	2.19	0.0	0.86	1.09	1.93	0.73	0.73	0.64	1.22	1.81	11.21	3.87	3.18	4.21	4.09	10.21	1.76	0.0	0.74	0.91	1.73	0.97	0.81	1.65	0.27	2.28	0.33	3.39
Cltc	183.83	251.27	204.05	117.67	65.08	76.09	198.09	47.4	210.79	786.3	321.03	190.92	233.4	301.17	146.14	399.78	108.59	43.53	328.8	108.21	62.83	193.44	136.95	162.46	203.8	212.36	222.91	147.14	192.66	176.97	294.79	124.38	270.58	61.72	114.8	92.24	113.33	110.63	254.68	29.31	88.88	179.5	56.78	306.93	93.98	92.42	104.5	168.51	244.65	95.18	89.62	113.3	180.9	290.43	242.71	399.09	133.22	452.52	529.82	22.97	134.24	148.49	173.8	112.64	186.59	353.66	108.66	166.32	123.11	159.16
D5Ertd605e	3.47	5.28	10.39	2.31	5.34	2.14	13.46	6.27	0.0	18.59	1.9	4.17	4.77	7.57	10.71	13.8	5.81	4.64	3.66	5.04	0.0	4.98	1.72	3.48	1.49	4.71	2.13	2.52	2.1	2.87	2.0	3.03	2.19	1.83	1.18	3.46	3.13	1.41	2.13	3.47	1.82	7.41	3.03	3.12	4.4	1.53	1.79	4.45	3.19	2.82	3.74	4.76	8.33	4.63	8.99	13.56	7.01	18.85	14.41	0.0	2.57	1.33	1.5	0.69	0.66	2.85	3.09	4.18	2.41	11.6
E030030I06Rik	3.68	10.72	9.19	0.03	0.0	5.5	20.49	0.0	0.0	45.15	20.46	7.05	22.11	24.8	29.45	41.9	9.4	5.92	12.91	8.03	0.0	0.7	7.4	5.87	12.6	0.25	9.93	1.4	4.83	6.0	7.42	4.76	10.04	4.38	5.26	12.75	13.32	4.68	13.71	7.32	10.03	7.86	24.37	3.36	19.6	14.55	11.15	17.41	0.92	7.67	8.46	7.44	75.3	28.4	38.08	20.77	33.1	24.62	45.07	0.0	6.01	2.92	11.23	1.46	0.93	13.67	3.13	2.05	11.05	41.05
E130112N10Rik	5.39	4.04	5.28	2.91	1.77	5.83	24.8	0.0	1.99	41.2	4.43	11.28	17.85	13.5	19.61	45.63	8.21	5.97	14.06	9.0	0.0	4.79	2.11	7.18	11.19	1.55	4.71	8.33	38.06	4.98	7.6	9.72	9.5	5.59	6.36	7.27	4.26	19.37	6.31	7.64	11.89	4.07	12.54	6.7	9.37	10.33	6.59	5.61	5.11	4.47	7.0	5.84	61.08	16.42	13.76	25.43	15.63	36.18	21.52	0.0	4.66	3.07	4.9	5.28	5.54	8.05	4.77	3.44	4.0	12.85
Gas7	6.59	92.18	8.02	16.81	22.62	2.62	214.34	0.0	4.65	86.76	11.19	38.14	138.18	18.73	6.79	63.91	79.48	64.43	68.02	18.34	0.0	12.61	5.66	3.27	1.68	2.26	0.19	12.46	47.41	22.17	15.54	22.56	0.39	18.69	32.09	85.43	2.21	16.04	0.79	15.85	19.0	1.19	25.31	0.0	0.29	14.51	0.91	15.07	22.75	23.34	4.58	0.92	108.67	107.35	42.37	160.56	78.16	123.7	136.04	3.24	9.6	0.23	81.47	13.92	23.62	80.83	1.75	2.82	0.01	176.44
Gm10789	0.56	1.92	1.73	0.7	0.73	1.24	3.05	0.0	0.0	7.12	1.67	1.8	5.37	2.81	6.83	5.76	2.28	1.22	2.67	2.33	0.0	0.76	1.42	2.3	2.94	1.18	0.9	1.0	1.22	1.02	1.9	1.65	1.35	0.72	2.06	0.62	1.26	1.66	0.62	2.68	1.13	0.77	3.35	0.94	1.72	1.11	1.08	1.91	0.58	0.95	0.72	1.87	9.76	2.77	3.01	1.95	4.0	3.99	5.07	0.0	1.06	1.1	1.96	1.35	0.97	1.42	0.32	0.68	0.86	2.33
Gm17821	159.2	127.67	144.83	44.72	35.58	109.53	501.53	0.1	4.44	373.77	152.27	175.54	219.33	223.51	392.7	774.86	227.4	239.42	204.39	221.99	61.65	108.53	130.67	139.94	149.2	83.86	160.33	102.68	158.01	114.81	161.7	109.85	125.35	145.62	107.97	120.35	138.45	152.69	147.65	141.67	132.54	99.22	162.69	155.3	179.51	109.01	105.43	150.54	115.41	117.21	127.57	136.93	901.14	363.0	326.66	393.33	423.51	658.86	679.51	29.62	95.33	105.99	202.83	117.85	86.22	156.61	99.38	102.26	55.36	235.19
Gm6307	0.0	0.0	0.83	0.0	0.16	1.02	11.42	0.0	0.0	8.11	1.64	1.07	4.95	3.26	5.15	5.27	1.51	2.53	2.59	2.81	11.23	0.58	0.51	1.52	1.95	0.86	0.84	0.78	0.99	1.09	1.13	0.42	1.14	1.01	0.61	1.04	0.42	0.24	0.57	0.67	1.68	0.49	3.15	0.49	1.69	1.05	0.77	0.44	0.96	1.47	0.87	0.73	14.05	3.03	4.23	4.95	6.74	9.26	6.3	0.0	1.75	1.42	1.65	0.32	0.71	2.86	0.82	0.56	0.19	7.88
Gm6634	3.95	4.22	5.52	0.0	0.22	2.75	12.69	0.0	0.0	13.11	3.11	4.28	4.01	4.69	11.91	13.81	3.01	2.37	2.26	5.6	0.0	3.42	1.23	2.66	5.44	1.41	3.33	2.47	5.53	2.02	4.17	1.25	1.36	3.69	2.48	3.73	1.11	5.43	5.04	3.06	3.68	1.81	2.21	1.19	6.41	2.64	2.18	2.79	1.35	2.89	1.56	3.21	15.46	9.73	5.89	9.13	9.64	16.67	20.5	0.0	0.64	1.78	1.68	0.95	1.73	2.69	4.19	2.19	0.55	2.77
Grk4	275.35	194.3	249.85	69.61	41.37	231.81	1004.98	0.0	17.89	647.38	336.76	355.92	461.84	390.38	787.67	1190.75	397.37	504.13	399.75	500.93	150.12	236.99	204.95	245.04	240.48	102.42	241.45	169.68	283.81	240.39	306.53	210.57	195.29	285.03	180.95	192.65	275.11	257.46	250.51	228.18	197.09	147.67	310.08	214.23	294.46	180.43	163.58	259.05	198.1	194.5	224.6	226.99	1258.78	589.27	585.18	602.26	715.1	1186.36	1117.19	129.91	179.18	198.88	371.08	169.99	151.93	339.43	127.38	154.37	84.18	428.72
Hmmr	2.74	5.24	10.02	0.8	0.31	4.23	22.03	0.13	2.46	32.71	4.83	15.92	12.59	5.33	14.06	30.58	16.04	12.47	8.79	11.45	0.0	6.21	7.0	5.92	8.87	2.84	9.04	6.15	7.63	6.05	10.44	5.85	4.69	10.37	4.33	6.73	5.94	7.59	13.91	7.58	10.99	1.52	9.2	3.93	5.08	6.48	12.84	11.18	5.69	6.92	4.99	10.31	17.84	14.8	18.98	24.77	13.74	19.61	19.94	0.0	0.58	6.72	10.39	5.6	5.2	11.49	6.01	5.76	2.55	8.43
Il2ra	0.48	0.4	1.17	0.27	0.25	0.42	1.91	0.0	0.0	1.14	0.34	0.67	0.98	1.66	1.48	2.29	0.65	2.32	0.87	1.9	0.0	0.62	0.75	0.8	0.65	0.37	0.91	0.67	0.72	0.86	0.9	0.25	1.37	1.17	0.22	0.58	0.39	0.47	0.36	0.17	0.11	0.22	0.45	0.39	0.65	0.56	0.48	0.26	0.19	0.43	0.36	0.43	4.1	1.43	1.5	1.64	1.64	4.19	2.27	0.0	0.24	0.66	1.24	0.39	0.31	1.33	1.13	0.66	0.14	0.98
Itga4	2.12	4.29	5.3	1.44	1.64	3.12	14.21	0.0	0.56	6.3	4.12	8.79	6.65	4.13	14.21	13.73	5.07	10.86	4.36	5.6	0.0	1.94	5.5	4.86	4.09	3.79	1.75	1.52	3.93	3.33	5.48	3.93	5.13	4.53	2.75	3.4	3.3	2.42	3.21	4.0	3.91	2.04	4.12	3.83	6.0	4.21	4.05	3.84	3.45	3.54	2.75	3.25	63.96	25.05	19.68	9.73	11.21	21.19	15.18	0.0	2.7	2.74	2.73	3.25	2.97	4.59	2.58	2.93	2.79	8.5
Kcnq1ot1	41.78	28.23	32.9	9.39	6.11	28.19	160.88	0.45	1.34	100.48	38.16	50.52	56.69	78.58	106.03	162.48	62.11	75.0	54.93	55.22	16.2	26.73	39.0	38.23	36.61	16.83	40.13	27.17	46.94	29.94	42.45	29.03	30.64	37.08	27.18	31.95	31.87	41.06	41.47	37.15	37.47	23.92	41.51	27.93	46.41	28.37	27.34	45.75	27.36	29.48	32.73	32.11	247.32	83.03	94.3	112.34	101.83	161.72	188.82	4.8	29.47	30.75	45.81	27.94	17.87	38.63	19.92	24.37	13.18	61.97
Lipi	0.87	1.01	1.94	0.0	0.53	1.08	6.38	0.0	0.16	4.41	1.41	2.0	3.28	1.14	2.52	3.26	1.16	1.92	2.31	3.35	0.0	1.62	0.25	1.08	0.88	0.33	0.89	0.71	1.43	0.33	1.22	0.94	1.32	2.0	0.99	0.66	0.76	0.58	1.0	0.22	0.33	0.15	1.54	1.26	2.72	0.71	0.0	1.18	1.5	0.55	0.63	1.01	6.64	3.87	2.28	8.77	5.25	8.58	6.12	0.0	2.94	0.75	1.75	1.34	0.9	1.89	0.89	0.41	0.63	3.85
March6	12.07	19.55	2.82	15.6	62.34	2.44	104.0	0.0	0.0	208.48	6.0	118.68	147.57	157.88	51.15	331.22	17.63	88.83	119.88	6.76	0.0	1.14	68.85	22.21	43.05	75.27	24.13	64.39	65.05	81.05	37.52	37.88	16.6	22.01	38.1	8.98	1.33	26.69	29.0	37.77	54.57	24.0	18.51	27.55	36.54	24.45	82.87	50.23	1.73	34.32	44.91	46.77	33.16	138.36	161.71	79.79	93.64	167.21	188.44	0.0	14.66	48.32	65.63	20.93	18.45	58.5	15.82	6.4	6.39	84.66
Matk	0.0	198.85	0.0	0.0	2.57	49.67	2.31	0.0	0.0	344.27	70.47	105.96	0.0	0.0	70.18	93.84	0.0	35.71	113.18	130.29	0.0	46.96	46.1	0.83	62.91	0.0	61.2	0.12	0.0	0.0	0.0	0.0	0.23	4.73	2.47	17.76	0.0	0.0	35.52	0.0	0.0	0.0	98.87	122.69	0.0	0.0	0.0	10.41	0.0	0.0	0.92	0.0	66.03	33.28	30.01	172.84	0.61	14.18	149.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	48.66
Ncan	54.0	55.54	0.1	12.12	2.89	38.5	79.19	6.01	7.76	116.23	102.24	69.09	36.71	8.65	56.15	126.26	34.7	13.29	57.3	66.53	0.0	8.85	18.9	16.66	36.73	4.04	35.71	27.47	11.25	0.05	31.47	27.37	37.34	22.76	26.0	32.44	18.21	16.05	20.78	12.51	25.48	40.88	30.41	1.11	19.46	19.09	27.74	24.81	14.39	10.21	49.53	25.75	46.12	70.38	117.61	77.08	72.81	15.58	31.77	0.1	12.12	25.21	12.69	4.77	36.59	39.77	51.33	14.17	3.93	41.09
Npy	138375.8	64781.64	173305.25	40775.82	1.6	115124.65	0.0	0.0	27034.99	43922.94	108594.8	96206.73	82245.2	42632.64	65548.38	14635.6	77711.12	45335.24	125016.83	63494.68	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	48908.54	95298.15	137580.94	120620.2	68416.93
Nuf2	1.07	1.37	0.77	0.42	0.0	1.81	8.46	0.0	0.0	5.0	2.99	3.25	2.03	2.01	2.04	10.63	2.82	2.19	2.59	1.52	0.0	0.82	0.99	2.31	3.09	0.44	1.49	1.37	2.94	1.67	2.54	1.14	0.83	1.92	0.81	2.15	3.13	1.36	1.34	1.91	0.88	1.47	2.36	1.26	13.66	0.93	1.62	0.51	1.59	1.3	2.35	1.2	19.65	4.18	3.51	4.89	6.76	8.22	11.64	0.85	1.29	1.81	1.7	1.58	0.89	3.02	0.57	0.53	0.56	1.79
Ogt	51.43	67.25	63.79	21.97	8.51	63.3	226.92	0.0	0.0	445.19	148.94	79.12	31.71	236.39	96.7	261.74	208.66	2.08	148.8	68.77	0.0	31.83	12.54	29.83	1.8	25.01	46.53	46.32	29.78	75.47	24.33	74.26	96.31	102.13	131.85	42.54	49.74	45.83	119.1	10.79	22.69	9.01	38.72	0.65	62.05	78.43	49.95	43.33	114.91	37.7	15.45	56.64	84.25	183.44	258.14	289.17	245.48	351.79	197.04	4.34	61.23	43.56	27.99	29.94	3.53	58.2	20.11	39.65	45.4	210.69
Pde4c	0.8	1.37	1.95	0.81	0.81	0.93	4.04	0.0	0.16	3.98	1.4	2.9	2.1	1.96	5.26	4.37	2.72	3.04	2.17	3.22	0.0	0.77	1.82	1.28	0.81	0.87	1.19	1.23	0.94	0.44	1.01	0.84	1.34	1.54	2.09	0.71	0.96	1.01	1.18	1.21	1.57	1.36	1.84	0.92	1.49	0.44	0.84	2.08	1.61	0.94	0.93	0.97	12.61	3.87	3.62	3.08	2.73	5.02	5.33	0.36	1.06	1.08	2.04	1.82	0.5	1.32	0.46	0.74	0.79	3.61
