	Chrna2_tdTpositive_cell_65	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_7	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_16	Ntsr1_tdTnegative_cell_11	Pvalb_tdTpositive_cell_1	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_12	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_88	Sst_tdTpositive_cell_100
Alas1	17.62	0.0	109.2	0.0	0.0	178.01	40.1	0.0	91.73	0.0	0.0	0.0	57.36	55.75	80.99	63.69	37.51	93.28	53.02	55.4	0.0	0.0	3.41	66.85	54.11	155.31	52.89	81.04	33.94	0.0	22.23	53.51	7.45	60.98	0.63	159.14
Apba2	0.0	1.7	0.25	11.61	0.0	40.7	4.77	3.49	58.65	0.0	0.0	12.63	24.49	31.29	3.41	0.0	33.85	117.53	16.8	33.04	7.43	0.0	5.35	27.2	19.11	31.68	14.39	36.05	113.62	0.0	33.59	28.98	10.87	57.1	0.28	0.04
Arl6	135.51	0.0	481.99	0.0	0.0	105.78	0.0	201.22	352.25	0.0	469.79	8.64	73.16	151.46	108.7	96.36	64.29	91.88	140.08	92.15	158.63	0.0	65.96	173.15	76.3	212.81	176.29	41.98	0.0	0.0	43.36	234.05	0.0	108.95	0.77	166.37
Asna1	17.87	33.69	144.43	3.92	124.02	230.9	87.96	56.38	111.87	0.0	1.02	164.95	115.97	85.88	0.0	0.0	82.99	122.03	58.91	216.56	49.02	0.0	36.27	177.96	3.85	1.32	81.55	95.39	3.05	0.0	40.46	28.6	1.92	244.44	7.83	100.4
Blmh	133.35	36.86	365.1	64.52	90.97	248.65	48.27	98.81	91.64	0.0	0.27	202.4	103.11	59.49	2.9	0.0	78.54	157.01	89.41	123.16	183.68	220.44	66.66	220.5	73.84	233.12	328.09	69.13	0.0	0.0	115.72	16.37	148.02	54.37	1.77	154.77
Brd7	0.0	17.28	0.0	0.0	0.0	0.21	0.0	4.58	171.17	0.0	0.0	61.02	50.45	52.14	0.0	27.26	47.98	0.0	0.56	38.55	4.04	0.0	0.0	0.13	0.0	55.47	12.03	27.87	0.0	0.0	8.13	46.86	0.0	45.34	12.72	175.28
C330019G07Rik	8.55	0.0	1.0	16.3	12.03	39.98	35.5	35.37	36.02	0.0	0.0	0.09	19.98	17.75	6.43	42.42	28.42	32.05	22.07	4.29	11.4	0.07	10.33	16.76	0.03	25.16	42.68	8.9	0.0	0.0	26.58	7.17	5.29	3.61	0.17	35.63
Ccl27b	0.42	2.09	0.37	0.0	0.0	5.57	1.88	0.77	13.31	0.0	0.0	0.0	2.68	0.0	1.09	2.3	4.61	30.44	4.51	7.64	5.66	0.0	0.0	11.2	0.0	5.69	6.74	0.0	0.0	0.0	2.62	8.09	0.0	5.68	0.85	52.38
Clta	52.0	0.6	146.55	47.56	6.72	66.89	13.97	61.71	60.62	0.0	9.03	20.38	15.12	107.02	0.0	0.0	23.68	67.62	28.23	63.49	91.15	28.98	22.78	169.17	34.49	40.4	0.0	13.9	72.53	0.0	31.2	69.1	159.16	99.9	21.23	83.4
Ephx4	0.97	0.0	342.57	84.56	0.0	320.01	284.32	2.14	370.32	0.0	0.0	164.05	307.5	430.6	69.14	11.41	213.84	278.1	146.66	89.75	268.19	1.26	29.55	117.34	0.0	80.6	189.41	5.52	0.0	113.69	56.28	197.39	21.6	4.1	53.85	172.9
Fam168a	11.48	45.98	92.29	92.38	11.45	23.4	36.06	21.21	47.88	0.49	62.48	51.17	79.42	51.31	17.49	35.57	54.61	75.81	84.76	54.87	52.34	83.78	29.55	81.07	28.9	79.06	99.57	43.43	47.75	68.02	84.25	58.36	30.08	101.24	3.92	148.12
Fyttd1	2.86	28.0	41.2	21.61	21.28	112.1	36.1	34.86	77.59	0.19	12.28	0.0	44.46	81.42	0.17	49.4	0.0	76.55	90.17	40.91	48.81	0.0	90.43	79.85	18.25	42.3	8.28	30.18	11.02	40.36	33.53	74.38	59.34	78.77	2.82	237.88
Gm13306	0.42	2.09	0.37	0.0	0.0	5.57	1.88	0.77	13.31	0.0	0.0	0.0	2.68	0.0	1.09	2.3	4.61	30.44	4.51	7.64	5.66	0.0	0.0	11.2	0.0	5.69	6.74	0.0	0.0	0.0	2.62	8.09	0.0	5.68	0.85	52.38
Gm2506	0.42	2.09	0.37	0.0	0.0	5.57	1.88	0.77	13.31	0.0	0.0	0.0	2.68	0.0	1.09	2.3	4.61	30.44	4.51	7.64	5.66	0.0	0.0	11.2	0.0	5.69	6.74	0.0	0.0	0.0	2.62	8.09	0.0	5.68	0.85	52.38
Mdh1	6337.63	7747.41	8893.39	9157.85	8210.07	7357.26	8389.64	10093.74	8070.48	2210.4	8186.5	10545.81	8555.82	8516.89	9502.43	7810.32	8436.01	7936.24	9604.97	9016.72	8751.4	7993.44	8670.67	8260.84	7771.66	7826.71	7773.13	9266.26	8471.35	8492.93	10194.39	9913.31	11738.29	7791.2	7304.0	5790.07
Pcif1	0.0	0.11	8.92	3.35	0.0	0.0	0.0	2.62	82.56	0.0	0.0	0.0	3.35	7.09	0.0	0.0	7.7	4.18	0.0	3.74	13.79	2.24	0.0	2.38	0.0	2.81	5.94	0.0	0.0	5.49	0.0	0.0	2.19	2.81	0.17	7.54
Pcmt1	0.0	81.83	383.84	266.18	79.3	180.56	315.01	194.07	255.39	305.33	150.56	224.09	245.8	406.38	91.73	104.02	325.49	274.81	198.14	287.22	170.6	163.28	175.78	445.74	240.02	372.92	88.81	179.85	49.05	3.06	169.92	249.51	519.45	199.48	63.46	312.5
Ppa1	2.93	366.78	94.67	222.0	0.0	466.72	332.37	171.41	915.35	0.0	0.0	259.83	322.58	135.87	162.08	503.97	201.14	465.96	573.66	443.3	358.92	76.48	318.63	836.29	249.59	422.41	473.6	428.67	174.96	117.01	568.37	235.65	270.92	499.57	190.02	585.36
Psmc3	6.4	195.46	916.44	276.86	0.27	784.2	441.28	331.72	449.08	0.51	328.39	224.48	333.37	189.95	113.68	227.34	237.68	171.91	178.89	329.13	361.58	87.04	173.82	418.59	142.88	392.93	258.47	371.9	269.16	53.64	478.26	288.29	318.97	395.01	154.23	444.55
Rangap1	17.94	18.92	79.54	8.64	67.36	44.89	68.59	72.15	0.1	5.13	5.07	55.2	48.75	5.6	14.74	13.06	68.13	107.99	47.62	16.28	68.68	21.82	24.13	146.29	14.47	29.9	19.9	19.4	0.96	31.26	26.23	30.1	78.97	40.13	2.36	112.79
Rrnad1	0.35	1.57	113.9	0.26	0.27	1.56	3.85	11.22	43.42	1.32	0.72	0.67	6.63	2.17	0.76	0.33	39.84	2.32	4.49	25.69	7.28	1.79	3.66	2.63	1.8	38.5	4.39	0.95	3.17	86.35	4.38	0.6	2.55	56.38	0.45	105.65
Sf3b1	7.4	86.12	112.7	29.06	26.84	103.59	71.71	12.06	87.32	1.96	0.9	53.54	109.29	44.57	71.4	55.71	139.59	64.07	40.08	69.24	65.76	52.2	25.83	105.33	21.34	52.28	51.14	51.61	19.63	25.59	55.81	72.04	65.4	92.32	38.84	76.89
Spata7	0.0	0.0	8.43	0.0	0.0	71.23	0.0	0.0	188.62	0.0	0.0	0.0	63.17	0.3	107.78	10.25	33.34	4.98	4.97	5.41	33.78	0.0	0.14	47.12	0.28	71.17	132.06	0.14	138.78	10.99	0.2	2.52	0.0	0.0	4.31	170.68
Syn2	57.77	56.11	166.93	110.86	29.84	111.71	19.35	45.8	262.76	0.21	98.59	129.35	93.68	18.87	80.62	5.55	171.16	114.21	18.58	57.54	84.65	0.0	65.52	37.01	24.13	156.23	162.6	102.87	2.31	119.54	40.65	111.33	316.72	88.25	30.89	61.01
Tcerg1	0.0	1.7	67.29	2.16	1.18	5.56	0.86	46.32	46.94	0.0	0.7	9.97	15.28	9.19	33.55	0.93	43.78	8.32	11.09	1.25	22.63	0.0	5.95	16.29	0.0	82.11	27.6	26.94	10.24	7.81	4.6	1.82	16.52	22.01	2.05	0.0
Tm2d3	281.06	342.61	859.07	219.47	233.98	487.67	406.45	457.69	642.44	0.0	258.49	151.32	415.48	449.68	886.83	285.48	566.19	667.1	152.98	227.77	455.19	329.67	363.12	293.55	448.85	900.12	428.74	543.64	435.69	513.64	308.02	193.71	158.22	446.12	233.59	879.66
Yme1l1	50.16	23.97	126.8	19.66	116.51	124.9	6.0	47.74	118.23	1.95	164.52	21.92	116.38	99.64	34.32	43.39	91.75	166.44	103.89	111.82	134.19	66.92	89.13	156.31	37.17	63.63	64.61	46.76	64.67	38.05	55.91	112.26	142.63	95.1	40.63	219.7
