"sensspec1"	"sensspec2"	"sensspec3"	"sensspec4"	"crit1"	"crit2"	"crit3"	"crit4"	"sens1"	"sens2"	"sens3"	"sens4"	"spec1"	"spec2"	"spec3"	"spec4"	"meanF1"	"SDF1"	"meanFP"	"SDFP"
"KENDALL_GEE"	0.977880060898113	0.989774918691623	0.896248253312726	0.981623802385453	0.98901903	0.98669724	0.9879849	0.98844018	0.9733333	0.98	0.8333333	0.964	0.9824695	0.9997468	0.9694389	0.999904	0.961381758821979	0.043705374827085	0.0121102	0.0147732281908864
"KENDALL"	0.891869516291315	0.852716725551432	0.813638116328416	0.967894667631442	0.9860543	0.98326458	0.98382814	0.98488636	0.8291111	0.756	0.7111111	0.944	0.9649068	0.9778101	0.9507102	0.9930304	0.881529756450651	0.0658414106392904	0.028385625	0.0180647836954252
"MSEC_KENDALLC"	0.986310323658949	0.748751419947627	0.896174340831196	0.848707428069209	0.99401707	0.9930102	0.99311849	0.99216068	1	0.612	0.8380952	0.764	0.9729904	0.9642025	0.9629025	0.9545408	0.869985878126745	0.0989406867674308	0.03634095	0.00755169476982929
"MSEC_KENDALLC_GEECE"	0.999034418551856	0.906094745611968	0.938024810226905	0.584270721250244	0.99259657	0.98652782	0.99032263	0.98976328	1	0.83	0.8857143	0.4169455	0.9980707	0.9975506	0.9969021	0.9759185	0.856856173910243	0.185768912645038	0.00788952500000001	0.0108052296999724
"MSEC"	0.981329864693611	0.717298001396257	0.881360974194057	0.846981922096954	0.99477007	0.99407686	0.99374628	0.99221866	1	0.57	0.8095238	0.7533333	0.9633441	0.9672532	0.9671894	0.9672192	0.85674269059522	0.109038399634636	0.033748525	0.00193842524982692
"KENDALLC_GEECE"	0.997585835847764	0.729854030246058	0.965603914833006	0.664463778557648	0.99172072	0.98156377	0.98937333	0.98873269	1	0.576	0.9380952	0.5071758	0.9951833	0.9958544	0.9947747	0.9631657	0.839376889871119	0.166886374226677	0.012755475	0.016058719800859
"MSEC_GEERE"	0.969630794114181	0.616170336677703	0.83095143781986	0.782234773808082	0.99581335	0.99427867	0.99515316	0.99405603	0.9533333	0.4485	0.7190476	0.6456	0.9864952	0.984057	0.9841057	0.9922304	0.799746835604956	0.145878133870844	0.013277925	0.00384452682253182
"MSEC_GEECE"	0.986392599337006	0.687778961124434	0.926445838105794	0.564589826916549	0.99372569	0.98459692	0.99151486	0.99024017	0.9733333	0.525	0.8637188	0.3958303	0.9998071	0.9968608	0.9989974	0.9841943	0.791301806370946	0.198695435218276	0.00503510000000001	0.0072871626453648
"KENDALLC"	0.975581971881774	0.70266418807273	0.950613802070797	0.523837377359511	0.99354889	0.99354889	0.99298787	0.9910611	1	0.564	0.9619048	0.3626909	0.952328	0.9317405	0.9395848	0.9426758	0.788174334846203	0.215014895008081	0.058417725	0.00851502288561222
"MSEC_KENDALLC_GEERE"	0.987300546310847	0.383182977281449	0.906501575420373	0.778748632950731	0.9949004	0.9949004	0.99420412	0.99343002	1	0.24	0.852381	0.652	0.9749196	0.9498734	0.9679607	0.9666688	0.76393343299085	0.267960782094122	0.035144375	0.0106251235771245
"MSEC_KENDALLR_GEECE"	0.765932378510797	0.771388178347324	0.494745260514376	0.945147679324895	0.98294119	0.98379539	0.95805875	0.98584719	0.6242222	0.632	0.331746	0.896	0.990881	0.9896582	0.9726396	1	0.744303374174348	0.186027854052921	0.0117053	0.011411168272647
"MSEC_KENDALLR"	0.744291509770839	0.759228033308092	0.408844512551436	0.98580121703854	0.98415999	0.98461751	0.97512894	0.98569013	0.6062222	0.62	0.2580499	0.972	0.9638006	0.9790949	0.9836558	1	0.724541318167227	0.237707415471139	0.018362175	0.0148982634008968
"MSEC_KENDALLC_GEECE_CORR"	0.759800253458853	0.618662952203567	0.739808101090369	0.683226717190281	0.75936256	0.77982386	0.74964116	0.77649183	0.6146667	0.4485	0.5873016	0.5189333	0.9946559	0.9968861	0.9992994	0.999744	0.700374505985767	0.0633962474380636	0.00235365000000001	0.00235609005840888
"GEE"	0.743192265253294	0.733207746853246	0.703703667695472	0.563239305694168	0.99653144	0.99175007	0.9950241	0.99417156	0.5913333	0.584	0.5428571	0.3922667	1	0.9848228	1	0.9984	0.685835746374045	0.0834326606053654	0.00419430000000001	0.00736067908733064
