	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"814.DBYmsn2-4- 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"978.wt_plus_gamma_20_min"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"2064.Hypo-osmotic shock - 5 min"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7547.33C no sorbitol 30 min"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YBR189W"	-2.555	-2.064	-2.33	-4.446	-1.4635	-1.0885	-3.784	-3.224	-3.356	-2.154	-2.355	-2.065	-4.702	-1.982	-1.532	-3.071	-3.483	-0.746	-0.564	0.102	-3.678	-2.467	-1.8835	-2.9475	-0.286	-0.516	0.145	0.035	-0.08	0.108	-0.175	-0.004	-0.437	-1.38	-1.845	-1.902	-0.8	-0.065	-2.7915	-1.7315	-3.818	-0.484	-0.764	-2.84	-1.457	-0.82	-2.193	-4.874	-3.763	-4.739	-3.572	-3.188	-3.569	-1.949	-2.976	-3.586	-2.747	-1.783	-1.652
"YDL074C"	-0.708	-0.3955	-0.577	-0.4745	-0.1835	-0.213	-0.0455	-0.2	-0.231	0.183	0.2395	-0.1695	-2.169	0.039	-0.596	-0.4365	-0.288	0.1505	0.368	-0.1595	-0.9815	-0.4895	-0.7865	-1.3035	-0.105	-0.11	0.4625	0.989	0.00349999999999999	0.2985	-0.331	0.6025	0.1745	0.3635	0.292	0.2085	0.3225	0.36	0.292	0.5855	-0.7045	0.0605	-0.413	-0.641	-0.501	-0.22	-0.073	-1.616	-1.649	-0.942	-1.329	-0.847	-0.369	-0.312	-0.262	-0.585	-0.325	0.162	-0.025
"YDL082W"	-1.994	-1.806	-2.339	-2.521	-1.564	-0.943	-3.223	-2.484	-2.853	-1.446	-1.723	-3.326	-5.816	-2.246	-1.504	-2.537	-3.01	-0.631	0.374	-0.026	-2.915	-2.182	-3.001	-3.589	-0.105	-0.401	0.321	0.207	-0.225	0.271	-0.155	0.077	-0.173	-1.02	-1.466	-1.476	-0.397	0.044	-2.982	-1.117	-3.338	-0.611	-1.277	-2.511	-1.38	-0.627	-1.828	-4.398	-3.698	-4.518	-3.314	-3.014	-3.155	-2.089	-2.944	-4.311	-2.869	-1.687	-1.51
"YDR165W"	-3.154	-2.85	-2.419	-2.762	-0.982	-1.84	-4.096	-2.538	-2.179	-1.905	-2.27	-3.111	-5.309	-2.69	-1.82	-3.015	-2.243	-0.791	-0.141	-1.442	-3.057	-1.582	-2.409	-2.23	-1.395	-0.679	-0.18	-0.967	-0.999	-0.69	-0.929	0.086	-1.269	-1.071	-1.185	-1.573	-1.292	0.437	-1.555	-1.795	-2.787	-1.322	-2.796	-3.068	-1.809	-1.222	-3.533	-2.479	-2.722	-3.205	-2.632	-2.085	-2.255	-1.941	-1.724	-2.032	-2.298	-2.779	-2.152
"YHR141C"	-2.292	-1.6565	-2.4395	-3.094	-0.803	-1.059	-2.32	-2.364	-2.143	-1.491	-1.631	-2.472	-3.64	-2.495	-1.502	-2.31	-2.677	-0.323	-0.528	-0.017	-2.888	-1.569	-1.838	-2.014	-0.064	-0.557	0.308	0.218	-0.058	0.207	-0.13	0.086	-0.282	-1.03	-1.322	-1.438	-0.823	0.041	-2.268	-1.283	-3.0435	-0.373	-1.063	-2.364	-1.307	-0.789	-1.851	-3.763	-2.729	-3.686	-3.203	-2.487	-2.359	-1.228	-1.905	-2.376	-1.936	-1.609	-1.354
"YHR170W"	-5.3995	-4.622	-4.14	-3.947	-1.421	-1.418	-4.51	-1.901	-2.071	-1.404	-2.063	-2.573	-4.858	-2.326	-1.722	-2.759	-2.694	-0.497	-0.034	-1.083	-2.314	-1.819	-2.758	-2.443	-1.519	-0.841	0.127	-0.995	-1.321	-0.636	-1.164	0.119	-0.853	-1.218	-1.234	-1.32	-1.252	0.362	-1.546	-1.98	-5.252	-1.66	-2.606	-3.576	-2.405	-1.181	-2.772	-3.186	-2.544	-3.601	-2.58	-2.061	-1.01	-0.333	-0.796	-0.477	-0.326	-1.833	-1.172
"YKR026C"	-1.035	-1.029	-0.794	-1.639	-0.527	-0.743	-3.144	-2.386	-1.661	-1.705	-1.843	-2.863	-3.755	-1.094	-1.451	-1.979	-1.969	-0.695	-0.272	-0.307	-1.723	-1.003	-2.363	-2.231	-0.64	-0.314	-0.016	-0.243	-0.449	0.044	-0.087	0.265	-0.322	-0.497	-0.759	-0.864	-0.452	0.393	-1.024	-0.611	-1.328	-0.417	-1.102	-1.359	-0.903	-0.651	-1.236	-2.323	-1.851	-1.972	-2.064	-1.268	-0.708	-1.269	-0.708	-1.406	-0.971	-0.586	-0.951
"YLR175W"	-4.176	-3.679	-3.07	-4.902	-1.812	-2.283	-5.607	-3.276	-2.921	-2.484	-3.068	-3.401	-5.468	-3.43	-2.275	-3.996	-3.068	-0.609	0.049	-0.863	-4.678	-3.408	-4.364	-4.96	-1.041	NaN	-0.224	-0.855	-1.287	-0.59	-1.041	-0.137	-1.179	-1.754	-1.987	-2.214	-1.76	-0.031	-3.576	-3.065	-4.431	-1.303	-3.342	-4.177	-1.884	-1.078	-3.986	-3.995	-3.16	-4.338	-2.959	-2.455	-2.526	-2.713	-2.564	-3.796	-2.767	-2.89	-2.115
"YLR197W"	-4.98	-4.044	-3.638	-5.179	-1.659	-1.615	-5.817	-3.612	-3.173	-2.789	-3.255	-4.736	-5.242	-3.387	-1.811	-3.899	-3.238	-0.962	0.029	-0.823	-5.671	-3.716	-4.976	-5.033	-0.991	-0.215	-0.157	-0.63	-1.497	-0.419	-1.383	-0.335	-1.26	-1.807	-2.103	-2.453	-1.574	0.013	-3.686	-3.026	-5.072	-1.161	-2.322	-4.496	-2.603	-0.567	-4.151	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	-3.015	-2.826	-3.736	-2.197	-2.559	-2.613
"YLR448W"	-1.853	-2.009	-1.814	-3.482	-1.716	-1.216	-4.815	-3.882	-3.116	-2.052	-2.688	-3.552	-5.971	-2.157	-1.842	-3.425	-3.454	-0.98	-0.482	-0.397	-4.891	-2.621	-3.192	-4.132	-0.692	-0.373	0.339	0.048	-0.328	0.033	-0.156	-0.19	-0.706	-1.955	-2.326	-2.356	-0.669	0.001	-3.647	-1.514	-2.983	-1.019	-1.779	-2.6	-1.416	-0.799	-1.143	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	-1.946	-2.75	-3.657	-2.638	-1.818	-2.737
