	"39.alpha factor release sample027"	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1105.alpha factor release sample023"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1310.diauxic shift timecourse: 9.5 hr"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"11466.yO1 test hyb"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"32622.S1Comp 05 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"40956.H2O2_II_100_min"
"YAL007C"	0.3055	-0.528	-1.166	-1.318	-0.897	-1.492	-1.638	-3.056	-3.632	-0.058	0.397	-1.331	-1.352	-1.826	-1.304	-1.513	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	0.081	-0.2395	0.544	-0.554	-0.1	-1.587	-0.675	0.542	-0.83	-2.157	-1.39	-1.503	-1.439	-1.464	-1.377	-0.397	-0.713	-0.367	-0.845	-0.11	0.888
"YAL035W"	0.6545	-0.808	-2.9955	-1.8465	-1.6975	-2.7435	-2.1065	-2.5615	-3.6215	-0.1225	-0.2015	-1.3835	-1.5975	-1.6735	-2.2745	-3.02066666666667	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	0.8845	0.164333333333333	0.398	-0.06	0.103	-1.714	0.319	0.773	-1.463	-2.982	-2.891	-2.039	-2.445	-1.835	-1.076	-1.932	-1.485	-0.743	-1.3	-0.54	-0.176
"YBR121C"	0.4785	-1.014	-2.66	-1.84	-1.543	-2.186	-2.714	-4.037	-5.791	-0.738	-0.535	-2.317	-1.95	-2.366	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.6375	0.598	0.307	-0.92	-0.624	-2.249	-1.53	-0.148	-1.448	-2.28	-1.923	-1.524	-1.875	-2.122	-2.086	-2.264	-1.806	-1.543	-2.181	-1.588	-0.9
"YCR053W"	0.272	-1.076	-2.562	-1.828	-1.952	-1.707	-1.033	-3.556	-4.283	-0.269	-0.301	-1.206	-2.391	-1.41	-1.635	-2.5805	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.033	0.4985	0.15	-0.502	-0.613	-1.451	-0.755	0.2585	-0.367	-0.892	-1.5505	-1.1685	-1.1875	-1.6075	-0.9855	-2.601	-2.51	-2.2205	-2.352	-0.454	-0.376
"YDL192W"	0.393	-0.328	-1.319	-0.908	-0.928	-0.927	-1.408	-1.026	-2.919	0.239	0.059	-0.949	-0.906	-2.056	-2.008	-1.5	-1.284	-1.38	-1.203	-1.441	-2.326	0.466	0.424	0.133	-0.27	0.159	-1.095	0.203	0.158	-0.999	-1.765	-0.938	-1.835	-1.439	-0.835	-1.414	-1.046	-1.497	-0.447	-2.042	-1.465	-0.877
"YDR158W"	0.2	-0.482	-1.349	-1.008	-0.799	-1.356	-0.19	-3.546	-5.115	0.838	-0.654	-1.263	-1.689	-1.965	-1.881	-1.393	-0.996	-1.763	-3.109	-3.802	-4.509	0.193	1.239	0.497	-0.375	-0.2	0.253	-0.63	0.162	-1.297	-3.16	-2.786	-2.476	-2.774	-2.884	-3.011	-1.805	-1.752	-1.359	-1.966	-1.505	1.383
"YDR341C"	0.158	-0.658	-3.559	-2.27	-1.763	-1.574	-1.681	-3.212	-5.262	-0.356	-0.172	-2.587	-2.171	-2.134	-2.218	-2.942	-1.942	-2.263	-3.262	-3.294	-3.559	0.493	0.868	0.216	-0.355	-0.489	-1.562	-0.347	-0.094	-2.11	-1.625	-2.001	-1.796	-1.324	-2.179	-1.577	-2.272	-1.941	-1.169	-1.053	-0.49	-0.947
"YGL105W"	0.147	-0.997	-2.385	-1.577	-1.427	-1.362	-1.984	-3.587	-6.011	-0.129	-0.444	-1.482	-1.069	-1.68	-1.068	-2.334	-1.41	-1.635	-1.622	-1.876	-2.025	0.465	0.454	0.065	0.167	-0.324	-1.57	-1.05	0.512	-0.782	-1.422	-0.522	-1.063	-0.982	-0.995	-0.777	-2.406	-1.943	-1.688	-1.496	-1.032	-0.161
"YGR264C"	0.229	-1.489	-3.787	-2.696	-3.156	-2.945	-3.206	-5.206	-4.616	-0.844	-0.021	-3.505	-3.321	-2.811	-3.49	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	0.137	0.895	0.429	-0.542	-0.572	-2.468	-1.239	-0.247	-1.289	-2.725	-1.776	-2.271	-1.973	-2.386	-2.307	-2.673	-3.082	-1.962	-2.066	-1.015	-1.025
"YHR068W"	0.163	-1.125	-3.316	-2.566	-2.251	-3.015	-2.166	-4.28	-6.532	0.213	-0.346	-2.873	-2.52	-2.526	-1.119	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.024	1.041	0.348	-0.59	-0.428	-2.29	-1.585	0.726	-0.805	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	-2.467	-2.362	-1.8	-1.861	-0.522	0.544
"YHR193C"	0.033	-0.427	-1.48	-1.571	-1.548	-1.341	-1.99	-3.11	-4.166	-0.77	-0.182	-1.819	-1.491	-1.955	-1.2	-1.731	-1.494	-1.913	-1.778	-2.357	-2.845	0.213	0.537	0.107	0.457	-0.329	-1.764	-1.481	-0.262	-1.891	-3.042	-2.912	-1.961	-2.308	-2.597	-1.78	-1.013	-1.356	-1.017	-1.572	-1.099	-1.554
"YIL078W"	0.493	-1.288	-2.907	-2.075	-2.219	-2.498	-1.911	-5.192	-6.059	-0.565	-0.206	-2.282	-2.288	-2.5	-2.462	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.262	0.64	0.408	-0.033	-0.205	-2.348	-0.141	-0.534	-2.298	-1.711	-2.545	-2.032	-1.748	-2.175	-2.266	-1.937	-2.548	-1.189	-1.453	-2.253	0.047
"YJR069C"	0.0205	-0.664	-2.056	-1.976	-2.026	-2.741	-2.017	-3.527	-4.151	-0.159	-0.13	-1.806	-1.64	-1.696	-0.539	-1.021	-1.358	-1.09	-1.656	-1.806	-1.42	-0.1615	0.121	-0.259	0.152	0.12	-1.603	-2.428	0.528	-1.357	-1.083	-1.4	-1.737	-1.684	-0.586	-1.461	-1.181	-2.036	-1.662	-2.416	-0.836	-1.262
"YKL212W"	-0.004	-0.313	-1.431	-1.053	-0.845	-1.247	-1.079	-3.014	-4.806	-0.173	0.021	-1.409	-1.065	-1.651	-1.64	-1.923	-1.656	-1.598	-2.516	-2.929	-3.374	-0.082	0.839	0.312	-0.408	-0.365	-1.089	-1.158	-0.937	-1.416	-2.456	-1.815	-2.39	-2.691	-2.996	-2.506	-1.607	-1.481	-1.072	-1.839	-0.653	-0.481
"YLR060W"	0.105	-1.157	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-0.371	-0.682	-2.093	-1.988	-2.672	-2.566	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	0.05	1.127	0.255	-0.99	-0.724	-2.464	-0.874	-0.932	-3.103	-3.176	-3.593	-3.552	-3.204	-4.441	-3.498	-2.666	-2.996	-2.646	-3.346	-2.239	-0.706
"YLR335W"	0.52	-0.469	-1.25	-1.569	-1.666	-1.484	-1.723	-1.306	-3.177	-0.446	-0.313	-1.332	-1.29	-1.213	-1.345	-1.839	-1.429	-1.323	-1.448	-1.681	-2.238	0.771	0.354	0.409	0.143	0.386	-1.356	-1.523	0.327	-0.724	-1.384	-0.67	-1.429	-0.453	-1.076	-1.494	-1.415	-1.065	-0.713	-1.129	-0.035	-0.139
"YML008C"	0.52	-1.234	-2.795	-2.419	-0.545	-0.575	-2.236	-4.23	-4.829	0.098	-0.923	-1.558	-1.093	-1.94	-1.09	-3.526	-2.014	-3.366	-3.358	-5.162	-3.504	0.235	2.138	0.263	0.063	-0.07	-1.469	-0.465	0.347	-1.111	-1.493	-0.858	-1.798	-2.031	-2.323	-2.91	-2.808	-2.487	-2.113	-3.059	-1.059	0.547
"YML074C"	0.255	-0.67	-2.476	-2.119	-1.538	-0.951	-2.161	-2.837	-5.319	-0.549	-0.399	-1.258	-1.23	-1.664	-0.962	-1.88	-1.207	-1.673	-2.826	-3.214	-3.466	0.303	-0.03	0.072	0.07	0.12	-1.767	-0.486	-0.062	-1.532	-2.66	-2.535	-2.339	-2.042	-1.737	-1.862	-1.494	-1.274	-1.659	-1.561	-1.359	0.246
"YMR215W"	0.494	-1.0	-0.683	-1.425	-1.01	-3.881	-1.933	-3.705	-4.406	-0.641	-0.552	-1.896	-1.984	-2.601	-3.639	-1.783	-2.081	-3.365	-2.939	-2.956	-3.467	-1.419	0.297	0.343	-0.769	-0.691	-2.702	-1.584	-0.763	-1.689	-2.536	-2.977	-2.51	-2.217	-2.297	-2.632	-2.595	-2.789	-1.7	-3.226	-2.384	-0.256
"YMR229C"	0.489	-1.0025	-6.1495	-3.5335	-2.743	-2.443	-2.304	-4.4055	-5.288	-0.8895	-0.5745	-2.914	-2.1435	-2.161	-2.184	-4.826	-2.897	-2.0525	-3.7195	-3.685	-3.93	0.307	-0.304	0.179	-0.092	-0.7915	-1.93833333333333	-1.404	-0.4655	-2.946	-1.469	-3.153	-2.0955	-1.96	-3.225	-1.903	-2.548	-2.553	-2.0965	-1.7485	-1.8025	-0.8515
