	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"298.Tunicamycin vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"799.Heat Shock 005 minutes"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1172.pho80 mutant vs wild type"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7549.33C no sorbitol 5 min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"16338.DES460 vs. DES460 YPD log phase control"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34365.batch 02X25 6"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YBL064C"	3.38	3.764	3.794	2.215	0.5535	1.4155	3.768	4.454	4.288	2.874	-1.6365	-1.0915	1.93	-0.68	2.527	2.046	2.441	1.5305	3.372	3.751	4.025	3.988	3.559	3.497	3.051	2.167	2.713	2.825	2.387	4.107	3.753	4.115	4.422	1.057	0.729	3.796	3.437	0.268	2.303	0.714	1.774	-1.415	-1.488	-0.494	1.83	-0.058	0.148	-0.035	4.937	0.04	-0.189	0.125	4.277	3.768	3.992	3.838	4.371	4.314	3.589	4.618	3.274	3.211	0.871	0.871	0.853	0.16	0.119	0.159	3.589	4.302	3.609
"YBR026C"	1.631	2.326	2.554	1.708	0.4465	0.8085	2.178	2.688	2.577	0.642	0.1145	-0.2345	1.042	-0.374	1.759	2.0515	2.0335	1.679	1.573	2.537	2.286	2.624	2.933	2.684	1.784	1.308	1.873	1.707	1.322	2.1345	2.7165	2.379	2.4865	0.3225	-0.041	1.649	1.498	1.263	1.556	1.014	0.725	-0.212	0.256	0.145	0.85	0.38	0.235	-0.034	2.948	0.255	0.207	0.093	1.969	1.372	1.981	1.786	2.689	2.244	1.827	2.507	2.409	2.916	0.643	0.667	0.6	-0.316	-0.364	-0.331	2.84	3.377	3.223
"YBR053C"	2.641	2.944	2.786	2.173	0.31	1.028	2.642	3.221	3.327	0.526	-0.3565	-0.121	0.4995	-0.68	1.978	2.1625	2.456	1.7535	1.865	2.807	2.083	1.959	1.72	1.43	1.07	1.809	1.172	1.441	1.246	3.252	2.288	1.624	1.686	0.3075	0.298	1.524	1.491	0.831	1.529	0.518	0.27	-0.902	-0.921	-0.433	1.048	-0.2	0.269	-0.101	4.137	-0.12	0.375	0.092	2.189	2.828	2.588	1.948	3.16	3.009	2.267	1.742	2.51	2.683	0.08	0.223	0.311	0.28	0.222	0.319	2.494	2.751	2.266
"YBR056W"	2.581	2.937	2.9	1.627	0.8845	2.1425	2.582	3.141	3.008	0.571	-0.412	-0.6725	0.6915	-0.218	1.841	2.27	2.298	1.521	2.192	3.069	2.15	2.362	2.37	1.966	2.397	2.069	1.657	1.624	0.913	2.803	2.2835	2.196	2.418	0.606	-0.091	1.784	1.826	1.168	1.327	1.523	0.667	-1.34	-1.425	-0.888	1.564	0.463	0.223	-0.243	3.273	-0.335	0.242	0.17	2.537	2.113	1.943	2.19	2.66	1.785	1.357	1.642	2.977	3.53	0.957	0.781	0.816	-0.631	-0.713	-0.7	2.601	0.828	3.286
"YBR169C"	3.773	4.417	3.912	3.042	0.4195	1.297	3.511	4.74	4.912	0.071	-0.628	-0.667	1.3115	-0.371	3.083	2.897	3.7115	3.194	2.224	4.752	3.04	2.902	3.661	3.932	3.899	2.744	3.01	2.438	2.204	1.982	1.999	2.474	3.005	0.85	0.241	2.585	2.411	1.419	2.706	2.443	0.63	-1.499	-1.44	-0.921	1.869	0.686	0.504	-0.217	4.295	-0.314	-0.503	0.139	5.386	4.235	3.852	3.896	5.374	4.558	3.295	4.961	2.327	3.635	1.59	1.238	1.214	-1.329	-1.376	-1.343	2.422	2.587	2.682
"YBR230C"	3.818	3.52	3.132	2.275	0.071	0.404	3.122	3.534	3.545	1.015	-1.5805	-1.0455	1.5495	-0.521	2.196	2.7075	1.9365	0.8585	2.952	3.909	4.829	4.066	4.149	3.987	1.894	2.361	2.09	2.594	2.343	3.9215	3.331	3.341	3.5615	-0.1235	0.799	1.039	1.984	0.831	1.947	0.102	0.145	-0.724	-0.903	-0.661	1.338	0.386	0.641	0.006	3.751	-0.625	-0.321	0.018	2.284	3.455	4.448	3.661	4.138	4.11	4.81	4.233	2.334	3.492	0.689	-0.887	1.043	-0.213	-0.225	-0.027	3.066	2.735	2.414
"YCL035C"	2.346	1.948	2.433	1.628	0.2295	1.1745	2.207	2.921	3.144	1.459	-0.248	-0.104	0.717	-0.53	2.113	2.4825	2.5825	2.235	1.583	2.707	1.645	1.993	1.461	1.642	1.753	1.729	2.027	1.854	1.405	2.169	1.6865	2.0435	2.282	0.6025	0.122	2.719	1.938	1.243	1.538	0.779	1.019	-0.421	-0.399	-0.158	0.947	1.196	0.958	-0.042	4.054	-0.407	-0.14	0.021	2.121	3.397	2.618	1.824	3.763	2.721	1.986	1.942	2.805	2.679	0.858	0.864	0.676	0.132	0.189	0.078	2.207	3.375	2.616
"YDL021W"	2.474	3.424	3.324	2.9	-0.173	1.0325	3.148	3.494	3.332	1.394	-0.2895	-1.1095	0.7755	-1.199	2.199	2.589	3.047	2.4015	2.187	4.326	2.82	3.169	3.319	3.581	4.032	2.699	2.783	1.974	1.549	2.5845	2.6055	2.917	2.5455	-0.0775	0.231	2.123	1.755	0.83	1.973	0.516	0.22	-1.585	-2.03	-1.369	1.061	0.257	0.915	-0.358	4.177	-0.695	0.136	-0.063	3.206	2.73	2.54	1.909	3.793	2.345	2.246	2.342	2.37	1.52	0.233	0.789	0.764	-1.072	-0.765	-0.734	2.709	2.189	2.836
"YDL204W"	3.317	5.01	5.128	3.772	0.135	-0.263	3.877	4.936	4.887	1.47	-0.343	-2.506	2.402	-1.729	4.522	2.55	4.272	2.77	4.204	5.851	4.733	4.685	5.32	5.69	5.571	4.975	4.604	4.28	4.346	4.66	4.854	5.274	5.34	1.247	-1.053	4.234	3.477	1.84	4.945	2.488	0.924	-0.867	-1.464	-1.037	1.978	1.14	0.411	-0.047	5.38	-0.492	0.351	-0.317	3.876	5.526	4.943	4.367	5.864	4.642	3.788	4.76	2.928	3.424	0.79	0.48	0.807	-1.031	-1.265	-1.019	2.638	2.347	3.209
"YER079W"	3.045	2.635	2.488	1.653	-0.318	0.17	2.434	2.913	2.437	0.824	-0.682	-0.635	1.059	-0.257	1.527	2.663	2.567	1.607	1.986	4.036	3.925	3.354	3.195	3.349	2.322	3.24	3.069	2.862	2.649	3.75	2.737	2.759	2.969	0.164	-0.056	1.939	2.328	0.213	1.3	0.346	0.072	-0.933	-0.569	-0.303	1.388	0.509	0.044	0.527	2.762	-0.117	-0.526	-0.064	1.829	4.179	4.035	3.482	4.583	3.964	3.215	3.941	1.897	2.573	-0.751	-0.533	-0.17	0.291	0.426	0.405	3.079	3.293	2.657
