	"57.Elutriation2:Sample2:Time4.0hrs"	"115.heat shock 20 min repeat"	"497.Heat Shock 000 minutes"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"5239.DES460 (wt) - mock irradiation - 30 min"	"7760.Na 45min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"21628..24 mM H2O2- 105 minutes"	"21645..24 mM H2O2- 020 minutes"	"21650..24 mM H2O2- 040 minutes"	"21660..24 mM H2O2- 120 minutes"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28852.P2Comp 12 hr 22 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34348.wt_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38156.03II01 batch p12"	"42370.CC PU 3B Phosphate-Uracil Chemostat Comparison"	"42404.CC PU 2B Phosphate-Uracil Chemostat Comparison"
"YBL077W"	0.106	-1.205	0.6685	-0.094	-1.134	-1.3815	-3.41	-2.161	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	0.3355	-0.809	-2.792	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.677	-1.42	-0.38	-2.488	-2.2065	-2.3345	-2.1125	-0.37	-0.433	-0.293	NaN	-0.9025	0.0955	-1.388	-2.847	-2.93	-2.854	-2.752	0.24	-0.164	-1.229	-1.173	-0.687	0.661	0.448	0.145
"YBR048W"	0.681333333333333	-1.976	1.223	0.1525	-1.201	-0.841	-3.385	-2.4795	-2.2475	-3.0195	-5.0065	-3.0685	-3.137	-3.295	-3.375	0.706333333333333	-0.9535	-4.66033333333333	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.363	-1.4705	-0.5295	-2.61066666666667	-1.818	-2.09966666666667	-1.63966666666667	-0.850666666666667	0.279	-1.03366666666667	-0.501	-1.00975	0.6805	-1.3185	-4.043	-3.545	-4.089	-3.69	0.345	0.396	-2.346	-2.602	-2.386	1.027	-0.153	-0.447
"YBR089W"	0.0295	-2.052	0.926	0.314	-0.214	-0.758	-2.938	-1.454	-0.532	-3.547	-2.47	-2.078	-1.621	-1.638	-1.997	0.0115	-0.063	-2.9465	-1.348	-1.751	-2.8165	-3.093	-1.8535	0.464	-0.665	-0.123	-1.7985	-1.1085	-1.174	-1.29	0.11	0.625	-1.051	0.37	0.57	0.5315	0.942	-1.118	-2.327	-1.855	-2.51	-0.367	0.146	-0.688	-0.824	-1.206	0.534	-0.484	-0.392
"YBR121C"	0.1905	-1.742	0.801	0.101	-1.014	-1.129	-2.66	-1.84	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-0.0545	-0.276	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.299	-1.237	-0.065	-2.5385	-2.551	-2.637	-2.6705	-0.433	0.027	-0.3	-0.138	-0.9375	0.5205	-1.291	-2.549	-2.264	-2.22	-1.806	0.3	0.329	-0.947	-2.361	-1.351	1.008	0.13	0.042
"YBR189W"	0.4475	-2.064	1.308	0.291	-1.0835	-1.0885	-3.784	-3.224	-2.355	-2.065	-4.702	-3.071	-3.483	-2.334	-2.025	0.501	-1.196	-3.678	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.262	-2.021	0.034	-2.2145	-1.639	-1.756	-1.465	-1.1345	0.2605	-0.2335	-0.3745	-2.0405	-0.0865	-1.7665	-4.874	-3.763	-4.739	-3.572	-0.154	-0.074	-2.976	-3.586	-2.747	0.933	0.324	-0.2
"YDL003W"	-0.305	-1.407	0.3695	-0.079	-0.21	-0.893	-2.494	-2.13	-1.805	-2.029	-2.692	-1.32	-2.206	-1.632	-1.852	0.066	-0.477	-2.781	-1.7355	-1.89	-1.7805	-2.4395	-2.159	0.09	-0.407	0.223	-2.0855	-1.452	-1.357	-1.2505	-0.067	0.139	0.069	0.329	-0.814	0.39	-0.395	-2.147	-1.572	-2.422	-2.333	0.025	0.152	-0.668	-0.715	-0.933	0.343	-0.201	NaN
"YDR023W"	-0.071	-1.126	0.322	0.14	1.176	-0.725	-1.814	-2.122	-2.077	-2.907	-5.745	-1.288	-1.116	-1.813	-1.696	0.054	-0.384	-3.05	-1.553	-2.313	-3.056	-3.357	-3.85	-0.184	-1.7	0.883	-1.396	-1.983	-2.106	-1.812	-0.222	0.198	0.423	0.416	-0.612	0.639	0.672	-2.302	-1.458	-1.05	-1.66	0.154	0.043	-1.171	-2.322	-1.96	0.911	-0.44	-0.407
"YDR025W"	0.298	-2.141	0.692	-0.137	-1.0	-1.174	-3.904	-3.548	-2.705	-3.393	-6.697	-3.357	-3.356	-3.471	-3.326	0.188	-1.137	-4.504	-1.915	-2.886	-2.503	-2.895	-3.518	0.494	-1.767	-0.059	-2.193	-1.871	-1.974	-1.461	-0.7465	-0.0775	-0.853	-0.4555	-1.1035	0.647	-1.0005	-4.772	-3.127	-3.906	-3.552	0.346	0.352	-2.458	-3.528	-2.366	0.878	-0.116	-0.135
"YDR418W"	0.632	-1.94	1.215	0.345	-0.817	-1.358	-3.707	-3.13	-2.976	-3.074	-5.866	-3.315	-3.181	-2.797	-2.605	0.543	NaN	-4.449	-2.792	-2.82	-2.866	-3.091	-4.066	0.369	-2.07	-0.312	-2.678	-2.006	-2.291	-1.95	-0.978	-0.366	-1.08	-0.167	-2.252	1.811	0.981	-4.005	-2.423	-3.263	-3.057	0.296	0.218	-2.521	-3.519	-2.546	1.435	0.033	0.466
"YEL054C"	0.528	-2.095	1.093	0.466	-0.77	-1.431	-3.654	-2.711	-2.981	-2.98	-7.056	-3.039	-3.52	-3.003	-2.232	0.673	-1.373	-3.347	-2.777	-2.579	-2.504	-3.005	-3.554	0.416	-1.975	-0.255	-2.696	-1.977	-2.388	-2.342	-0.5215	0.4885	-0.3885	-0.001	-1.0095	0.476	-1.3265	-4.422	-2.487	-3.815	-2.936	0.407	0.419	-2.748	-3.7	-2.85	1.454	0.208	-0.19
