	"103.alpha factor release sample026"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"685.YP sucrose vs reference pool"	"686.YP ethanol vs reference pool"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"8204.steady state 29 dec C"	"8227.dtt 000 min"	"8234.dtt 240 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13066.Na/Na+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YBL077W"	0.346	-1.205	-1.238	-1.572	0.3395	-1.134	0.875	0.067	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-1.351	-2.763	-2.285	-2.607	-2.667	0.401	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	-0.031	0.0635	-0.0685	-0.095	0.22	0.663	-0.818	0.345	0.559	-1.547	0.376	0.524	0.18	0.178	0.364	0.21	0.045	0.364	0.3105	0.115	-2.847	-2.93	-1.236	-2.854	-2.752	-2.048	-1.678
"YBL092W"	0.277	-1.775	-1.913	-2.682	0.5825	-1.263	1.356	0.379	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-1.759	-3.0	-2.812	-2.665	-2.635	-0.264	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.183	0.487	0.097	0.0485	0.16	-0.167	0.866	-1.829	0.162	0.345	-1.555	0.33	0.504	0.048	0.001	0.162	0.252	0.12	-0.413	0.7345	0.092	-2.124	-2.013	-1.866	-2.599	-2.171	-2.311	-3.174
"YBL100C"	NaN	0.082	0.519	0.503	-0.548	0.587	0.44	-0.137	2.251	2.716	2.874	2.644	1.176	1.515	0.064	-2.14	1.201	0.906	1.628	0.784	1.184	0.1625	2.673	2.397	1.435	1.0975	1.242	0.7975	-0.186	0.14	0.187	0.057	-0.1595	0.435	-0.134	-0.184	1.08	0.054	0.015	0.776	0.017	-0.533	-0.719	-0.282	0.064	0.327	0.223	-0.374	-0.3515	0.211	1.997	2.585	2.447	1.342	2.587	2.71	1.667
"YBR048W"	0.165	-1.976	-1.916	-2.541	0.566666666666667	-1.201	2.449	0.447	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-2.0405	-3.0685	-3.137	-3.295	-3.375	0.315666666666667	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.0496666666666667	0.224	0.190666666666667	0.224666666666667	0.278	0.4805	0.9795	-1.878	0.487	0.142	-2.013	0.545	0.557333333333333	0.012	0.0853333333333333	0.00733333333333333	-0.00666666666666667	0.0686666666666667	0.278	0.9645	-0.118	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711
"YBR106W"	0.448	-1.108	-0.822	-1.077	0.6455	-0.828	0.076	0.516	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-1.944	-2.258	-2.173	-2.595	-2.731	0.206	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	0.284	0.066	0.0415	0.166	0.246	0.758	-0.294	0.634	0.484	-1.924	0.472	0.37	-0.075	-0.085	0.6	0.379	0.406	0.472	0.588	0.118	-3.114	-2.846	-1.897	-2.825	-2.779	-2.225	-1.35
"YBR191W"	0.227	-1.945	-2.052	-3.136	0.505	-0.917	1.992	0.509	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-1.619	-3.152	-3.411	-2.563	-2.467	0.515	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.029	0.16	0.1555	0.2375	0.359	0.696	1.239	-2.088	0.68	0.247	-1.3105	0.931	0.8265	0.299	0.44	0.479	0.3685	0.2245	0.7125	0.804	-0.1725	-3.687	-3.657	-2.538	-2.427	-3.266	-2.298	-2.872
"YCR034W"	0.386	-1.773	-1.028	-1.49	0.726	-0.4645	1.683	-0.07	-2.623	-1.309	-1.032	-0.877	-1.912	-1.771	-3.204	-4.331	-2.888	-2.664	-2.639	-1.895	-2.489	0.4235	-2.5505	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	0.263	0.206	0.2975	0.1785	-0.224	0.294	0.981	-0.61	0.34	0.028	-1.8	0.462	0.045	0.124	0.109	-0.138	0.231	0.148	0.161	0.475	0.06	-3.552	-2.544	-2.163	-3.478	-3.226	-1.806	-1.743
"YCR053W"	-0.022	-0.935	-0.807	-0.663	0.373	-1.076	1.305	-0.04	-2.562	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-4.283	-1.071	-1.206	-2.391	-1.41	-1.635	-5.0E-4	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.253	0.394	-0.025	-0.315	0.175	0.449	0.406	-0.771	-0.175	0.054	-1.451	-0.153	0.188	0.123	-0.013	-0.28	-0.06	-0.07	0.285	0.398	0.252	-2.722	-2.601	-1.4795	-2.7365	-2.51	-2.2205	-2.352
"YDL226C"	0.168	-0.41	-0.772	-0.669	0.27	-0.512	1.425	0.371	-1.086	-0.019	-1.076	-0.629	-1.617	-1.115	-1.635	-1.861	-1.0	-1.006	-1.361	-1.75	-1.638	0.028	-0.322	-0.358	-0.468	-0.38	-0.675	-0.772	-0.201	0.113	0.083	-0.173	0.134	-0.09	0.359	0.304	-0.465	0.119	-0.002	-1.662	-0.139	-0.169	0.028	-0.016	0.172	0.033	0.065	0.264	0.421	0.149	-1.972	-1.538	-1.793	-0.975	-1.157	-0.792	-1.155
"YDR025W"	0.296	-2.141	-2.0	-3.031	0.684	-1.0	2.153	0.334	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-1.997	-3.357	-3.356	-3.471	-3.326	0.191	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	0.181	0.198	-0.035	0.038	0.236	0.344	0.906	-2.304	0.298	0.059	-1.7675	0.7205	0.7575	0.2095	0.205	0.1065	-0.031	0.2575	0.228	1.094	-0.1195	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535
