	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"1254.mec1_plus_gamma_60_min"	"1257.mec1_plus_gamma_120_min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6377.constant 0.32 mM H2O2 (40 min) rescan"	"6668.wt - 0.1 mM H2O2 - 10 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"15728.Lycoming College - peroxide vs. control"	"18429.2mM MD 210min"	"21662..24 mM H2O2- 230 minutes"	"21665..24 mM H2O2- 020 minutes/redo"	"27097.P1Comp 11 hr 10 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"
"YBL028C"	-2.119	-2.979	-4.029	-4.375	-2.151	-1.776	-2.877	-3.969	-3.261	0.127	-1.907	1.059	-2.701	-1.217	-2.271	-2.02	-4.609	-2.637	0.1555	0.0075	0.2005	-0.764	-0.349	-0.231	0.219	-4.011	1.131	-1.6105	-0.591	0.074	1.0575	-1.695	-2.074	-1.658	-1.038	-2.225	-2.529
"YBR034C"	-3.771	-3.193	-3.203	-2.964	-2.277	-1.061	-2.426	-3.138	-3.33	-0.608	-0.948	1.307	-2.042	-1.136	-1.78	-1.388	-3.091	-1.338	-0.0175	-0.6565	-0.006	NaN	-0.343	-0.438	-0.7555	-3.638	-0.534	-1.584	-1.258	0.123	-0.9195	-0.698	-3.01	-2.626	-2.306	-1.707	-2.298
"YBR056W"	2.581	2.937	2.407	2.9	1.627	2.04	2.582	3.141	3.008	1.492	1.72	-1.433	1.293	1.458	1.974	2.192	3.069	1.46	-0.22	-0.1095	0.393	1.561	0.036	-0.243	1.1145	3.273	-0.406	0.3165	0.472	0.346	0.421	0.606	2.537	2.012	2.595	2.113	2.66
"YBR230C"	3.818	3.52	3.472	3.132	2.275	2.459	3.122	3.534	3.545	1.282	1.621	-1.673	1.337	2.475	2.736	2.952	3.909	1.695	-0.845	-0.15	-0.453	0.74	-0.024	0.006	1.5325	3.751	-0.263	0.782	-0.562	0.349	-0.218	1.665	2.284	1.482	2.939	3.455	4.138
"YCL059C"	-1.314	-3.484	-4.56	-4.242	-2.249	-2.109	-3.611	-4.218	-3.675	-1.158	-1.313	0.848	-1.901	-1.116	-2.587	-2.904	-4.786	-2.731	0.142	0.111	0.6285	-2.1915	-0.454	-0.442	0.138	-4.664	-1.698	-0.713	-0.154	-0.581	-0.831	-0.559	-2.908	-2.614	-4.103	-3.887	-4.436
"YDL153C"	-2.245	-4.549	-4.406	-4.333	-1.678	-1.723	-3.047	-4.369	-3.668	-1.37	-2.034	1.016	-2.643	-1.9	-2.992	-2.998	-3.698	-2.125	0.047	-0.083	0.417	NaN	-0.415	-0.473	-0.477	-4.079	0.747	-1.1945	-0.494	-0.1	-0.803	-1.232	-2.5	-2.189	-1.85	-1.022	-5.47
"YDL201W"	-2.767	-2.68	2.807	-2.05	-1.561	-1.327	-1.932	-2.515	-1.652	-1.153	-2.05	0.736	-2.201	-1.115	-1.494	-1.274	-3.282	-1.858	0.088	-0.079	0.388	NaN	-0.288	-0.027	-0.096	-2.398	-0.141	-1.057	0.11	0.791	-0.396	-0.381	-2.621	-1.767	-2.04	-2.098	-2.492
"YDR001C"	3.246	3.722	3.661	3.273	2.288	1.757	3.0	3.255	3.511	1.113	1.664	-1.809	1.006	1.469	1.935	1.985	3.121	1.691	-0.059	0.165	-0.212	0.3825	0.154	-0.446	0.871	3.574	0.354	1.4415	1.03	-0.078	0.305	1.644	3.999	3.377	3.286	2.067	3.563
"YDR087C"	-2.034	-3.126	-4.331	-4.143	-1.477	-1.747	-2.758	-3.643	-3.468	-1.344	-1.475	0.989	-1.886	-1.63	-2.287	-2.337	-4.139	-2.758	0.262	-0.055	0.587	-0.222	-0.232	-0.364	-0.371	-4.13	-0.194	-0.5	0.174	-0.287	-0.588	-1.316	-3.928	-2.942	-2.55	-2.338	-3.396
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-1.603	-1.053	-2.419	-2.874	-2.762	-1.164	-1.491	0.852	-1.9	-1.089	-2.006	-1.752	-4.096	-2.69	0.281	0.005	0.413	-0.599	-0.277	0.137	-0.535	-2.787	0.193	-0.235	0.174	0.0065	-0.721	-0.0245	-3.068	-1.809	-3.533	-2.479	-3.205
"YDR300C"	-1.677	-3.037	-2.814	-2.562	-1.16	-0.98	-1.889	-2.371	-2.279	-1.19	-1.342	0.918	-1.927	-0.883	-1.835	-1.611	-2.126	-1.781	0.19	0.149	0.322	NaN	-0.255	-0.286	-0.765	-2.771	-0.703	-0.951	0.014	0.794	0.849	-0.319	-2.039	0.272	-1.083	-2.23	-2.895
"YDR361C"	-2.014	-2.862	-3.79	-3.438	-1.872	-1.896	-3.115	-3.356	-3.263	-1.023	-1.402	1.083	-2.556	-1.141	-2.149	-2.256	-3.61	-2.237	0.306	-0.064	0.602	-1.0	-0.373	-0.289	0.517	-3.92	-1.953	-0.594	0.167	-0.744	0.42	-0.313	-2.614	-2.362	-3.229	-2.708	-3.998
"YDR413C"	-2.352	-2.496	-2.582	-2.392	-1.602	-1.529	-1.803	-2.779	-2.502	-0.889	-1.295	0.937	-1.652	-1.066	-1.765	-1.55	-2.622	-1.357	-0.072	-0.293	0.37	-1.53	-0.568	-0.371	-0.247	-2.652	-0.565	-0.963	-0.363	-0.257	-1.094	-0.471	-2.964	-1.766	-1.818	-1.835	-2.336
