	"90.cdc15 120 min"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1009.YPD 2 h (25C)"	"1686.YP raffinose vs reference pool"	"2559.29C to 33C - 5 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7760.Na 45min"	"7765.Na+FK 60min"	"8282.Gal induced MCM1 vs. Glucose"	"12744.heat shock 17 to 37, 20 minutes"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13062.wt/crz1 Ca 15min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13066.Na/Na+FK 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"13133.Ca/Ca+FK 30min (2)"	"15180.Ca 15min (2)"	"15183.Ca+FK 5min (3)"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28839.P2Comp 07 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"28840.P2Comp 07 hr 47 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"
"YBR230C"	0.829	2.081	3.818	3.52	3.472	3.132	3.122	3.534	3.545	2.475	2.736	2.952	2.762	3.909	1.695	2.09	0.2	1.2595	1.897	2.493	1.638	2.993	2.487	-1.913	3.751	-0.165	0.164	0.986	0.864	0.956	0.262	1.214	0.993	2.656	3.199	3.568	2.988	-0.268	-1.069	-1.332	-1.466	3.382	2.284	2.939	4.138
"YBR267W"	-0.635	-2.827	-2.82	-3.032	-2.733	-3.366	-2.585	-2.932	-3.102	-1.652	-2.116	-1.528	-1.295	-2.923	-2.682	-2.854	-0.18	-0.2325	-1.448	-1.549	-1.297	-2.118	-1.742	1.181	-4.409	0.135	0.252	-0.3	-0.278	-0.096	-0.441	0.14	0.632	-2.317	-2.062	-1.748	-1.753	-0.144	-0.046	0.534	0.725	-1.837	-2.571	-2.562	-3.123
"YCLX02C"	-0.5785	-2.258	-3.711	-4.024	-3.848	-3.119	-2.69	-3.872	-3.655	-2.364	-2.8	-2.263	-1.804	-4.118	-1.372	-2.734	-0.4635	-0.5545	-1.938	-2.243	-1.585	-2.282	-1.943	1.525	-4.225	-0.329	-0.011	-0.897	-0.979	-0.698	-0.787	-0.065	0.237	-2.752	-2.231	-2.752	-2.5195	-0.491	0.164	0.327	-0.302	-1.517	-2.679	-2.894	-3.541
"YDR398W"	-0.304	-2.112	-4.395	-5.035	-4.725	-4.358	-3.115	-4.082	-3.388	-2.086	-2.576	-1.783	-1.42	-4.143	-2.012	-3.069	0.05	-0.508	-1.791	-1.798	-1.501	-2.147	-2.006	0.751	-4.269	-0.119	-0.091	-0.889	-0.215	-0.364	0.846	-0.478	-0.063	-1.829	-3.011	-2.584	-2.002	0.383	0.447	-1.41	-0.61	-3.627	-4.76	-1.871	-3.061
"YGR079W"	0.349	-3.854	-3.894	-2.785	-4.644	-3.48	-2.556	-3.142	-2.355	-1.108	-1.334	-1.024	-0.864	-3.414	-1.323	-2.597	-0.124	-0.999	-1.461	-2.203	-1.173	-2.09	-1.993	0.545	-3.774	0.335	0.165	0.02	0.288	0.291	0.302	0.392	0.465	-0.874	-0.73	-2.688	-1.401	-0.0435	0.307	0.379	-0.1965	-3.859	-3.401	-1.94	-2.99
"YHR052W"	-0.228	-2.373	-3.848	-4.2445	-2.638	-3.5175	-3.5215	-4.3935	-3.9395	-1.274	-1.975	-1.663	-1.389	-4.199	-2.516	-2.565	-0.107	-0.266	-1.274	-2.447	-1.119	-2.621	-2.298	1.013	-4.9395	0.158	0.128	-0.854	-0.31	-0.441	0.277	-0.281	0.657	-2.126	-1.895	-1.849	-1.695	0.421	0.364	-0.778	1.327	-2.268	-2.827	-2.212	-3.47
"YHR066W"	NaN	-1.392	-2.6315	-3.7505	-3.058	-3.0515	-2.9815	-3.762	-3.552	-1.993	-2.473	-2.073	-1.432	-4.885	-2.29	-2.974	-0.274	-0.873	-1.702	-2.029	-1.419	-2.447	-2.346	0.132	-4.347	-0.231	-0.207	-1.076	-0.531	-0.545	0.118	-0.354	0.363	-2.504	-2.195	-1.998	-2.15	0.273	0.399	-0.13	-1.089	-2.551	-3.068	-2.219	-2.382
"YHR088W"	-0.268	-1.581	-2.3875	-5.1145	-5.3925	-4.6805	-3.058	-3.613	-2.3075	-2.104	-3.19	-2.738	-2.147	-5.002	-2.407	-1.499	-0.029	-0.319	-1.965	-1.129	-1.417	-3.561	-2.252	0.028	-3.3645	0.251	0.282	-0.811	-0.54	-0.57	-0.134	-0.299	0.433	-2.489	-1.036	-2.425	-3.581	0.201	0.231	0.591	-0.618	-2.592	-2.779	-1.48	-2.768
"YKL036C"	0.374	1.9065	2.475	2.7835	3.0415	2.617	2.4385	2.76	3.208	1.417	1.542	1.932	1.536	2.415	1.804	0.672	-0.1	0.253	1.875	1.774	1.223	2.048	2.055	-1.093	3.4625	-0.423	-0.312	0.138	-0.012	0.28	0.025	0.643	0.087	1.178	-1.227	2.123	2.151	-0.515	-0.165	-1.198	0.271	1.233	2.378	0.893	2.138
"YKL099C"	-0.088	-1.49	-2.757	-4.464	-4.014	-3.88	-2.796	-3.564	-3.037	-1.728	-2.672	-2.33	-1.846	-4.145	-2.489	-2.585	-0.283	0.267	-1.617	-1.766	-1.143	-2.597	-2.778	1.069	-3.926	0.41	0.511	-0.772	-0.571	-0.534	0.223	-0.092	0.734	-2.457	-1.111	-2.241	-2.269	-0.899	-0.49	1.113	0.439	-3.154	NaN	-2.722	-3.486
