	"406.heat shock 37 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"799.Heat Shock 005 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"978.wt_plus_gamma_20_min"	"979.wt_plus_gamma_30_min"	"980.wt_plus_gamma_45_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8282.Gal induced MCM1 vs. Glucose"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"42369.CC PU 3A Phosphate-Uracil Chemostat Comparison"	"42378.CC PU 2A Phosphate-Uracil Chemostat Comparison"	"42404.CC PU 2B Phosphate-Uracil Chemostat Comparison"
"YBR048W"	-0.12	1.223	1.0345	0.2275	-3.385	-2.4795	-2.171	-2.2475	-3.0195	-5.0065	-2.0405	-3.0685	-3.137	-3.295	-0.827333333333333	-0.792333333333333	-0.508	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-1.77033333333333	-0.114	0.190666666666667	-1.792	0.263	-2.013	-2.61066666666667	-1.818	-2.09966666666667	-1.63966666666667	-0.422666666666667	0.528	0.661	-0.447
"YBR121C"	0.43	0.801	0.701	-0.041	-2.66	-1.84	-1.543	-2.714	-4.037	-5.791	-1.694	-2.317	-1.95	-2.366	-0.654	-0.7395	-0.6155	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.7465	-0.234	-0.1215	-1.272	0.084	-2.249	-2.5385	-2.551	-2.637	-2.6705	-0.423	-0.022	-0.085	0.042
"YDR341C"	0.543	0.688	0.703	0.075	-3.559	-2.27	-1.763	-1.681	-3.212	-5.262	-1.535	-2.587	-2.171	-2.134	-1.163	-0.778	-0.281	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	-0.68	-0.371	0.1	-1.411	-0.298	-1.562	-1.663	-1.444	-1.45	-1.573	0.167	0.097	-0.398	-0.116
"YDR418W"	1.032	1.215	1.21	0.485	-3.707	-3.13	-2.237	-2.976	-3.074	-5.866	-1.601	-3.315	-3.181	-2.797	-1.029	-0.731	-0.41	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	-1.417	-0.127	0.253	-1.816	-0.173	-2.345	-2.678	-2.006	-2.291	-1.95	0.059	-0.116	-0.227	0.466
"YEL054C"	0.478	1.093	1.203	0.45	-3.654	-2.711	-1.871	-2.981	-2.98	-7.056	-1.881	-3.039	-3.52	-3.003	-0.675	-0.881	-0.552	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	-1.415	-0.077	0.091	-1.753	0.156	-2.202	-2.696	-1.977	-2.388	-2.342	0.2665	0.159	0.538	-0.19
"YER043C"	-0.057	1.109	0.891	0.069	-3.945	-1.445	-2.553	-3.397	-4.78	-6.476	-1.223	-2.364	-1.977	-3.096	-0.546	-0.305	-0.119	-3.583	-2.272	-3.174	-3.716	-3.31	-4.857	-4.918	-0.803	-0.14	-0.103	-1.272	0.257	-1.415	-2.015	-2.503	-2.487	-2.96	-0.236	-0.091	-0.473	0.623
"YER086W"	0.712	0.938	0.899	0.355	-3.714	-1.791	-1.076	-1.424	-3.61	-5.173	-2.148	-2.869	-2.152	-2.311	-0.35	-0.192	0.193	-2.719	-1.373	-1.847	-1.837	-2.624	-2.882	-3.77	-1.082	-0.355	0.09	-1.645	0.218	-0.886	-1.525	-1.165	-1.551	-1.269	-0.144	-0.277	0.274	0.078
"YER090W"	0.512	0.672	0.427	0.015	-2.556	-1.619	-1.299	-1.173	-3.804	-5.004	-1.499	-2.439	-2.138	-1.889	-0.44	-0.171	0.334	-1.857	-0.616	-1.078	-1.311	-2.327	-2.585	-3.495	-0.489	-0.037	-0.122	-0.808	0.281	-0.819	-1.379	-1.614	-1.388	-1.713	0.452	0.006	-0.397	-0.073
"YGL135W"	0.804	1.167	1.101	0.303	-3.221	-2.573	-2.548	-2.942	-3.418	-5.687	-1.34	-3.217	-3.23	-3.119	-0.828	-0.585	-0.328	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-1.769	-0.56	-0.045	-2.11	0.199	-2.233	-2.732	-2.176	-2.219	-1.731	-0.014	-0.06	0.065	0.197
"YGL147C"	0.598	1.427	1.186	0.226	-3.892	-3.111	-3.389	-3.896	-3.921	-7.507	-1.716	-3.0	-3.753	-3.466	-1.16	-0.996	-0.768	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	-1.835	-0.027	0.326	-2.02	0.661	-2.532	-2.765	-2.078	-2.239	-1.912	-0.278	0.0855	0.181	-0.251
"YGR185C"	0.289	0.667	0.691	0.148	-3.192	-1.697	-1.31	-2.168	-5.306	-6.361	-1.312	-1.442	-1.736	-2.6	-0.79	-0.709	-0.387	-2.754	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	-0.37	0.056	0.181	-0.9955	0.6	-2.438	-2.21	-2.316	-2.459	-2.363	0.016	0.387	0.337	-0.193
"YGR285C"	0.506	1.014	0.764	0.235	-3.959	-2.444	-1.794	-1.67	-4.078	-6.1	-0.348	-1.648	-1.332	-1.877	-0.743	-0.349	-0.196	-3.556	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	-0.812	0.071	0.15	-1.4295	1.258	-2.068	-2.035	-2.466	-2.483	-3.514	0.102	-0.23	-0.24	0.175
"YHR019C"	0.4945	1.111	0.875	0.271	-2.949	-1.631	-1.467	-2.048	-4.051	-5.077	-1.424	-3.299	-2.825	-2.664	-0.362	-0.614	-0.356	-2.07	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	-1.118	-0.557	0.071	-1.678	0.284	-1.834	-2.505	-2.098	-2.32	-2.222	0.143	0.043	0.006	0.307
"YHR064C"	-0.0505	0.709	0.778	0.086	-4.543	-2.196	-1.668	-1.712	-3.329	-5.238	-1.647	-3.074	-2.229	-2.559	-0.905	-0.784	-0.401	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-1.096	-0.169	-0.069	-1.7365	0.027	-2.056	-2.303	-1.252	-2.419	-2.332	-0.342	-0.677	-0.287	0.499
"YHR068W"	-0.4605	0.968	0.941	0.108	-3.316	-2.566	-2.251	-2.166	-4.28	-6.532	-1.698	-2.873	-2.52	-2.526	-0.85	-0.676	-0.564	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-0.78	-0.473	0.241	-1.4595	-0.158	-2.29	-2.522	-2.438	-2.761	-2.475	-0.446	0.486	0.669	-0.228
"YHR128W"	0.421	1.092	0.833	0.027	-4.359	-3.335	-3.111	-3.742	-4.967	-6.006	-2.386	-3.351	-3.988	-3.361	-1.378	-1.017	-0.945	-2.2	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	-0.818	0.292	0.062	-1.107	-0.085	-1.769	-0.906	-1.381	-1.596	-1.45	-0.206	0.72	0.675	0.404
"YIL133C"	-0.475	1.02	0.983	0.085	-3.333	-3.196	-2.331	-2.883	-2.693	-5.79	-1.773	-2.93	-2.571	-2.194	-1.137	-0.885	-0.677	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-1.592	-0.643	0.235	-1.6925	0.145	-2.13	-1.869	-1.755	-1.812	-1.547	-0.044	0.368	0.187	-0.021
"YLR060W"	0.419	0.836	0.614	0.28	-3.165	-2.617	-2.296	-2.849	-4.941	-5.967	-1.197	-2.093	-1.988	-2.672	-0.627	-0.327	-0.126	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.471	-0.019	-0.212	-0.708	0.115	-2.464	-1.72	-1.77	-1.452	-2.018	-0.724	0.504	0.598	-0.576
"YLR448W"	-0.478	1.062	0.837	0.166	-4.815	-3.882	-3.083	-2.688	-3.552	-5.971	-1.842	-3.425	-3.454	-3.179	-0.98	-0.672	-0.41	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	-1.19	-0.189	0.011	-1.725	0.181	-2.337	-2.386	-1.783	-1.497	-1.449	0.506	0.42	0.361	0.159
"YMR235C"	0.274	0.788	0.731	0.049	-1.54	-1.45	-1.493	-1.785	-3.534	-5.187	-0.945	-1.622	-1.883	-1.879	-0.101	0.167	-0.03	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	-0.512	-0.04	0.196	-1.014	0.761	-1.782	-1.955	-1.504	-1.586	-1.878	0.206	0.194	0.262	-0.057
"YPL273W"	-0.287	0.8235	0.772	-0.0686666666666667	-3.42133333333333	-2.60833333333333	-2.59566666666667	-2.96466666666667	-3.722	-5.69966666666667	-2.034	-2.94366666666667	-2.86466666666667	-2.69266666666667	-0.7465	-0.8675	-0.409	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-1.2085	-0.2485	0.0235	-1.632	-0.037	-2.628	-1.821	-2.3675	-2.6985	-2.601	0.0	-0.221	-0.035	0.385
"YPR033C"	0.372	0.789	0.6725	0.047	-2.7945	-1.8465	-1.908	-2.142	-4.8805	-7.94	-1.804	-2.32	-2.0735	-2.759	-0.657	-0.635	-0.279	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.384	-0.099	0.015	-1.174	0.101	-2.107	-2.213	-2.318	-2.374	-2.285	-0.256	-0.151333333333333	0.003	1.03466666666667
