	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"811.DES459 (mec1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7536.25C -- 30 min"	"8233.dtt 120 min"	"8282.Gal induced MCM1 vs. Glucose"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21631..24 mM H2O2- 190 minutes"	"21659..24 mM H2O2- 077 minutes"	"33779.delYPL230w_stationary_phase_5hours"	"40952.H2O2_II_56_min"
"YBL027W"	-2.395	-1.979	-1.98	-1.956	-2.978	-3.487	1.4805	1.274	-2.0365	-1.427	-2.851	-2.474	-2.081	-2.671	-5.577	-1.996	-2.494	-2.654	-0.031	-0.377	-0.637	0.194	-0.618	-3.9845	-1.9755	-2.0465	0.325	-0.007	0.074	1.029	-0.71	0.909	0.1225	0.616	-3.078	-0.3545	0.0875	-1.8425	-3.351	-1.0425
"YBL072C"	-1.8	-2.148	-1.686	-1.74	-2.905	-3.46	1.4025	1.377	-2.843	-1.122	-3.835	-3.367	-3.036	-3.192	-6.241	-2.22	-3.06	-3.401	-0.106	-0.053	-0.212	-0.083	-1.031	-4.1825	-2.074	-2.5865	1.108	0.611	0.31	1.029	-0.56	0.315	0.2455	0.251	-2.881	-0.802	0.442	-1.464	-1.857	-2.127
"YBL092W"	-1.265	-1.775	-1.757	-1.913	-2.682	-2.829	1.0255	0.97	-2.671	-0.808	-3.458	-3.598	-2.824	-2.896	-5.158	-2.688	-3.0	-2.812	0.474	0.107	-0.66	0.006	-0.517	-3.5865	-2.2215	-2.4445	0.798	0.097	0.16	1.226	-0.485	0.26	-0.1395	-0.205	-2.927	-0.858	0.196	-1.317	-2.599	-1.304
"YBR025C"	-0.009	-0.382	-0.654	-0.039	0.022	-0.297	0.6355	0.528	-0.195	-0.586	-1.923	-1.884	-1.473	-1.66	-5.106	-1.751	-2.15	-1.648	-0.062	-0.342	-0.442	-0.529	-0.954	-2.6785	-0.8525	-0.66	-0.6225	-0.1385	0.053	0.197	-0.616	0.063	0.179	0.114	-0.165	-0.663	-0.265	-1.495	-1.335	-1.414
"YBR247C"	-4.052	-3.103	-1.515	-2.541	-3.015	-3.19	0.982	0.856	-1.4775	-2.142	-3.42	-2.12	-1.692	-2.212	-3.969	-2.429	-3.12	-1.618	-0.911	-0.428	-0.685	-0.632	-0.913	-3.3455	-2.0405	-1.689	-0.003	0.076	-0.108	1.142	-1.311	0.988	0.1025	0.397	-2.961	-0.546	-0.462	-0.916	-1.576	-1.0
"YBR266C"	-3.764	-3.869	-1.732	-2.532	-1.817	-3.376	1.2035	1.229	-1.9715	-1.555	-3.053	-2.042	-2.021	-2.463	-4.633	-2.41	-2.698	-1.515	-0.628	-0.904	-0.441	-0.646	-0.346	-1.6715	-1.345	-1.0935	0.631	0.008	-0.215	1.006	-1.415	1.424	0.1405	-0.202	-4.774	-1.172	-0.567	-1.425	-3.048	-2.11
"YCR031C"	-1.023	-1.797	-0.936	-1.396	-2.317	-2.308	0.811	0.936	-1.467	-0.906	-2.698	-2.025	-2.569	-3.359	-5.91	-2.086	-2.838	-3.14	-0.786	-0.839	-1.18	-0.841	-0.622	-2.4815	-1.9235	-1.408	-0.139	0.083	0.151	0.186	-0.785	0.576	0.0155	0.151	-1.919	-0.5885	0.2255	-1.6855	-3.229	-1.1985
"YDL062W"	-3.223	-2.714	-1.458	-2.741	-3.056	-2.043	0.75	0.109	-2.494	-1.498	-2.463	-1.977	-1.768	-2.106	-2.509	-1.33	-1.918	-1.869	-0.708	-0.726	-0.752	-0.637	-0.687	-1.915	-2.153	-1.663	-0.23	0.026	-0.356	0.364	-1.122	0.412	0.042	0.322	-3.168	-0.395	-0.453	-1.234	-2.908	-2.494
"YDL063C"	-3.209	-3.024	-2.433	-2.945	-2.864	-2.304	0.263	1.0	-2.076	-2.974	0.085	-2.723	-3.169	-1.564	-3.701	-2.057	-0.719	-0.923	-0.598	-0.362	-0.863	-0.669	-0.57	-2.168	-1.871	-1.876	-0.061	-0.15	-0.129	0.467	-1.184	0.575	-0.145	0.044	-3.467	-0.282	-0.788	-1.898	-3.127	-2.986
"YDL082W"	-1.994	-1.806	-1.479	-2.339	-3.052	-2.521	0.763	1.092	-2.569	-0.943	-3.223	-2.484	-2.853	-3.326	-5.816	-2.246	-2.537	-3.01	-0.145	-0.457	-0.465	0.147	-0.848	-2.915	-1.919	-2.182	0.344	0.063	0.34	1.332	-1.159	0.294	0.167	0.447	-3.338	-0.3835	0.139	-1.8905	-4.518	-1.602
"YDL148C"	-4.262	-3.284	-1.419	-2.868	-3.476	-2.829	0.984	0.896	-1.64	-2.396	-3.372	-1.757	-1.734	-2.269	-4.257	-2.115	-2.168	-2.141	-0.555	-0.698	-0.438	-0.831	-0.52	-4.282	-1.828	-2.139	0.491	0.234	-0.092	1.033	-1.596	1.441	0.598	0.052	-3.488	-0.959	-0.493	-2.252	0.058	-2.849
"YDL152W"	-3.304	-2.782	-1.548	-2.848	-3.132	-2.053	0.585	0.507	-2.039	-1.128	-1.821	-0.931	-0.904	0.061	-1.476	-0.497	-1.091	-1.017	-0.307	-0.552	-0.316	-0.545	-0.707	-2.301	-1.419	-1.227	0.437	0.237	-0.273	0.49	-0.876	0.978	0.262	-0.109	-3.422	-0.962	-0.698	-1.276	-3.722	-1.951
"YDL191W"	-1.605	-1.918	-1.434	-1.445	-2.102	-2.434	0.553	0.722	-2.056	-0.963	-1.985	-2.367	-2.75	-2.737	-5.192	-1.704	-2.911	-2.813	-0.174	-0.308	-0.611	-0.455	-0.246	-3.616	-2.354	-2.077	0.13	0.158	0.194	0.847	-0.562	0.842	0.052	0.032	-1.898	-0.835	0.2625	-2.0385	-3.234	-1.181
"YDR025W"	-1.598	-2.141	-1.495	-2.0	-3.031	-3.248	0.692	1.014	-2.011	-1.174	-3.904	-3.548	-3.252	-3.393	-6.697	-2.477	-3.357	-3.356	0.205	0.09	-0.225	-0.269	-0.7	-4.504	-2.828	-2.886	0.645	-0.035	0.236	0.903	-0.766	-0.188	-0.451	-0.2535	-3.042	-0.7465	-0.0015	-2.2965	-3.906	-1.7015
"YDR120C"	-3.186	-2.84	-1.943	-2.699	-2.817	-2.359	1.226	1.101	-2.163	-2.144	-2.742	-1.641	-1.333	-1.298	-3.115	-2.604	-2.891	-1.781	-0.041	-0.425	-0.506	-0.249	-0.99	-2.023	-1.211	-1.169	0.437	0.056	-0.397	1.178	-1.372	0.537	-0.179	-0.159	-2.159	-1.122	-0.984	-2.261	-2.616	-3.766
