	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7760.Na 45min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12744.heat shock 17 to 37, 20 minutes"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"33779.delYPL230w_stationary_phase_5hours"
"YAL034C"	1.672	-0.392	1.322	1.886	1.874	0.044	-0.161	0.1205	-0.661	0.763	0.483	0.291	3.837	3.106	2.678	3.425	1.428	0.567	2.055	2.391	0.136	0.009	-0.0675	0.029	-0.1195	0.073	0.399	0.432	1.533	0.874	0.536	-0.124	-0.485	-0.193	-0.367	2.202	0.028	2.944
"YAR075W"	-1.707	-0.985	-1.716	-2.776	-3.067	-0.361	-1.519	-1.615	-1.462	-1.586	-1.243	-0.76	-1.345	-2.675	-2.824	-4.482	-4.212	-1.899	-2.65	-3.123	0.127	-0.355	-0.349	-0.716	-0.703	-0.554	-0.139	-0.24	-1.83	-1.775	-1.718	-0.746	-0.347	-0.313	-0.057	-3.212	-0.2	-2.695
"YBL027W"	-2.395	-1.979	-1.956	-2.978	-3.487	-0.071	-1.67	-2.0365	-1.4655	-0.888	-1.011	-0.65	-2.851	-2.474	-2.081	-2.671	-5.577	-1.996	-2.494	-2.654	-0.276	-0.007	0.3635	-0.4265	-0.5065	-0.4505	0.245	0.241	-1.345	-1.419	-1.848	-0.637	-0.178	-0.172	-0.173	-3.078	-0.1555	-3.351
"YBL028C"	-2.979	-4.375	-2.877	-3.969	-3.261	NaN	-1.278	-2.4775	-1.646	-2.02	-1.487	-0.969	-4.609	-3.234	-2.754	-2.828	-4.867	-2.637	-3.002	-2.268	-0.069	0.0295	-0.0725	-1.0555	-1.1665	-1.2335	-0.349	-0.471	-2.667	-2.532	-2.658	-1.336	-0.571	-0.397	-0.216	-4.011	-0.077	-2.529
"YBR006W"	3.271	3.024	2.678	2.804	2.048	0.601	1.142	0.0565	1.196	2.022	1.624	1.612	3.576	3.209	3.416	1.958	1.1	2.464	2.034	2.603	0.657	0.2595	0.541	0.8505	1.2955	1.3495	0.075	0.179	2.148	2.017	1.896	1.3075	0.296	0.146	0.389	2.587	0.039	2.608
"YCL053C"	-2.892	-2.571	-2.61	-3.477	-3.061	-0.238	-1.06	-1.365	-1.326	-1.822	-1.478	-1.163	-4.013	-2.459	-1.834	-2.481	-4.22	-2.871	-2.694	-1.782	-0.222	-0.1325	-0.095	-0.825	-0.99	-0.9825	-0.443	-0.44	-1.829	-1.584	-1.503	-1.0555	-0.35	-0.531	-0.444	-3.2	-0.432	-1.866
"YCL054W"	-3.545	-2.942	-2.871	-3.741	-3.668	-0.45	-1.011	-1.8665	-1.1255	-1.974	-1.659	-1.3	-3.386	-2.092	-2.133	-3.059	-2.063	-2.044	-2.121	-2.124	-0.203	0.121	0.1035	-1.061	-1.1805	-1.155	-0.207	0.187	-1.884	-1.505	-1.54	-1.226	-0.224	-0.249	-0.345	-4.039	0.24	-3.761
"YCL059C"	-3.484	-4.242	-3.611	-4.218	-3.675	-0.258	-1.813	-2.7855	-2.181	-2.904	-2.397	-1.424	-4.786	-2.115	-1.94	-2.558	-5.277	-2.731	-2.27	-1.67	-0.288	0.0035	-0.153	-1.1365	-1.092	-0.967	-0.454	-0.641	-2.524	-2.387	-3.161	-0.9875	0.193	-0.337	0.082	-4.664	0.203	-4.436
"YCR055C"	-4.1	-3.895	-3.121	-3.998	-3.454	-0.261	-0.915	-1.724	-0.77	-2.786	-1.986	-1.367	-6.518	-3.193	-3.059	-3.878	-6.433	-3.38	-3.796	-3.655	-0.051	0.0415	0.0575	-0.941	-0.9665	-1.3295	-0.104	-0.067	-2.904	-1.969	-2.123	-1.157	-0.408	-0.387	-0.166	-4.055	0.228	NaN
"YCR057C"	-3.139	-3.435	-2.848	-2.984	-2.951	-0.399	-0.847	-1.6635	-0.692	-2.527	-2.059	-1.475	-5.726	-3.143	-3.143	-3.423	-5.109	-3.064	-2.464	-2.855	-0.017	0.0055	-0.1685	-0.8905	-0.919	-1.4045	-0.01	0.027	-2.77	-1.274	-1.82	-1.0645	-0.491	-0.406	-0.167	-3.831	-0.076	-2.95133333333333
