	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1018.YPD 13 d (25C)"
"YAL038W"	0.253	-6.086	-1.42	-3.2025
"YBL027W"	1.77	-5.577	-1.9795	-3.148
"YBL039C"	0.819	-7.004	-3.7495	-3.5775
"YBR011C"	1.264	-5.344	-2.3835	-3.4585
"YBR025C"	0.898	-5.106	-2.141	-3.783
"YBR049C"	0.632	-2.667	-1.4785	-1.4735
"YBR073W"	0.08	-2.523	-1.6215	-2.3205
"YBR074W"	0.449	-2.307	-0.5095	-1.1755
"YBR079C"	1.626	-4.79	-1.965	-2.7575
"YBR118W"	0.675	-5.272	-1.7525	-3.221
"YBR156C"	0.3115	-3.3335	-1.25133333333333	-1.692
"YBR170C"	-0.064	-2.189	-0.271	-0.8935
"YBR172C"	0.494	-3.593	-1.176	-1.648
"YBR189W"	1.645	-4.702	-1.9305	-2.9475
"YBR283C"	1.02	-3.351	-1.68	-2.0585
"YCR002C"	0.596	-5.182	-2.564	-2.7005
"YCR077C"	0.699	-3.921	-0.823	-1.0175
"YDL051W"	0.619	-3.563	-1.557	-2.819
"YDL084W"	0.851	-4.827	-1.626	-2.373
"YDL195W"	-0.173	-4.61	-2.271	-2.391
"YDR025W"	2.153	-6.697	-2.503	-3.518
"YDR158W"	1.798	-5.115	-3.109	-4.509
"YDR209C"	-0.187	-5.369	-1.769	-2.151
"YDR233C"	0.9	-3.48	-2.047	-2.451
"YDR371W"	0.548	-3.307	-0.704	-1.65
"YDR382W"	2.393	-5.686	-2.565	-3.471
"YDR422C"	0.249	-3.118	-0.132	-0.92
"YDR498C"	0.407	-2.741	0.209	-1.086
"YEL054C"	2.108	-7.056	-2.504	-3.554
"YER025W"	0.974	-4.542	-1.728	-2.385
"YER031C"	0.682	-4.144	-0.886	-1.955
"YER043C"	1.283	-6.476	-3.31	-4.918
"YER055C"	0.963	-5.075	-1.279	-2.707
"YER0561C"	2.023	-4.828	-2.398	-3.617
"YER056C"	-0.541	-3.168	-1.712	-2.211
"YER057C"	0.314	-4.084	-0.301	-1.275
"YER086W"	1.074	-5.173	-2.624	-3.77
"YER117W"	1.9	-5.642	-2.312	-2.976
"YER136W"	-0.106	-3.262	-0.287	-1.4
"YFL001W"	0.2375	-3.684	-0.5555	-1.2565
"YFL002C"	0.125	-4.836	-1.171	-2.131
"YFL039C"	0.461	-3.733	-1.583	-2.764
"YFL045C"	0.546	-4.897	-1.923	-2.378
"YGL016W"	0.819	-4.265	-2.599	-2.639
"YGL026C"	1.016	-4.669	-1.868	-2.636
"YGL049C"	0.801	-4.12	-1.692	-2.23
"YGL060W"	0.568	-3.155	-1.433	-1.742
"YGL065C"	-0.077	-2.778	-1.365	-2.045
"YGL076C"	2.346	-5.667	-2.836	-3.782
"YGL103W"	1.619	-5.266	-1.308	-2.438
"YGL115W"	0.603	-3.416	-1.21	-1.566
"YGL123W"	2.601	-5.982	-2.388	-3.558
"YGL135W"	1.922	-5.687	-2.267	-3.825
"YGL201C"	0.406	-2.46	-0.833	-1.548
"YGL238W"	0.876	-4.337	-1.654	-2.674
"YGL245W"	1.549	-6.655	-3.552	-4.779
"YGR054W"	1.523	-4.535	-2.051	-2.163
"YGR120C"	0.492	-4.938	-0.651	-1.148
"YGR135W"	0.123	-4.32	-1.689	-1.935
"YGR272C"	0.734	-3.376	-2.035	-1.898
"YHR019C"	1.822	-5.077	-3.117	-4.387
"YHR068W"	1.075	-6.532	-2.724	-3.425
"YHR121W"	0.392	-4.718	-1.573	-1.852
"YHR193C"	1.273	-4.166	-1.778	-2.845
"YHR201C"	0.056	-4.155	-1.103	-2.134
"YHR216W"	0.542	-4.943	-2.237	-2.913
"YIL094C"	1.839	-5.071	-1.45	-1.766
"YIL095W"	0.543	-2.7495	-0.978	-1.229
"YIL133C"	2.261	-5.79	-2.615	-3.393
"YIL148W"	1.138	-3.41	-0.901	-2.118
"YIR004W"	0.219	-1.697	-0.702	-1.035
"YJL111W"	0.863	-6.57	-1.573	-2.239
"YJL138C"	1.129	-5.625	-2.542	-3.522
"YJL162C"	-0.251	-1.655	-0.055	-0.755
"YJL167W"	0.273	-7.538	-2.066	-2.924
"YJL180C"	0.21	-3.244	-0.751	-1.462
"YJL183W"	0.649	-4.986	-1.66	-2.121
"YJR003C"	0.5	-3.457	-2.176	-2.42
"YJR006W"	0.416	-3.835	-1.436	-1.692
"YJR007W"	0.955	-8.057	-2.909	-3.616
"YJR041C"	0.35	-4.286	-2.965	-2.952
"YJR047C"	0.706	-3.054	-0.66	-2.504
"YJR064W"	0.842	-4.297	-1.961	-2.57
"YJR080C"	-0.051	-4.219	-0.585	-1.325
"YKL006W"	2.36	-5.113	-1.939	-2.843
"YKL024C"	-0.186	-5.4	-0.542	-1.798
"YKL056C"	0.872	-5.119	-2.754	-3.483
"YKL122C"	-0.062	-4.576	-2.178	-2.706
"YKL144C"	0.082	-4.032	-1.757	-1.515
"YKL145W"	0.449	-3.898	-0.904	-1.832
"YKL154W"	0.211	-3.89	-1.765	-2.222
"YKR026C"	0.771	-3.755	-1.858	-2.231
"YKR056W"	0.284	-4.34	-2.627	-3.544
"YKR084C"	0.308	-3.0	-1.177	-1.971
"YKR088C"	0.092	-2.175	-0.652	-1.027
"YLL008W"	0.934	-6.113	-2.386	-2.92
"YLL035W"	-0.523	-3.138	-1.67	-1.979
"YLR009W"	0.816	-5.388	-2.555	-2.799
"YLR061W"	1.21	-6.591	-3.309	-3.91
"YLR153C"	0.895	-5.598	-3.578	-3.394
"YLR166C"	-0.329	-1.802	-0.97	-1.435
"YLR185W"	1.932	-5.928	-2.015	-3.065
"YLR210W"	0.33	-4.137	-1.551	-1.71
"YLR222C"	0.505	-4.745	-3.081	-3.119
"YLR292C"	-0.623	-3.717	-1.388	-1.71
"YLR314C"	0.929	-5.585	-2.906	-3.937
"YLR378C"	-0.023	-4.082	-1.013	-1.68
"YLR388W"	1.261	-5.506	-2.232	-3.193
"YLR412W"	0.338	-4.156	-0.959	-2.231
