	"37.alpha factor release sample018"	"103.alpha factor release sample026"	"685.YP sucrose vs reference pool"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1173.PHO4c vs. wild type"	"1673.alpha factor release sample021"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"7540.pRS-ROX1 GAL media"	"8235.dtt 480 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"12368.Muhlenberg College Bio550: wt /fus3 mutant"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"38146.03II01 batch p2"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"
"YBL048W"	-0.1855	0.0	0.0835	-0.381	2.166	2.762	2.869	1.891	2.039	1.089	2.3225	2.101	2.7535	3.8365	3.63	2.8605	-0.075	-0.368	-0.138	-0.175	-0.015	0.204	0.201	0.278	0.084	3.344	0.651	1.93	2.317	1.999	2.107	0.2	0.14	1.386	1.4395	1.553	1.2415	1.5475	1.375	2.434	0.241	0.746	-0.2985	0.5785	-0.085	4.15	3.018	4.89	4.794	4.99	4.039	4.307	4.409	4.746	2.786	2.12	2.433	1.186	3.046	0.264	-1.002	0.628
"YBL049W"	-0.539	0.0	-0.2205	0.12	3.632	4.812	4.254	3.391	3.401	3.138	3.3385	2.9925	3.8385	4.9405	5.2455	4.1525	0.047	-0.646	-0.163	-0.208	-0.038	0.189	0.628	0.022	0.447	3.034	1.027	2.941	3.5405	3.074	3.249	0.096	0.159	1.761	1.457	1.6375	1.86	1.7875	1.235	1.505	0.276	0.043	-0.0065	0.4705	0.164	3.709	3.586	3.677	4.069	4.255	3.318	3.243	4.358	5.083	3.747	2.311	1.928	2.474	2.146	0.268	-0.804	0.841
"YBR121C"	-0.127	0.197	0.25	0.077	-2.66	-2.186	-4.037	-5.791	-2.366	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.407	0.271	0.25	0.324	0.381	-0.339	0.071	-0.069	-0.16	-2.249	-1.093	-2.5385	-2.551	-2.637	-2.6705	-0.124	-0.147	-0.9585	-1.491	-0.825	-1.0015	-0.9375	-1.0775	-1.0075	-0.405	-0.871	-0.452	-1.125	0.12	-2.28	-1.923	-1.524	-1.875	-2.122	-2.086	-2.549	-2.264	-2.181	-2.361	-1.562	-1.674	-1.587	-1.532	0.203	1.218	-0.382
"YBR269C"	-0.047	-0.019	-0.6215	0.042	2.741	2.162	2.707	1.196	1.554	-1.942	1.4035	0.9415	1.2435	2.2165	2.4575	1.712	0.1	0.221	0.037	-0.068	0.194	0.225	0.68	0.434	0.585	1.706	1.184	0.5465	0.6015	1.1595	0.821	0.057	0.021	0.808	0.804	0.744	1.071	0.963	1.144	1.246	0.409	0.613	0.505	0.849	0.171	2.707	2.822	2.889	3.041	3.293	2.16	2.787	2.806	2.659	1.808	0.651	1.313	0.461	1.233	0.598	-0.613	0.263
"YDR059C"	0.265	0.214	-0.263	0.138	2.272	2.509	3.497	1.544	1.202	1.309	1.818	1.963	2.24	3.116	2.735	2.39	-0.13	0.447	-0.836	-0.412	-0.208	0.457	0.484	0.624	-0.2235	2.1185	-0.421	1.118	1.488	1.644	2.166	-0.2445	-0.4815	0.943	1.334	0.8635	1.315	0.733	0.8285	1.3815	-0.653	1.003	0.8495	0.495	-0.0605	2.227	1.351	1.889	2.63	2.842	2.036	1.646	2.488	2.69	0.88	1.983	1.718	2.096	1.95	0.75	0.074	0.836
"YDR262W"	-0.133	0.0675	-0.088	0.236	1.7335	2.6665	3.3725	2.869	1.6855	1.6875	2.2555	3.0895	3.2615	4.491	4.8085	4.03	0.202	0.0765	-0.471	-0.118	-0.1735	-0.279	0.067	0.486	0.204	2.2315	1.1835	2.226	2.8725	2.6455	3.067	0.139	0.121	1.463	1.7415	1.8835	1.7885	1.8825	1.75	1.388	-0.0235	0.1835	0.3325	1.494	-0.2305	1.69	1.7205	1.854	2.2475	1.8935	1.645	2.14	2.6925	2.708	2.064	1.0145	1.2705	0.9105	1.545	0.326	0.329	0.21
"YDR275W"	-0.514	-0.3685	-0.1325	0.1445	1.553	3.009	3.166	0.442	1.6115	1.519	1.749	2.324	3.0055	1.5585	2.794	2.3525	-0.0995	-0.364	-1.162	-0.453	-0.3825	0.1305	-0.3245	0.382	0.136	1.9415	-0.053	1.796	2.3905	2.416	2.4885	0.0365	0.182	1.175	1.004	1.235	0.9505	1.233	1.542	0.9135	-0.2065	0.322	0.285	1.264	-0.1705	1.895	2.0795	2.622	1.511	2.6505	1.4915	1.086	2.1325	2.0735	2.0975	1.205	1.532	1.402	1.886	-0.224	-0.385	-0.0145
"YDR313C"	-0.206	0.143	-0.093	-0.306	2.369	1.941	2.161	0.084	1.583	1.359	1.484	2.304	2.311	2.992	2.624	1.746	0.223	0.304	-0.215	-0.046	0.108	-0.02	-0.034	-0.231	-0.492	1.537	0.114	1.841	2.24	1.875	2.698	0.398	0.431	0.95	0.971	1.096	1.241	1.02	1.188	1.031	-0.549	0.169	-0.216	0.272	0.05	1.814	NaN	2.482	3.079	2.237	NaN	2.226	1.983	3.986	1.65	1.129	1.634	1.188	2.089	0.087	NaN	0.113
"YGL097W"	0.058	-0.05	0.354	0.244	-1.806	-1.88	-3.311	-5.124	-1.338	-1.189	-0.928	-0.786	-1.446	-1.203	-1.641	-1.241	0.048	0.264	0.143	0.142	0.2	-0.106	-0.375	0.206	-0.247	-1.755	-0.703	-0.972	-1.49	-0.766	-1.316	0.21	-0.005	-1.1085	-1.238	-1.0785	-1.392	-1.3335	-0.718	-1.475	-0.166	-0.516	-0.488	-0.566	0.389	-1.47	-3.267	-3.05	-1.259	-3.55	-2.891	-1.439	-1.113	-2.064	-1.161	-1.088	-1.417	-2.117	-2.47	0.011	0.67	0.031
"YHR068W"	-0.342	-0.167	0.779	0.191	-3.316	-3.015	-4.28	-6.532	-2.526	-1.119	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	0.215	0.159	0.072	0.132	0.041	0.017	0.002	-0.051	-0.107	-2.29	NaN	-2.522	-2.438	-2.761	-2.475	0.084	0.06	-0.269	-0.497	-0.574	-0.248	-0.904	-0.973	-1.013	-0.695	0.163	0.801	-0.875	0.103	-1.743	-2.321	-2.248	-2.194	-1.888	-2.769	-2.437	-2.467	-1.861	-2.43	-1.514	-1.571	-1.255	-1.08	0.087	0.136	-0.708
