	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YBL039C"	-1.695	-4.41	-4.793	-5.089	-4.124	-2.316	-1.083	-2.672	-4.307	-4.486	-3.781	0.149	-0.566	0.171	-1.92	-2.661	-2.891	-1.618	-1.351	-0.788	-0.279	-3.74	-7.004	-3.306	-1.782	0.434	-2.736	-2.628	-2.386	0.2045	-4.7305	-2.8885	-3.4265	-3.9535	0.1495	0.192	0.527	-1.647	-1.366	0.552	0.0245	0.408	0.659	1.237	1.247	0.274	-0.398	0.293	-4.956	0.889	-1.482	-1.446	-2.952	-4.509	-3.644	-4.264	-1.635	-2.769	-2.12	-3.951	-3.379	-2.546	-2.162	-0.005	-0.262	0.476	0.357	0.001	0.56
"YBR016W"	0.595	0.925	0.573	0.376	0.492	-1.086	0.08	0.527	0.211	0.429	0.402	0.555	0.19	-0.176	0.593	0.836	0.649	0.763	0.54	0.609	0.46	0.657	-1.006	0.591	2.148	-0.415	1.331	1.224	0.964	-0.043	0.442	-0.039	-0.474	-0.6105	0.0405	-0.086	-0.645	0.653	0.606	-0.519	-0.378	-0.199	0.028	-0.237	-0.461	-0.016	-0.312	0.073	0.127	0.092	-0.1055	-0.0205	0.523	0.216	0.176	1.207	0.819	0.828	0.265	0.983	0.293	0.345	-0.438	0.619	0.269	0.078	-0.207	-0.245	0.046
"YBR026C"	1.0875	1.631	2.326	2.417	2.554	1.708	1.079	1.669	2.178	2.688	2.577	0.1	-0.363	0.069	1.139	1.461	1.573	1.207	1.316	0.817	0.211	2.537	-1.474	1.689	1.308	-0.092	1.873	1.707	1.322	0.1585	2.1345	2.7165	2.379	2.4865	0.3225	-0.538	-0.316	NaN	1.432	0.248	0.3395	-0.278	0.127	-0.212	0.256	0.145	-0.034	-0.008	2.948	NaN	0.225	0.3985	0.961	1.969	2.05	2.418	1.372	1.981	1.786	2.689	2.244	1.827	2.507	0.139	0.216	-0.835	-0.567	0.077	0.01
"YBR053C"	0.9645	2.641	2.944	8.904	2.786	2.173	1.478	2.121	2.642	3.221	3.327	-1.031	-1.073	-0.478	1.302	1.621	1.865	1.932	1.633	1.304	0.678	2.807	-1.689	1.393	1.809	0.0	1.172	1.441	1.246	0.4475	3.252	2.288	1.624	1.686	0.3075	0.189	0.201	1.68	1.357	-0.073	-0.1335	-0.563	-0.429	-0.902	-0.921	-0.433	-0.101	0.441	4.137	-0.173	1.4965	0.4655	2.66	2.189	1.539	1.865	2.828	2.588	1.948	3.16	3.009	2.267	1.742	0.165	0.289	0.2	0.369	0.808	0.392
"YBR056W"	1.246	2.581	2.937	2.407	2.9	1.627	1.136	2.04	2.582	3.141	3.008	-0.9	-0.518	0.136	1.458	1.974	2.192	1.854	1.319	1.155	0.555	3.069	-2.429	1.46	2.069	0.096	1.657	1.624	0.913	0.547	2.803	2.2835	2.196	2.418	0.606	-0.611	-0.63	2.128	2.111	0.296	0.393	-0.642	-0.275	-1.34	-1.425	-0.888	-0.243	0.321	3.273	-0.283	0.6185	0.553	2.154	2.537	2.012	2.595	2.113	1.943	2.19	2.66	1.785	1.357	1.642	0.295	0.41	0.278	0.71	1.089	0.47
"YBR080C"	0.0375	0.253	0.599	0.699	0.594	0.066	0.23	0.314	0.579	0.531	0.458	0.251	0.189	0.325	0.066	0.329	0.186	0.449	0.227	0.225	0.162	-0.389	-2.0	0.261	-0.332	0.035	-0.132	-0.365	-0.659	-0.031	-0.926	-0.577	-0.6275	-0.7075	0.208	0.261	0.104	0.684	0.954	-0.074	-0.0225	0.549	0.446	-0.234	0.489	0.326	-0.064	-0.062	-0.289	0.589	0.7175	0.6015	-0.468	0.259	0.172	-0.305	-1.253	-1.325	-0.895	-0.626	-1.44	-1.068	-1.263	0.194	0.164	0.522	0.501	0.567	0.312
"YBR129C"	1.0195	-0.118	-0.373	-0.339	-0.395	-0.222	-0.322	0.15	0.122	-0.111	-0.222	0.502	-0.337	-0.151	0.567	0.523	0.415	0.548	0.437	0.248	0.159	0.665	-2.509	0.825	0.348	0.02	-0.166	-0.277	0.05	0.071	0.457	0.1585	-0.0045	-0.3015	-0.3945	-0.116	-0.114	-0.013	-0.172	0.24	0.192	-0.011	-0.042	-0.037	0.009	0.478	-0.069	-0.26	-0.228	-0.201	0.4315	0.324	-0.058	-0.58	0.48	-0.105	1.599	1.359	0.686	0.511	0.636	1.089	0.005	-0.116	-0.037	0.245	0.491	0.684	0.441
"YBR139W"	0.18	2.369	2.977	3.848	2.63	2.067	0.865	2.128	2.849	2.957	3.234	-1.059	-1.238	-0.362	1.338	1.611	1.625	1.581	1.19	0.48	0.224	3.123	-1.409	1.995	2.129	0.118	1.636	1.465	1.016	0.5935	3.3855	2.27	2.1415	2.114	0.0385	0.172	0.645	1.752	1.234	-0.398	-0.1465	-0.285	-0.543	-0.642	-0.875	-0.237	0.012	0.067	3.322	-0.633	0.612	0.534	1.285	2.237	1.973	2.398	3.063	2.319	1.317	3.026	2.805	1.931	1.564	0.952	0.897	0.111	0.513	0.189	0.185
"YBR142W"	-0.124	-2.785	-3.45	-0.764	-2.326	-1.313	-0.689	-1.469	-2.492	-2.93	-2.567	0.695	0.221	0.216	-1.415	-1.523	-1.681	-1.279	-1.104	-0.849	-0.524	-2.447	-4.241	-1.661	-1.229	0.171	-1.893	-1.12	-0.958	-0.049	-2.4525	-1.878	-2.0035	-2.148	-0.149	0.252	0.392	-0.846	-0.506	0.56	0.238	0.417	0.317	0.679	0.607	0.172	-0.306	-0.499	-2.999	0.176	-0.083	-0.6255	-3.167	-4.931	-3.065	-2.983	-2.312	-1.71	-1.544	-3.06	-2.661	-1.652	-1.41	-0.02	-0.12	0.422	0.834	0.295	0.273
"YBR218C"	-0.197666666666667	-0.4675	0.6785	0.6035	0.7155	0.7775	0.1045	0.5105	0.345	0.1825	0.109	-0.6485	0.0785	-0.08	-0.4055	-0.175	-0.107	0.084	-0.083	-0.401	-0.396	0.8185	-1.3885	0.921	0.424	-0.205	-0.1885	0.447	-0.157	0.195666666666667	0.371	0.405666666666667	0.544666666666667	0.457333333333333	-0.0823333333333333	0.286	0.309	0.885	0.789	0.1	-0.087	-0.05	0.17	0.236	0.1895	-0.13	-0.0635	0.029	-0.139	0.3345	-0.232	0.059	0.665	1.042	1.053	-0.143	1.108	1.596	1.466	1.421	1.493	1.665	1.043	0.143	0.265	0.209	-0.529	-0.252	-0.526
