	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YBL039C"	0.819	1.626	-3.74	-3.092	-4.323	-7.004	-2.736	-2.628	-4.7305	-3.9535	-3.7495	-4.251	-3.5775	1.4545	0.069	-0.146	-0.105	-0.343	-1.4385	-1.414	0.134	-1.635	-2.769	-3.951	-3.379	-0.19	-0.187	-0.005	-0.262	-3.056	-2.395	-2.487	-2.342	-2.441	-2.717
"YBL077W"	0.875	1.177	-3.41	-2.161	-3.136	-5.081	-2.763	-2.285	-2.792	-2.345	-2.816	-3.3595	-3.1945	1.2945	-0.052	-0.023	-0.0685	0.13	-0.8685	-0.876	0.115	-2.847	-2.93	-2.854	-2.752	0.24	-0.078	0.243	-0.164	-0.424	-1.603	-1.123	-1.089	-1.797	-1.275
"YBR034C"	0.248	0.452	-3.091	-2.072	-1.758	-3.523	-1.874	-2.144	-2.6345	-1.729	-2.833	-2.963	-1.668	-0.1215	-0.585	-0.848	-0.135	-0.345	-0.777	-0.213	0.11	-1.707	-1.247	-2.298	-1.596	-0.672	-0.682	-0.273	-0.623	-2.51	-1.482	-1.217	-1.719	-0.815	-0.789
"YBR079C"	1.626	2.06	-2.406	-1.379	-1.806	-4.79	-1.533	-1.664	-2.741	-2.5405	-1.965	-2.9905	-2.7575	1.5245	0.202	-0.108	-0.197	-0.654	-0.9045	-0.818	0.138	-1.842	-2.317	-2.215	-2.556	0.294	0.219	0.419	0.36	-1.424	-3.168	-1.779	-1.658	-1.33	-3.324
"YBR121C"	1.631	1.17	-2.66	-1.84	-4.037	-5.791	-2.317	-1.95	-3.2385	-3.155	-4.1355	-4.173	-4.5985	1.461	0.121	0.012	-0.015	-0.702	-1.0775	-1.119	0.12	-2.549	-2.264	-2.22	-1.806	0.3	0.247	0.258	0.329	-1.588	-1.799	-1.562	-1.674	-1.587	-1.532
"YCLX02C"	-0.047	0.722	-4.118	-2.592	-2.283	-2.85	-2.734	-1.938	-3.098	-2.411	-1.8265	-2.441	-2.4035	0.3275	-0.857	-0.727	-0.2975	-0.467	-0.227	-0.603	-0.008	-2.749	-2.605	-3.541	-2.722	-0.193	-0.135	-0.267	-0.267	-1.543	-1.513	-1.295	-1.265	-0.666	-1.105
"YCR034W"	1.683	1.206	-2.623	-1.309	-3.204	-4.331	-2.664	-2.639	-2.5505	-2.676	-3.0135	-3.2845	-3.3025	0.3615	-0.05	-0.274	0.1785	-0.199	-1.616	-0.419	0.06	-3.552	-2.544	-3.478	-3.226	-0.075	0.237	0.233	0.277	-1.819	-2.872	-2.486	-2.179	-2.013	-2.607
"YDL201W"	0.265	0.588	-3.282	-2.32	-1.537	-4.94	-2.29	-2.112	-2.178	-1.363	-1.295	-1.218	-1.732	1.066	-0.0685	-0.2605	-0.21	0.325	-0.297	0.451	0.097	-2.098	-1.705	-2.492	-1.838	-0.03	0.054	-0.048	-0.266	-1.346	-1.137	-0.58	-0.665	-0.601	-1.272
"YDR211W"	0.3	1.053	-2.225	-1.565	-1.706	-4.77	-2.051	-1.869	-2.022	-1.43	-2.119	-2.043	-3.034	0.66	0.102	-0.13	0.025	-0.0735	0.0925	0.0595	0.039	-1.084	-1.222	-1.631	-1.241	0.129	0.181	-0.042	0.013	-0.65	-1.159	-0.925	-0.946	-0.6	-1.142
"YDR385W"	1.278	1.93	-2.252	-1.858	-3.158	-5.463	-2.682	-2.3	-2.538	-1.529	-1.848	-2.214	-3.65	1.381	0.035	0.229	-0.068	-1.032	-0.718	-1.645	0.366	-2.699	-3.05	-1.626	-2.518	0.657	0.584	0.421	0.566	-2.449	-4.86	-2.743	-2.252	-2.203	-3.026
