	"497.Heat Shock 000 minutes"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"
"YBL040C"	0.1015	-1.585	-3.288	-1.5345	-1.6035	-2.3045	2.041	0.069
"YBL056W"	0.2215	-2.142	-4.006	-1.057	-1.563	-1.749	NaN	0.764
"YBR014C"	-0.3295	-2.084	-3.116	-0.689	-1.106	-1.315	-0.396	0.568
"YBR017C"	-0.6565	-1.621	-2.961	-1.7435	-1.8555	-1.7945	1.045	0.725
"YBR106W"	0.9	-3.354	-5.052	-2.3225	-3.147	-3.2985	NaN	0.823
"YBR171W"	0.512	-2.189	-3.399	-1.2865	-1.677	-1.5245	0.801	0.121
"YBR205W"	0.5585	-2.047	-3.842	-0.8785	-1.5345	-2.119	1.269	0.777
"YBR206W"	0.213	-2.307	-3.253	-1.0975	-1.694	-1.6555	0.493	-0.28
"YBR249C"	1.035	-3.39	-6.025	-2.9975	-3.288	-3.9875	1.282	1.004
"YBR288C"	0.5175	-2.229	-3.524	-1.2605	-1.978	-1.688	2.094	0.183
"YCL053C"	0.711	-2.481	-4.22	-1.7235	-2.7635	-2.2165	2.172	0.573
"YCR002C"	0.424	-3.669	-5.182	-2.564	-2.9535	-2.7005	2.551	0.633
"YCR013C"	-0.2875	-3.099	-5.566	-1.827	-2.591	-3.6275	-1.117	0.559
"YCR044C"	0.371	-1.836	-2.699	-1.0725	-1.5355	-1.758	1.505	1.154
"YCR053W"	0.3425	-3.556	-4.283	-2.429	-3.1075	-2.714	1.138	0.838
"YCR055C"	0.8355	-3.878	-6.433	-2.2405	-3.105	-2.4225	0.988	1.191
"YCR057C"	0.732	-3.423	-5.109	-1.962	-2.812	-2.1505	0.548	1.129
"YDL084W"	0.39	-2.134	-4.827	-1.626	-2.01	-2.373	1.301	0.991
"YDL185W"	0.036	-2.522	-4.417	-1.557	-2.084	-3.0	-1.024	0.859
"YDL225W"	-0.379	-2.271	-3.558	-0.994	-1.953	-1.522	2.369	-0.511
"YDR002W"	0.515	-2.756	-4.542	-1.672	-2.746	-2.987	1.06	0.699
"YDR063W"	-0.415	-2.255	-3.698	-0.701	-1.675	-0.585	0.325	0.507
"YDR071C"	0.498	-2.459	-4.374	-1.937	-3.125	-2.557	-0.41	0.638
"YDR098C"	0.538	-1.722	-3.797	-1.355	-2.09	-2.226	1.678	0.147
"YDR161W"	0.387	-2.842	-4.816	-2.298	-2.511	-2.286	1.74	0.721
"YDR165W"	0.933	-3.111	-5.309	-1.767	-2.409	-2.23	1.0225	0.744
"YDR198C"	0.818	-1.731	-2.617	-0.66	-0.758	-0.986	0.0175	0.911
"YDR212W"	0.565	-1.862	-4.59	-1.535	-1.828	-1.707	0.559	-0.303
"YDR341C"	0.688	-3.212	-5.262	-3.262	-3.294	-3.559	0.769	0.114
"YDR399W"	0.899	-3.073	-4.784	-2.115	-2.216	-2.373	1.212	0.529
"YEL056W"	0.138	-1.097	-2.812	-0.571	-1.176	-0.807	-0.3655	0.414
