	"515.2.5mM DTT 045 min"	"516.2.5mM DTT 060 min"	"686.YP ethanol vs reference pool"	"799.Heat Shock 005 minutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1313.diauxic shift timecourse: 20.5 hr"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"6824.Sporulation t0"	"8247.steady state 36 dec C: y14n095"	"33414.delKIN82_heat shock _0min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"
"YBL076C"	-0.612	-0.704	-1.647	-0.395	-1.448	-1.117	-0.979	NaN	NaN	4.907	NaN	NaN	NaN	1.529	4.075	NaN	2.735	-0.819	-3.361	-1.886	-3.688	-3.4915	-3.368	1.6845	-0.4915	-1.521	-0.269	0.106	0.027	-0.327	1.058	0.141	-3.674	-3.081	-1.522	0.983	0.497	-2.613	-2.795	-1.983	-1.889	-2.014	-1.693	-1.243	-0.866	-2.349
"YBR048W"	-0.018	0.0315	-1.201	0.2275	-1.2295	-1.248	-1.032	-3.385	-2.4795	-2.968	-2.171	-3.0195	-5.0065	-0.5615	-3.137	-3.295	-3.375	-0.9535	-4.66033333333333	-2.35966666666667	-2.849	-3.15166666666667	-3.929	0.975666666666667	-1.77033333333333	-2.145	0.5055	-0.31	-0.076	-0.0325	0.514	-0.11	-4.043	-3.545	-3.133	0.049	-0.086	-4.089	-3.69	-2.483	-2.711	-1.681	-2.346	-2.602	-2.386	-2.207
"YBR050C"	-0.532	-0.363	1.5875	0.461	1.292	0.657	0.527	5.011	5.572	4.866	4.627	2.356	1.088	1.196	1.8	4.167	3.989	1.112	4.2885	3.8095	1.9415	1.801	0.72	-1.0955	0.1335	1.593	0.046	-0.762	0.214	-0.501	-0.333	-0.116	3.813	5.024	2.646	-0.375	-0.15	3.557	5.076	3.644	3.428	2.22	1.991	4.453	4.006	3.034
"YCR044C"	-0.281	-0.111	-0.082	0.111	0.118	0.16	0.022	0.734	0.315	-0.006	-0.084	-1.836	-2.699	-0.678	-0.808	-0.595	-1.147	-0.173	0.1315	-0.3045	-1.0725	-1.5355	-1.758	-0.149	-0.168	0.122	-0.144	0.097	0.056	0.09	0.142	0.657	-0.221	-1.165	-1.221	0.102	0.031	0.224	-0.513	-0.699	-1.467	-0.149	-0.512	-0.598	-0.282	-0.714
"YDR025W"	-0.053	-0.283	-1.0	0.243	-1.822	-1.268	-0.964	-3.904	-3.548	-3.252	-2.573	-3.393	-6.697	-0.903	-3.356	-3.471	-3.326	-1.137	-4.504	-2.828	-2.503	-2.895	-3.518	2.767	-1.702	-1.887	0.349	-0.306	0.144	-0.211	0.925	0.707	-4.772	-3.127	-2.93	0.326	0.046	-3.906	-3.552	-2.869	-2.535	-1.818	-2.458	-3.528	-2.366	-1.814
"YER117W"	0.214	0.244	-0.475	0.335	-1.022	-1.13	-0.887	-2.982	-2.613	-2.377	-1.817	-2.832	-5.642	-0.084	-3.141	-2.843	-2.483	-0.83	-3.768	-1.917	-2.312	-2.562	-2.976	1.414	-1.745	-1.783	0.217	0.265	0.308	0.037	0.196	0.121	-3.319	-2.632	-2.403	-0.019	0.069	-3.238	-3.345	-2.147	-2.128	-1.531	-2.478	-2.922	-2.78	-2.069
"YGL123W"	0.33	0.09	-1.693	0.291	-1.236	-1.272	-1.163	-3.781	-3.757	-3.726	-3.265	-4.004	-5.982	-0.461	-3.654	-3.701	-3.959	-0.854	-3.511	-2.071	-2.388	-2.65	-3.558	2.365	-2.041	-1.703	0.04	0.42	-0.079	-0.32	1.212	0.292	-4.217	-3.27	-2.813	0.49	0.525	-4.123	-3.488	-2.693	-2.743	-1.729	-2.814	-3.674	-2.831	-2.536
"YGL135W"	0.265	0.179	-1.162	0.303	-1.323	-1.448	-1.169	-3.221	-2.573	-2.455	-2.548	-3.418	-5.687	-0.233	-3.23	-3.119	-2.071	-0.99	-3.581	-2.03	-2.267	-2.874	-3.825	2.2	-1.769	-1.595	-0.099	-0.246	0.082	0.184	0.529	0.193	-3.443	-2.903	-2.236	-0.108	0.113	-3.617	-3.009	-1.968	-2.509	-1.68	-2.197	-3.261	-2.609	-1.826
"YGL147C"	0.282	-0.033	-1.473	0.226	-1.232	-1.516	-1.188	-3.892	-3.111	-3.32	-3.389	-3.921	-7.507	-0.116	-3.753	-3.466	-3.166	-1.411	-4.384	-2.459	-3.018	-2.755	-3.483	2.757	-1.835	-1.568	0.008	-0.229	0.22	0.098	0.7655	0.348	-3.1805	-2.6025	-3.0	0.282	0.4845	-3.1585	-3.3875	-2.3945	-3.135	-1.6575	-1.946	-2.981	-2.2485	-1.834
"YHR033W"	-0.467	-0.9035	0.1725	0.311	-0.2145	0.2405	-0.403	0.259	1.7235	1.367	1.8675	1.3265	0.7035	0.97	0.702	1.107	-0.238	0.3345	1.047	1.4225	1.0925	1.4725	0.87	-0.7765	-0.171	0.943	-0.534	0.151	-0.178	0.074	0.076	-0.206	0.437	1.56	1.901	-0.138	0.476	0.396	2.058	0.973	2.057	-0.253	0.348	0.024	-0.239	0.468
