	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"4874.1M sorbitol - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6824.Sporulation t0"	"13057.wt/crz1 Na 30min (1)"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"44524.first half PM prep, array 2"
"YAL061W"	0.202	0.139	1.341	1.492	2.394	4.364	1.5645	1.56	1.8235	1.9505	2.717	2.09	-0.093	-0.124	-0.005	0.145	-0.876	1.678	0.391
"YBL024W"	-1.037	-1.2715	-2.175	-2.483	-4.671	-4.879	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.033	0.126	-1.016	0.091	0.363	0.563	0.612
"YBR028C"	-0.412	-0.764	-0.272	0.017	-2.27	-3.596	-0.0125	-0.6465	-0.575	-1.494	-2.3575	-2.334	-0.002	0.0045	-0.646	0.135	0.135	1.157	0.331
"YBR031W"	-1.108	-1.6125	-2.059	-2.397	-2.879	-6.063	-1.7205	-1.7175	-2.312	-1.803	-1.9345	-2.5745	0.366	-0.335	-1.621	0.185	0.772	-1.304	0.756
"YBR106W"	-0.604	-0.472	-2.108	-1.986	-3.354	-5.052	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.275	0.0415	-0.875	-0.197	0.472	1.629	1.509
"YBR191W"	-1.55	-3.071	-1.912	-2.071	-3.167	-5.241	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.516	0.2375	-1.951	0.405	0.931	-1.275	0.869
"YCL045C"	0.051	-0.67	-1.0965	-0.733	-3.044	-3.911	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.1095	0.032	-0.201	-0.061	0.0425	0.688	0.489
"YCR002C"	-0.011	-0.332	-1.572	-1.667	-3.669	-5.182	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.164	-0.1855	-0.222	-0.176	0.482	-0.703	0.562
"YCR034W"	-1.127	-1.6	-1.912	-1.771	-3.204	-4.331	-1.2005	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.32	0.1785	-1.321	-0.179	0.462	1.342	1.215
"YCR057C"	-0.847	-0.692	-1.732	-2.636	-3.423	-5.109	-1.605	-1.7665	-1.5195	-1.962	-2.812	-2.1505	-0.103	-0.1685	-0.803	0.079	0.357	-0.853	0.517666666666667
"YDL082W"	-1.475	-2.087	-1.446	-1.723	-3.326	-5.816	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.208	0.218	-1.965	0.119	0.8805	-1.007	0.816
"YDL084W"	-0.985	-0.823	-0.522	-1.213	-2.134	-4.827	-0.822	-1.559	-1.782	-1.626	-2.01	-2.373	-0.08	-0.075	-1.455	0.054	0.539	1.123	0.698
"YDL191W"	-1.075	-1.739	-1.853	-1.975	-2.737	-5.192	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	0.062	-0.202	-1.251	-0.026	0.6305	-0.8405	0.434
"YDR037W"	-1.052	-1.316	-3.858	-3.458	-4.551	-5.224	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	0.216	-0.292	-1.217	0.016	0.525	-0.506	0.73
"YDR101C"	-1.384	-1.309	-2.315	-2.948	-4.145	-4.667	-2.005	-1.96	-2.252	-2.862	-3.177	-3.516	0.237	0.093	-1.252	-0.163	-0.222	0.313	0.947
"YDR161W"	-1.051	-1.193	-1.24	-2.356	-2.842	-4.816	-1.46	-1.406	-1.537	-2.298	-2.511	-2.286	-0.043	0.075	-1.286	-0.086	0.26	0.684	0.427
"YDR312W"	-0.833	-1.303	-0.793	-1.364	-2.612	-3.564	-1.444	-1.492	-1.373	-2.214	-2.451	-2.68	-0.217	0.302	-0.899	0.169	0.439	1.52	-0.185
