	"49.Elutriation2:Sample2:Time0.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"8210.steady state 33 dec C"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"18434.2mM MD 100min"
"YBL048W"	0.332	-0.17	0.053	0.13	0.583	-0.019	0.303	0.504	0.494	2.166	2.348	1.633	1.65	2.762	1.81	2.869	1.891	2.214	2.039	1.089	1.224	2.101	2.7535	3.8365	3.63	2.8605	1.383	0.077	-0.194	0.004	-0.455	-0.002	0.2	0.14	0.3895
"YBL049W"	0.6225	-0.568	-0.687	0.846	0.389	0.3565	0.486	-0.45	0.194	3.632	4.071	3.507	4.101	4.812	2.844	4.254	3.391	2.309	3.401	3.138	2.7155	2.9925	3.8385	4.9405	5.2455	4.1525	0.6365	0.08	0.328	0.315	-0.355	0.096	0.096	0.159	1.8675
"YBL072C"	-0.878	1.377	1.296	-0.733	-1.75	-0.1225	-1.241	-1.217	-1.082	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-3.401	-3.188	-3.091	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.489	-0.33	0.266	-0.282	0.042	0.729	0.435	0.389	-2.53
"YBR076W"	0.261	-0.213	-0.175	0.201	0.095	0.012	0.143	0.114	0.054	2.187	2.018	2.385	2.231	2.268	2.994	3.472	1.946	0.936	1.395	1.303	0.618	1.4395	1.6245	2.2365	2.6415	1.4465	0.4045	0.068	-0.026	-0.68	0.088	-0.324	-0.114	0.367	1.1285
"YBR121C"	-0.6285	0.701	0.752	-0.865	-1.349	-0.1795	-1.117	-0.761	-0.747	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-1.95	-2.366	-2.465	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.2445	-0.332	0.104	-0.234	0.053	0.184	-0.124	-0.147	-0.8775
"YBR191W"	-0.6505	1.388	0.879	-0.971	-1.55	-0.2265	-1.127	-1.155	-0.933	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-3.411	-2.563	-2.467	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.149	-0.149	0.19	-0.228	0.222	0.931	0.299	0.44	-1.94
"YDR023W"	0.068	0.568	0.525	-0.306	-1.003	-0.041	-1.616	-1.177	-0.916	-1.814	-2.122	-1.859	-1.347	-2.164	-2.077	-2.907	-5.745	-1.116	-1.813	-1.696	-1.744	-1.553	-2.313	-3.056	-3.357	-3.85	0.146	-0.114	0.321	0.248	-0.069	0.528	0.03	0.041	-0.456
"YDR025W"	-0.49	1.014	0.806	-1.096	-1.477	-0.129	-1.822	-1.268	-0.964	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-3.356	-3.471	-3.326	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.038	-0.21	0.174	-0.28	-0.508	0.7205	0.2095	0.205	-2.574
"YDR037W"	-1.56	0.672	0.502	-0.89	-1.052	-0.072	-1.65	-1.299	-0.894	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-2.505	-2.756	-2.42	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-0.048	-0.423	0.038	-0.335	0.213	0.525	0.064	0.055	-1.8475
"YDR064W"	-1.077	0.993	1.04	-0.84	-1.107	-0.36	-0.86	-0.953	-0.838	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-3.138	-2.511	-2.495	-2.228	-2.718	-2.943	-2.527	-2.531	-3.199	0.231	0.057	0.039	-0.157	-0.166	0.6125	0.142	0.0105	-1.85066666666667
