	"42.alpha factor release sample022"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"12733.Nitrogen Depletion 8 h"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"
"YBL072C"	0.144	-1.75	-1.5465	-2.843	-6.241	0.68	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	-0.5055	1.3355	2.746	-2.043	-0.393	-0.2655	-2.142	-3.2475	-2.4945
"YBR181C"	0.047	-1.677	-2.1085	-2.8855	-4.564	0.3865	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	-0.593	0.855	2.0575	-1.454	-0.298	-0.194	-2.057	-3.0365	-2.3485
"YDR382W"	0.551	-1.277	-1.347	-2.294	-5.686	0.279	-4.02	-2.332	-2.897	-2.877	-2.565	-3.137	-3.471	-1.341	0.963	2.311	-2.103	-0.669	-0.41	-1.803	-3.213	-2.625
"YDR418W"	0.205	-1.558	-1.509	-2.651	-5.866	0.581	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	-0.312	1.206	2.482	-1.854	-0.738	-0.383	-1.816	-3.879	-2.75
"YDR447C"	-0.032	-1.478	-1.574	-2.917	-5.332	0.24	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.539	0.812	1.98	-1.973	-0.582	-0.359	-1.533	-2.794	-2.0655
"YER0561C"	0.141	-1.445	-1.4	-2.343	-4.828	0.341	-4.549	-2.208	-2.275	-2.538	-2.398	-2.784	-3.617	-0.571	0.732	1.871	-1.804	-0.329	-0.192	-1.51	-3.257	NaN
"YER074W"	0.214	-1.545	-1.296	-2.555	-3.854	0.457	-5.146	-2.436	-2.823	-2.735	-2.339	-2.829	-3.947	-0.851	0.863	2.164	-2.314	-0.38	-0.405	-1.546	-3.382	-2.325
"YER102W"	0.489	-1.667	-1.473	-2.845	-6.434	0.662	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	-0.576	1.326	2.71	-1.94	-0.375	-0.154	-2.051	-3.067	-2.476
"YER131W"	0.303	-1.403	-1.307	-2.511	-6.55	0.229	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	-0.492	1.173	2.33	-1.147	-0.232	-0.1	-1.863	-2.775	-2.9385
"YFR031BC"	-0.001	-1.592	-1.809	-2.877	-7.029	0.474	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	-0.733	1.314	2.869	-1.832	-1.003	-0.379	-2.031	-3.692	-3.081
"YGL031C"	0.158	-1.871	-1.956	-3.232	-5.763	0.378	-5.191	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	-0.594	1.152	2.166	-2.049	-0.255	-0.28	-2.077	-3.595	-3.011
"YGL076C"	0.028	-1.533	-1.418	-2.349	-5.667	0.372	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	-0.948	0.897	2.882	-2.333	-0.515	-0.435	-1.755	-2.969	-2.48366666666667
"YGL123W"	0.66	-1.622	-1.483	-2.649	-5.982	0.589	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	-0.692	1.101	2.365	-2.071	-0.514	-0.318	-2.265	-2.897	-3.229
"YGL135W"	0.067	-1.72	-1.762	-2.804	-5.687	0.488	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	-0.412	0.876	2.2	-2.268	-0.656	-0.72	-2.11	-3.473	-2.452
"YGL147C"	0.336	-1.799	-1.466	-2.743	-7.507	0.278	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	-0.845	1.175	2.757	-1.676	-0.625	-0.382	-2.02	-3.553	-2.9565
"YGR085C"	0.785	-1.501	-1.201	-2.388	-6.059	0.451	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.669	1.018	2.15	-2.204	-0.671	-0.413	-1.815	-2.722	-2.603
"YGR214W"	-0.003	-2.0025	-1.829	-2.515	-5.16	0.303	-4.842	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	-0.902	0.823	2.471	-1.684	-0.469	-0.327	-2.1085	-3.699	-2.834
"YHL033C"	0.448	-1.7785	-1.49	-2.618	-6.65	0.49	-4.25	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	-1.049	1.02	2.175	-2.209	-0.451	-0.508	-1.8865	-3.051	-3.616
"YHR203C"	-0.175	-1.815	-1.279	-2.585	-5.944	0.088	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	-0.73	1.332	2.739	-2.0	-0.357	-0.342	-1.9665	-3.65	-2.92
"YIL018W"	0.08	-1.7325	-1.888	-2.824	-5.749	0.222	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.618	1.314	2.689	-2.083	-0.823	-0.4	-2.158	-3.591	-3.156
"YIL052C"	-0.079	-1.4375	-1.558	-2.49	-6.278	0.135	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-0.616	0.638	1.879	-1.902	-0.392	-0.197	-1.7635	-2.937	-2.201
"YIL133C"	0.216	-1.6275	-1.391	-2.661	-5.79	0.251	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	-0.55	0.8	2.01	-1.358	-0.485	-0.367	-1.6925	-3.329	-1.802
"YJL190C"	0.445	-1.701	-2.095	-2.911	-6.079	0.176	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	-1.095	0.878	1.955	-2.169	-0.463	-0.298	-2.0875	-3.532	-3.963
"YJR145C"	0.013	-1.7845	-1.245	-2.537	-6.528	0.524	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	-0.781	1.101	2.789	-1.792	-0.291	-0.237	-1.93	-3.331	-2.469
"YKL006W"	0.256	-1.634	-1.129	-2.018	-5.113	0.47	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.573	0.675	1.986	-1.702	-0.501	-0.023	-1.727	-3.013	-2.587
"YKR094C"	0.07	-0.895	-1.088	-1.884	-4.383	0.31	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	-0.549	0.472	1.23	-0.981	-0.204	-0.229	-0.882	-2.111	-2.816
"YLL044W"	-0.059	-1.796	-1.884	-2.783	-6.48	0.207	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.698	0.954	2.272	-2.239	-0.218	-0.235	-1.906	-3.04	-3.372
"YLR029C"	0.117	-1.373	-1.953	-1.826	-6.877	0.376	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	-0.459	0.983	2.331	-1.979	0.084	-0.204	-1.511	-2.763	-2.323
"YLR048W"	0.4	-1.921	-1.634	-2.441	-3.72	0.28	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.275	0.965	2.784	-2.4	-0.712	-0.496	-2.059	-3.922	-2.206
"YLR062C"	0.04	-1.524	-1.496	-2.662	-6.896	0.213	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.548	1.062	2.319	-2.123	-0.637	-0.436	-1.928	-3.446	-2.756
"YLR264W"	0.465	-1.119	-1.549	-1.987	-5.152	0.095	-3.525	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	-0.533	0.619	1.55	-1.309	-0.406	-0.056	-1.373	-2.072	-2.034
"YLR333C"	0.16	-0.585	-1.343	-2.23	-5.863	0.543	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	-0.191	0.821	1.926	-2.07	-0.445	-0.152	NaN	-2.565	-2.395
