	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"7539.25C -- 90 min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"21638..24 mM H2O2- 070 minutes"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"40976.MD_II_140_min"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YBL027W"	1.4805	1.274	1.77	0.836	-2.0	-2.671	-5.577	-2.494	-2.507	-2.33	-2.4005	-2.0465	-1.9795	-2.114	-3.148	2.086	0.531	1.102	1.201	0.951	-1.6965	-1.119	-0.3395	-0.4715	-1.4465	-1.081	-1.15333333333333	-3.528	-3.012	-2.469	-3.139	-2.291	-2.736	-1.499	-0.749	-0.269	-0.698	-0.444	-1.176	0.927	0.79	2.036	2.049	3.306	1.57	0.813	0.813	0.926	1.102	0.925	1.46
"YBL072C"	1.4025	1.377	2.378	1.493	-2.486	-3.192	-6.241	-3.06	-3.188	-3.091	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	2.746	NaN	1.468	1.154	1.008	-2.524	-2.2175	-1.4775	-1.565	-2.283	-1.8925	-1.797	-3.331	-2.84	-1.71	-2.598	-2.699	-3.92	-2.102	-1.45	-0.638	-0.313	-1.817	-1.814	1.212	1.045	1.72	2.294	1.636	1.302	1.681	1.676	1.718	2.235	1.717	0.834
"YBR031W"	1.114	1.106	2.377	0.328	-2.059	-2.879	-6.063	-2.233	-2.831	-2.633	-1.7175	-2.312	-1.803	-1.9345	-2.5745	1.828	1.102	1.33	0.98	1.035	-1.716	-1.7975	-1.7015	-1.674	-2.582	-2.03	-2.2555	-2.753	-2.405	-1.868	-2.852	-2.634	-2.936	-2.787	-3.785	-2.294	-1.606	-1.807	-0.819	0.505	0.804	1.354	1.776	1.62	0.886	1.307	1.309	0.806	1.094	0.805	0.756
"YBR084W"	0.407	0.888	1.122	1.581	-2.908	-4.365	-5.362	-2.317	-1.44	-1.534	-1.9025	-2.592	-1.934	-2.75	-2.725	0.5955	0.301	0.399	0.522	0.565	-2.65	-1.9145	-2.2905	-2.061	-1.574	-1.544	-2.1635	-3.705	-2.757	-2.544	-3.283	-2.592	-1.425	-1.734	-4.796	-2.168	-2.019	-5.323	-3.139	0.298	1.286	1.786	1.053	1.169	1.521	1.656	2.149	1.958	1.84	1.957	0.731
"YBR121C"	0.801	0.701	1.631	1.17	-2.186	-4.037	-5.791	-2.317	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	1.461	0.965	0.893	0.425	0.178	-2.249	-2.5385	-2.551	-2.637	-1.997	-1.0775	-1.125	-2.549	-2.264	-1.948	-1.806	-2.181	-2.361	-1.588	-1.799	-1.562	-1.674	-1.532	-1.433	1.235	0.985	0.69	1.191	0.549	1.531	1.212	1.19	1.097	1.01	1.096	0.709
"YBR181C"	1.236	1.308	2.072	1.337	-1.94	-3.798	-4.564	-3.3	-3.159	1.639	-2.493	-2.7035	-2.654	-2.96	-3.945	2.0575	0.625	1.245	1.215	1.064	-2.337	-1.8415	-1.1755	-1.2625	-2.5215	-1.806	-1.0465	-3.618	-2.718	-2.109	-3.274	-2.601	-3.426	-2.664	-1.933	-0.791	-0.691	-1.577	-2.043	1.727	1.721	2.654	2.51	2.321	1.243	1.678	1.768	1.798	2.257	1.797	0.929
"YBR249C"	1.035	0.915	1.745	1.561	-0.216	-3.39	-6.025	-1.662	-1.86	-1.223	-1.147	-1.6935	-2.9975	-3.288	-3.9875	2.1715	0.703	1.431	0.795	1.002	-0.835	-2.04	-1.467	-1.7065	-1.827	-1.688	-2.351	-3.036	-2.096	-1.95	-2.528	-1.811	-1.443	-1.336	-3.257	-2.184	-2.351	-2.311	-1.166	-0.053	-0.024	1.762	2.542	2.303	1.004	-0.003	0.125	-0.239	-0.178	-0.24	1.261
"YDL014W"	1.4755	1.341	0.499	0.48	-2.828	-3.061	-2.641	-1.412	-1.374	-1.971	-2.1295	-2.17	-1.901	-1.8155	-1.342	0.945	0.696	1.489	1.051	0.927	-2.032	-1.8125	-2.0245	-1.9815	-1.999	-1.341	-2.664	-3.918	-4.085	-2.893	-4.004	-2.944	-3.356	-2.921	-3.242	-1.968	-2.594	-2.194	-3.258	1.357	1.203	1.064	0.907	0.691	1.668	1.14	1.314	1.193	1.054	1.192	0.445
"YDL130W"	NaN	NaN	-1.998	0.585	NaN	-1.83	-1.036	1.379	2.426	NaN	NaN	-0.031	NaN	NaN	NaN	NaN	1.253	-0.688	NaN	0.737	-1.864	NaN	NaN	NaN	-1.734	-2.291	-1.2605	-3.261	-3.064	-2.709	-2.942	-2.455	-2.794	-3.026	-2.241	-1.519	-1.608	-1.364	-0.49	0.851	0.441	1.598	2.15	1.334	1.788	1.63	1.519	1.458	1.569	1.457	0.56
"YDR023W"	0.322	0.568	1.318	1.145	-2.164	-2.907	-5.745	-1.288	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	1.69	1.091	0.934	0.446	0.194	-2.091	-1.396	-1.983	-2.106	-1.021	-0.848	-1.025	-2.302	-1.458	-1.512	-1.66	-1.86	-2.322	-1.086	-1.233	-0.925	-1.188	-1.865	-1.932	0.737	0.934	0.733	1.067	0.612	1.035	0.858	1.108	0.997	0.87	0.996	0.656
