	"861.YPD_5_d_30C"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YAL038W"	-6.086	-3.2025	0.605
"YAL051W"	-2.6925	1.255	-0.631333333333333
"YBL072C"	-6.241	-4.2	2.746
"YBR094W"	-3.206	-1.4235	-0.531
"YBR141C"	-3.279	-1.709	9.99999999999997E-4
"YBR142W"	-4.241	-2.8165	0.8315
"YBR191W"	-5.241	-3.136	1.1285
"YBR205W"	-3.842	-2.119	0.549
"YBR234C"	-3.956	-1.682	0.4195
"YBR279W"	-2.558	-1.2015	-0.372
"YBR288C"	-3.524	-1.688	0.2405
"YCR044C"	-2.699	-1.758	-0.149
"YCRX02C"	-2.485	-1.252	-0.3785
"YDL015C"	-4.309	-2.2355	0.296
"YDL082W"	-5.816	-3.589	2.249
"YDR023W"	-5.745	-3.85	1.69
"YDR035W"	-2.135	-1.089	1.637
"YDR039C"	-0.2215	0.7125	-0.221
"YDR062W"	-2.711	1.452	1.196
"YDR087C"	-4.944	-2.893	0.415
"YDR097C"	-2.765	-1.685	0.509
"YDR098C"	-3.797	-2.226	-0.013
"YDR116C"	-3.351	-1.525	0.803
"YDR117C"	-2.494	-1.497	-0.271
"YDR161W"	-4.816	-2.286	0.761
"YDR187C"	-2.521	0.966	-0.563
"YDR304C"	-3.648	-1.796	-0.517
"YDR400W"	-2.679	-1.405	-0.718
"YDR412W"	-3.774	-1.977	0.581
"YDR416W"	-2.837	-1.425	0.575
"YDR418W"	-5.866	-4.066	2.482
"YDR429C"	-3.313	-1.738	1.43
"YDR447C"	-5.332	-3.552	1.98
"YEL047C"	-2.481	-1.206	0.522
"YER003C"	-3.453	-1.818	0.375
"YER023W"	-4.606	-2.506	0.905
"YER0561C"	-4.828	-3.617	1.871
"YER074W"	-3.854	-3.947	2.164
"YER102W"	-6.434	-3.859	2.71
"YER156C"	-3.573	-1.522	0.265
"YER164W"	-3.903	-2.102	0.01
"YFL022C"	-4.867	-1.707	1.287
"YGL001C"	-4.137	-2.176	0.747
"YGL022W"	-4.268	-2.176	0.708
"YGL049C"	-4.12	-2.23	0.684
"YGL060W"	-3.155	-1.742	0.338
"YGL076C"	-5.667	-3.782	2.882
"YGL135W"	-5.687	-3.825	2.2
"YGL155W"	-2.217	-1.078	0.837
"YGL157W"	-6.107	-3.666	-0.224
"YGL160W"	-2.824	-1.178	-0.66
"YGL202W"	-4.405	-2.614	1.694
"YGL245W"	-6.655	-4.779	1.309
"YGR034W"	-6.281	-2.48	1.181
"YGR085C"	-6.059	-4.179	2.15
"YGR155W"	-4.396	-2.407	1.052
"YGR162W"	-3.2845	-1.8905	0.988
"YGR172C"	-2.376	-1.424	0.784
"YGR173W"	-3.699	-2.168	1.687
"YGR185C"	-6.361	-5.006	1.522
"YGR195W"	-3.999	-1.911	0.881
"YGR285C"	-6.1	-4.065	1.749
"YHL033C"	-6.65	-4.209	2.175
"YHR010W"	-4.514	-2.684	2.096
"YHR019C"	-5.077	-4.387	2.274
"YHR024C"	-3.2155	-1.759	1.334
"YHR039BC"	-4.183	-1.991	0.368
"YHR073W"	-2.844	-1.676	0.273
"YHR076W"	-2.444	-0.546	0.2225
"YHR128W"	-6.006	-3.516	1.902
"YHR163W"	-4.663	-2.366	1.164
"YHR165C"	-1.88	-0.3365	-0.0635
"YHR187W"	-2.798	-0.527	0.018
"YHR201C"	-4.155	-2.134	0.119
"YIL021W"	-3.289	-1.565	0.197
"YIL052C"	-6.278	-3.158	1.879
"YIL096C"	-3.119	-1.667	0.084
"YIL133C"	-5.79	-3.393	2.01
"YIL137C"	-3.334	-1.578	0.957
"YJL014W"	-3.962	-2.866	0.866
"YJL097W"	-4.683	-2.276	0.734
"YJL136C"	-2.106	-2.1235	1.32
"YJL174W"	-2.868	-1.523	0.304
"YJL176C"	-3.318	-1.645	0.61
"YJL188C"	-4.633	-2.776	0.856
"YJL189W"	-4.28	-2.837	1.053
"YJR007W"	-8.057	-3.616	1.362
"YJR032W"	-3.054	-1.727	0.294
"YJR132W"	-3.493	-2.109	0.987
"YJR145C"	-6.528	-3.178	2.789
"YKL009W"	-6.168	-2.938	0.683
"YKL060C"	-4.684	-2.196	0.549
"YKL076C"	-2.3	-0.493	-0.094
"YKL172W"	-5.305	-3.135	0.715
"YKL181W"	-4.28	-2.779	0.871
"YKR078W"	-2.488	-1.309	-0.005
"YLL044W"	-6.48	-3.967	2.272
"YLL045C"	-6.618	-3.731	2.059
"YLL053C"	-0.503	0.978	0.206
"YLR009W"	-5.388	-2.799	0.6
"YLR061W"	-6.591	-3.91	1.802
"YLR062C"	-6.896	-5.234	2.319
"YLR065C"	-3.028	-1.642	0.235
"YLR106C"	-2.6785	-1.2915	-0.295
"YLR153C"	-5.598	-3.394	1.047
"YLR154C"	-3.232	-1.401	-0.494
"YLR167W"	-4.496	-2.263	1.495
"YLR168C"	-1.634	-0.042	0.502
"YLR175W"	-5.468	-4.96	1.55
"YLR185W"	-5.928	-3.065	1.929
"YLR192C"	-4.349	-2.147	1.001
"YLR197W"	-5.242	-5.033	1.362
"YLR215C"	-3.445	-1.746	0.554
"YLR222C"	-4.745	-3.119	1.119
"YLR291C"	-4.762	-2.363	0.783
"YLR292C"	-3.717	-1.71	-0.369
"YLR293C"	-6.281	-3.186	1.2
"YLR333C"	-5.863	-2.848	1.926
"YLR340W"	-6.819	-4.105	3.263
"YLR344W"	-4.414	-3.724	1.956
"YLR367W"	-6.716	-3.007	2.016
"YLR388W"	-5.506	-3.193	1.216
"YLR435W"	-3.819	-2.149	1.196
"YLR448W"	-5.971	-4.132	2.734
"YLR455W"	-2.868	-1.563	0.321
"YML006C"	-4.428	-1.057	0.307
"YML026C"	-5.271	-2.821	1.943
"YML063W"	-13.273	-4.059	2.524
"YML073C"	-6.033	-3.718	2.691
"YML124C"	-4.107	-2.075	1.198
"YMR033W"	-4.454	-1.988	0.72
"YMR074C"	-3.406	-1.356	0.023
"YMR091C"	-4.005	-2.24	0.51
"YMR116C"	-6.865	-4.003	3.169
"YMR123W"	-3.061	-1.512	0.605
"YMR142C"	-6.693	-4.248	2.283
"YMR149W"	-3.396	-1.653	-0.232
"YMR161W"	-0.84	0.381	-0.016
"YMR205C"	-4.53	-2.366	0.594
"YMR235C"	-5.187	-3.756	0.854
"YMR242C"	-6.226	-3.475	2.029
"YMR321C"	-3.811	-2.424	1.171
"YNL067W"	-5.731	-2.76	2.578
"YNL069C"	-4.824	-3.665	2.414
"YNL162W"	-6.425	-3.468	1.432
"YNL167C"	-3.18	-1.67	0.081
"YNL178W"	-6.62	-3.871	2.094
"YNL218W"	-3.318	-0.907	-0.283
"YNL221C"	-3.396	-1.934	0.631
"YNR026C"	-2.7105	-1.434	-0.966
"YNR028W"	-2.7155	-1.226	-0.026
"YOL024W"	-0.4685	0.307	-0.202
"YOL061W"	-3.804	-2.156	-0.121
"YOL062C"	-4.46	-1.957	0.841
"YOL121C"	-1.754	-3.83	2.141
